,T,ax,ay,az,gx,gy,gz
0,1535261,0.36722,0.25376,-0.773968,18.9875,-18.235,-16.555
1,1535411,0.39284,0.25522399999999995,-0.8613200000000001,99.155,-121.73,-39.2175
2,1535509,0.40016,0.247416,-0.9030440000000001,70.245,-131.985,43.47
3,1535607,0.399916,0.253272,-0.90036,51.275,-113.5925,-15.2075
4,1535705,0.404796,0.23546,-0.89792,6.7725,-5.0575,-3.3075
5,1535803,0.406504,0.24034,-0.904752,3.7975,-2.415,-3.045
6,1535901,0.407236,0.247416,-0.902068,2.0125,-3.395,-3.325
7,1535999,0.406992,0.243024,-0.9067040000000001,1.2775,-3.5875,-3.2025
8,1536097,0.408456,0.24790399999999999,-0.9120720999999999,0.42,-3.3775,-3.15
9,1536195,0.41236000000000006,0.247416,-0.91622,0.175,-3.78,-3.0275
10,1536293,0.431392,0.26156799999999997,-0.958432,0.525,-6.4925,-3.4125
11,1536391,0.39161999999999997,0.24278000000000002,-0.9098761000000001,2.6075,-7.805,-2.87
12,1536489,0.38552,0.22691999999999998,-0.889624,3.6225,2.7825,-1.715
13,1536588,0.40138,0.25254,-0.8549761,2.135,8.05,-1.5575
14,1536686,0.424072,0.237168,-0.879376,6.475,4.3925,-3.5175
15,1536784,0.417728,0.233996,-0.8657120999999999,4.48,-6.09,-6.8425
16,1536882,0.427976,0.23887600000000003,-0.8476561,4.0775,-14.3325,-7.8925
17,1536980,0.40626,0.23058,-0.8601,2.45,-18.4975,-5.8275
18,1537078,0.393816,0.21276799999999998,-0.8427761,-1.8375,-18.5675,-4.6025
19,1537176,0.370392,0.2501,-0.8801081000000001,-2.8,-14.245,-3.78
20,1537274,0.401624,0.239608,-0.8845,2.135,-6.65,-3.675
21,1537372,0.39771999999999996,0.24326799999999998,-0.8884040000000001,2.03,-6.3175,-3.6925
22,1537470,0.400404,0.24351199999999998,-0.8874280999999999,2.135,-5.9325,-3.6925
23,1537568,0.39894,0.236436,-0.886452,2.24,-5.6,-3.4825
24,1537666,0.39918400000000004,0.23838800000000002,-0.8903561,2.24,-5.25,-3.57
