,T,ax,ay,az,gx,gy,gz
0,161270,0.606584,0.17763199999999998,-0.594384,16.6775,-16.7475,-15.89
1,161421,0.62342,0.182024,-0.671488,48.125,-100.205,-112.175
2,161517,0.660996,0.188368,-0.7190681,41.825,-169.715,-171.605
3,161613,0.66246,0.186172,-0.71492,47.67,-136.08,-60.6725
4,161710,0.662704,0.189832,-0.7195560000000001,3.8675,-9.9925,-6.0375
5,161806,0.662948,0.186416,-0.721508,1.6975,-3.745,-3.36
6,161902,0.660996,0.188368,-0.721508,1.715,-3.78,-3.22
7,161998,0.663192,0.186172,-0.721996,1.7325,-3.6925,-3.15
8,162095,0.6634359999999999,0.18470799999999998,-0.72346,1.715,-3.675,-3.22
9,162191,0.662704,0.18422,-0.7224841,1.715,-3.6575,-3.325
10,162287,0.6634359999999999,0.189344,-0.7224841,1.75,-3.64,-3.2725
11,162383,0.66368,0.189832,-0.7227279999999999,1.75,-3.6225,-3.2725
12,162480,0.662704,0.187636,-0.7217521,1.8025,-3.71,-3.2025
13,162576,0.663192,0.186904,-0.7224841,1.8025,-3.7625,-3.185
14,162672,0.66368,0.185684,-0.7256560000000001,1.785,-3.6575,-3.115
15,162768,0.665876,0.183976,-0.720776,1.8025,-3.5875,-3.115
16,162865,0.66368,0.18446400000000002,-0.724436,1.7675,-3.57,-3.29
17,162961,0.662948,0.18788,-0.7232161,1.715,-3.605,-3.3775
18,163057,0.662948,0.18251199999999998,-0.7237041,1.6975,-3.605,-3.3075
19,163153,0.664168,0.18178,-0.721264,1.645,-3.6925,-3.4125
20,163250,0.66246,0.187392,-0.721508,1.5575,-3.605,-3.4125
21,163346,0.663924,0.18446400000000002,-0.7217521,1.61,-3.605,-3.395
22,163442,0.661972,0.183976,-0.7239479999999999,1.645,-3.6225,-3.465
23,163538,0.662948,0.185196,-0.725168,1.5925,-3.6575,-3.535
24,163634,0.662948,0.189344,-0.72224,1.54,-3.7275,-3.4475
25,163731,0.66246,0.189588,-0.7217521,1.575,-3.71,-3.395
26,163827,0.660996,0.18422,-0.7237041,1.6975,-3.605,-3.3075
27,163923,0.661972,0.184952,-0.7241920000000001,1.61,-3.5875,-3.3775
28,164019,0.665144,0.186416,-0.7229720000000001,1.61,-3.5525,-3.43
29,164116,0.662948,0.18422,-0.721996,1.505,-3.4125,-3.465
30,164212,0.663192,0.185196,-0.7232161,1.4,-3.43,-3.5175
31,164308,0.661728,0.18422,-0.7232161,1.3825,-3.4475,-3.5875
32,164405,0.6634359999999999,0.188368,-0.7227279999999999,1.435,-3.36,-3.6225
33,164501,0.664168,0.18544000000000002,-0.72224,1.4175,-3.36,-3.535
34,164597,0.6649,0.187148,-0.7224841,1.47,-3.395,-3.465
35,164693,0.66246,0.185928,-0.7237041,1.47,-3.4125,-3.4475
36,164790,0.6600201,0.18788,-0.7227279999999999,1.4875,-3.4825,-3.3425
37,164886,0.6634359999999999,0.186904,-0.721996,1.575,-3.5175,-3.3425
38,164982,0.66368,0.186172,-0.7227279999999999,1.575,-3.5175,-3.3425
39,165078,0.6646561,0.18666,-0.7227279999999999,1.61,-3.4825,-3.3775
40,165175,0.662704,0.186172,-0.721508,1.54,-3.4825,-3.3425
41,165271,0.662948,0.18544000000000002,-0.719312,1.5225,-3.4475,-3.4125
42,165367,0.662948,0.188612,-0.72102,1.54,-3.5175,-3.4825
43,165464,0.664412,0.186904,-0.7229720000000001,1.5925,-3.5175,-3.3425
44,165560,0.664412,0.185684,-0.72102,1.645,-3.5525,-3.3075
45,165656,0.6663640000000001,0.185684,-0.72102,1.6625,-3.5175,-3.3775
46,165752,0.663192,0.18446400000000002,-0.7227279999999999,1.6625,-3.4825,-3.3425
47,165849,0.665632,0.186416,-0.7227279999999999,1.61,-3.4475,-3.3075
48,165945,0.662948,0.188368,-0.7217521,1.61,-3.6225,-3.395
49,166041,0.6653880999999999,0.183732,-0.720776,1.575,-3.5875,-3.43
50,166137,0.664412,0.18446400000000002,-0.72102,1.5925,-3.605,-3.3425
51,166234,0.665632,0.18470799999999998,-0.720288,1.61,-3.605,-3.4825
52,166330,0.666852,0.18666,-0.72346,1.61,-3.5875,-3.465
53,166426,0.66246,0.185684,-0.721996,1.645,-3.5875,-3.395
54,166523,0.66368,0.185196,-0.721508,1.6275,-3.64,-3.5
55,166619,0.6602640000000001,0.188368,-0.7229720000000001,1.575,-3.6225,-3.4475
56,166715,0.6646561,0.186172,-0.7200439999999999,1.61,-3.5175,-3.4475
57,166811,0.6634359999999999,0.186904,-0.721508,1.5925,-3.5175,-3.4475
58,166908,0.663192,0.186172,-0.7198,1.54,-3.5,-3.5
59,167004,0.665876,0.186416,-0.7195560000000001,1.54,-3.535,-3.4475
60,167100,0.6612401,0.184952,-0.7224841,1.5925,-3.5525,-3.4125
61,167196,0.662704,0.18544000000000002,-0.7190681,1.6625,-3.6575,-3.43
62,167293,0.662704,0.186172,-0.721996,1.6625,-3.6225,-3.43
63,167389,0.664412,0.18422,-0.7200439999999999,1.575,-3.5175,-3.325
64,167485,0.664168,0.184952,-0.721264,1.645,-3.5525,-3.36
65,167582,0.6653880999999999,0.185684,-0.720288,1.5575,-3.5175,-3.36
66,167678,0.663924,0.18470799999999998,-0.720776,1.575,-3.605,-3.3425
67,167774,0.665632,0.185928,-0.721264,1.5925,-3.605,-3.2375
68,167870,0.665876,0.183,-0.7200439999999999,1.6625,-3.5875,-3.29
69,167967,0.667096,0.18422,-0.7198,1.6275,-3.675,-3.3425
70,168063,0.662704,0.186904,-0.7190681,1.645,-3.5525,-3.395
71,168159,0.6634359999999999,0.187148,-0.7195560000000001,1.5925,-3.6575,-3.3425
72,168255,0.662216,0.188368,-0.7227279999999999,1.7325,-3.6575,-3.2725
73,168352,0.664412,0.187148,-0.720776,1.785,-3.675,-3.29
74,168448,0.6675840000000001,0.185196,-0.7190681,1.715,-3.5875,-3.29
75,168544,0.666852,0.184952,-0.7195560000000001,1.6625,-3.6575,-3.2725
76,168641,0.663924,0.18470799999999998,-0.72102,1.6975,-3.71,-3.255
77,168737,0.661972,0.187148,-0.7198,1.645,-3.6925,-3.395
78,168833,0.662704,0.185684,-0.7217521,1.75,-3.7275,-3.395
79,168929,0.664168,0.18544000000000002,-0.7198,1.75,-3.8325,-3.325
80,169026,0.6661201,0.185196,-0.7200439999999999,1.68,-3.6925,-3.3425
81,169122,0.665144,0.18666,-0.72102,1.68,-3.6575,-3.4125
82,169218,0.662948,0.18446400000000002,-0.7195560000000001,1.6975,-3.71,-3.4125
83,169314,0.6653880999999999,0.186172,-0.720288,1.7325,-3.7975,-3.325
84,169411,0.665876,0.185196,-0.7195560000000001,1.7675,-3.815,-3.3775
85,169507,0.664412,0.186172,-0.72346,1.75,-3.7625,-3.3425
86,169603,0.663924,0.185684,-0.721508,1.7325,-3.85,-3.4125
87,169700,0.6649,0.18324400000000002,-0.7195560000000001,1.715,-3.85,-3.5
88,169796,0.663924,0.185196,-0.721996,1.715,-3.815,-3.535
89,169892,0.6663640000000001,0.18544000000000002,-0.721508,1.715,-3.955,-3.535
90,169988,0.66368,0.185196,-0.721264,1.7325,-3.92,-3.3775
91,170085,0.6649,0.185928,-0.720532,1.715,-3.9025,-3.36
92,170181,0.667096,0.18470799999999998,-0.720776,1.785,-3.92,-3.43
93,170277,0.6653880999999999,0.184952,-0.7195560000000001,1.8025,-3.9725,-3.5
94,170373,0.66246,0.18666,-0.7200439999999999,1.8375,-4.0775,-3.43
95,170470,0.665144,0.183488,-0.720532,1.785,-4.025,-3.43
96,170566,0.662948,0.18251199999999998,-0.7195560000000001,1.6975,-4.095,-3.465
97,170662,0.6646561,0.183976,-0.720288,1.715,-4.1125,-3.5875
98,170759,0.662948,0.185684,-0.72224,1.6975,-3.92,-3.64
99,170855,0.6663640000000001,0.185684,-0.7198,1.68,-3.9375,-3.64
100,170951,0.6653880999999999,0.183976,-0.718824,1.6625,-4.06,-3.71
101,171047,0.6634359999999999,0.17934,-0.7217521,1.4175,-3.815,-3.71
102,171144,0.668072,0.202276,-0.7241920000000001,0.735,-2.5025,-3.3775
103,171240,0.674416,0.175924,-0.71858,1.1725,-2.24,-2.9925
104,171336,0.6661201,0.19178399999999998,-0.7327321,0.805,-3.0275,-3.2375
105,171432,0.674172,0.159088,-0.727364,0.6475,-2.4325,-3.0975
106,171529,0.679296,0.1769,-0.7232161,-0.4725,-1.8725,-3.8675
107,171625,0.690032,0.157136,-0.731268,-2.135,-2.625,-4.8825
108,171721,0.686128,0.176656,-0.706624,-4.34,-3.7975,-5.32
109,171817,0.670512,0.196908,-0.733952,-5.5125,-4.0425,-5.5475
110,171914,0.674416,0.196908,-0.738344,-4.7775,-5.39,-4.935
111,172010,0.71492,0.10321199999999998,-0.7388319999999999,-4.6025,-6.4925,-4.13
112,172106,0.7107720000000001,0.001464,-0.753228,-6.1425,-9.4325,2.695
113,172202,0.624884,0.335012,-0.69052,-13.0375,-13.16,6.7375
114,172299,0.606096,0.34648,-0.733952,-6.6325,-12.18,6.0725
115,172395,0.5968241,0.380396,-0.7046720999999999,-1.2775,-11.865,3.9375
116,172491,0.6512359999999999,0.271816,-0.7332201,4.3575,-10.0975,2.2225
117,172588,0.725168,0.06661201,-0.7439560000000001,7.035,-8.7675,2.625
118,172684,0.686616,0.132492,-0.724436,1.1375,-12.5475,1.8025
119,172780,0.708088,0.077836,-0.7612800999999999,-1.68,-14.4025,0.7875
120,172876,0.792512,0.037332,-0.754448,-4.9525,-16.87,1.155
121,172973,0.748592,0.052948,-0.750788,-9.4675,-24.08,1.925
122,173069,0.66368,0.151524,-0.7451760000000001,-12.04,-29.4,3.9725
123,173165,0.658312,0.24888000000000002,-0.7266321,-13.9475,-30.415,2.7475
124,173261,0.633424,0.249612,-0.72102,-13.1775,-30.345,-0.8225
125,173358,0.620492,0.233508,-0.7476161,-12.355,-29.5225,-3.9375
126,173454,0.639768,0.225944,-0.7503,-13.1425,-27.9125,-6.685
127,173550,0.596336,0.192272,-0.7139439999999999,-13.16,-28.4025,-7.8925
128,173646,0.5697399999999999,0.23472800000000002,-0.7288279999999999,-12.705,-26.9675,-7.455
129,173743,0.57584,0.256444,-0.7176041,-11.6025,-23.66,-7.385
130,173839,0.564616,0.284016,-0.7056479999999999,-10.0625,-20.895,-8.4875
131,173935,0.5936520000000001,0.273768,-0.745908,-7.0875,-17.57,-9.205
132,174032,0.6414761,0.217892,-0.738344,-5.67,-15.47,-10.745
133,174128,0.565836,0.172508,-0.7015,-4.27,-16.73,-11.0075
134,174224,0.49556400000000006,0.171776,-0.6885680999999999,-4.8475,-13.9825,-9.8175
135,174320,0.532652,0.166408,-0.699548,-6.4225,-8.575,-8.995
136,174417,0.633668,0.24131599999999997,-0.7893399999999999,-8.12,-4.0075,-8.925
137,174513,0.5631520000000001,0.253272,-0.702964,-5.46,-3.92,-8.715
138,174609,0.5260640000000001,0.23668000000000003,-0.7056479999999999,-3.6925,-2.31,-8.9775
139,174705,0.559248,0.21301199999999998,-0.702964,-1.855,2.3975,-8.015
140,174802,0.529968,0.23228800000000002,-0.698816,0.3675,4.795,-6.51
141,174898,0.567788,0.249856,-0.7390760000000001,2.975,8.4525,-5.32
142,174994,0.59658,0.251076,-0.73078,6.0025,10.78,-4.025
143,175090,0.66246,0.301584,-0.790804,9.0825,11.97,-2.3275
144,175187,0.728096,0.219356,-0.771528,11.025,11.13,-1.8375
145,175283,0.6368401,0.239608,-0.743712,11.4975,6.1075,-0.7875
146,175379,0.6158561,0.274012,-0.752496,12.18,5.4075,0.8400001
147,175476,0.6480640000000001,0.22448,-0.7500560000000001,14.525,6.335,1.8725
148,175572,0.65758,0.202764,-0.7571321,15.33,6.1775,2.6075
149,175668,0.654896,0.195444,-0.746396,14.7875,5.0925,2.835
150,175764,0.656848,0.192028,-0.755424,14.315,3.8325,2.59
151,175861,0.666608,0.16811600000000002,-0.756888,13.2825,3.36,1.645
152,175957,0.6470880999999999,0.204228,-0.7442,11.55,1.855,0.875
153,176053,0.6541640000000001,0.19861600000000001,-0.754204,11.095,1.82,0.42
154,176149,0.6600201,0.18544000000000002,-0.746152,10.745,1.575,-0.035
155,176246,0.647576,0.202764,-0.7473721,9.8525,1.015,-0.315
156,176342,0.669292,0.183732,-0.746152,9.765,0.7875,-0.3675
157,176438,0.652212,0.17934,-0.745908,9.1,-0.14,-0.525
158,176534,0.6439159999999999,0.196908,-0.73932,8.3825,-0.9625,-0.8225
159,176631,0.6463561,0.192028,-0.7503,8.505,-1.155,-0.56
160,176727,0.667828,0.161772,-0.746396,7.6825,-1.19,-0.7175
161,176823,0.650748,0.183732,-0.7476161,5.215,-2.1875,-1.26
162,176920,0.6378159999999999,0.191296,-0.7442,4.4275,-2.905,-1.47
163,177016,0.6405,0.181536,-0.7327321,4.2525,-2.9225,-1.75
164,177112,0.64294,0.19251600000000002,-0.743468,3.9025,-2.905,-1.855
165,177208,0.634156,0.194468,-0.730536,3.955,-3.22,-2.1875
166,177305,0.642452,0.182024,-0.7285841,4.4275,-2.8875,-2.0475
167,177401,0.6539201,0.174216,-0.734928,4.7075,-2.905,-1.785
168,177497,0.6219561,0.217404,-0.741028,4.9,-3.2725,-1.5925
169,177593,0.6197600000000001,0.183732,-0.733708,5.6525,-3.15,-1.8725
170,177690,0.610244,0.19397999999999999,-0.712724,6.825,-3.08,-1.365
171,177786,0.6373281,0.19642,-0.736392,7.2975,-2.5025,-1.0675
172,177882,0.650016,0.163968,-0.739564,7.7875,-2.3275,-1.05
173,177978,0.643672,0.185196,-0.7317560000000001,6.44,-2.275,-1.435
174,178075,0.6290319999999999,0.18446400000000002,-0.738588,6.1075,-2.52,-1.6625
175,178171,0.626104,0.187636,-0.737124,5.8975,-2.73,-1.7675
176,178267,0.6007279999999999,0.191296,-0.743224,5.8275,-3.36,-1.645
177,178363,0.635864,0.166408,-0.7373681,5.46,-2.6425,-1.785
178,178460,0.637084,0.165676,-0.7439560000000001,5.1975,-2.66,-1.785
179,178556,0.635864,0.16592,-0.7390760000000001,4.2875,-2.59,-2.1
180,178652,0.63562,0.174216,-0.749812,3.255,-1.82,-2.3975
181,178749,0.652212,0.165432,-0.7407841,3.2025,-0.35,-2.1175
182,178845,0.6573359999999999,0.168848,-0.733464,3.15,0.6825,-1.645
183,178941,0.649528,0.174216,-0.744688,2.8525,1.89,-1.19
184,179037,0.6734399999999999,0.14274,-0.7141881,2.9225,3.5875,-0.8400001
185,179134,0.6380600000000001,0.205692,-0.74542,1.855,4.7075,-0.805
186,179230,0.681736,0.183976,-0.718824,3.535,5.2325,0.56
187,179326,0.633424,0.20374,-0.754204,5.46,5.5125,0.7175
188,179422,0.643672,0.188856,-0.7622561,5.81,6.8775,1.26
189,179519,0.6439159999999999,0.18788,-0.769576,6.9475,8.4175,2.94
190,179615,0.639768,0.174216,-0.776408,7.455,11.2875,4.165
191,179711,0.6107319999999999,0.1769,-0.782508,8.4175,16.415,5.6
192,179807,0.6263479999999999,0.2745,-0.9403761,9.345,25.1125,7.56
193,179904,0.538996,0.23009200000000002,-0.8203280000000001,17.99,31.6225,9.415
194,180000,0.609024,0.24058400000000002,-0.8991401,4.025,48.9125,19.355
195,180096,0.567056,0.14347200000000002,-0.9052401,8.2775,65.9225,30.1525
196,180192,0.5675439999999999,0.121024,-0.8718120999999999,8.085,87.5175,30.31
197,180289,0.57828,0.176656,-0.8862081,7.7175,107.45,28.4375
198,180385,0.567056,0.16689600000000002,-0.898164,11.445,128.485,32.0775
199,180481,0.599996,0.225456,-0.901336,17.2025,149.3625,39.235
200,180578,0.598288,0.254492,-0.8937719999999999,24.745,165.4275,51.87
201,180674,0.606096,0.184952,-0.9352520000000001,31.43,179.8825,68.72251
202,180770,0.618784,0.29646,-0.9650200999999999,39.235,194.53,88.9175
203,180866,0.6512359999999999,0.326228,-0.9679481,63.7175,214.4625,111.4575
204,180963,0.779824,0.38674000000000003,-0.9103641,90.52750999999999,233.17,134.085
205,181059,1.018944,0.42748800000000003,-0.883524,108.4825,251.195,154.1925
206,181155,0.993568,0.5602239999999999,-1.208532,113.9775,267.015,163.835
207,181251,1.58844,0.21618400000000002,-1.009916,101.9375,269.1675,151.62
208,181348,1.928088,0.143716,-0.919392,100.73,318.0275,152.7575
209,181444,2.0242240000000002,0.299144,-0.9799041,96.42501,333.3225,162.68
210,181540,2.192828,0.652212,-1.1651,89.8975,336.9275,160.825
211,181636,2.125728,0.7266321,-1.251232,84.77,342.895,155.015
212,181733,1.69458,0.5267960999999999,-1.61284,81.375,350.9625,146.405
213,181829,0.8801081000000001,0.8930401,-1.997872,75.3025,304.115,138.4075
214,181925,0.5023960999999999,1.199016,-2.106696,79.9925,213.36,114.1
215,182021,0.7922680000000001,1.198284,-1.9942119999999999,80.2375,72.3275,53.4975
216,182118,0.1464,1.272216,-1.60552,41.79,1.96,-15.0325
217,182214,-0.214232,1.157292,-1.318332,41.02,-36.8375,-49.7875
218,182310,-0.24107199999999998,0.8310639999999999,-1.179252,51.66,-43.2075,-68.95
219,182406,-0.187392,0.625128,-1.167784,47.3025,-50.3475,-78.54
220,182503,-0.066124,0.519476,-1.230248,28.245,-63.42,-85.85501
221,182599,0.080276,0.5206960999999999,-1.310524,6.7375,-84.42,-90.8775
