,T,ax,ay,az,gx,gy,gz
0,9498745,0.8338700000000001,0.01769,-0.31781,15.8025,-14.98,-13.4225
1,9498887,0.84851,0.025254,-0.385642,13.895,-73.92,-134.3125
2,9498983,0.9087780000000001,0.033794,-0.417484,-57.8025,-78.365,-128.2225
3,9499080,0.8927959999999999,0.032330000000000005,-0.42199799999999993,21.525,-105.28,-49.175
4,9499177,0.865468,0.037942000000000004,-0.423584,-1.8375,-10.85,0.0525
5,9499274,0.887184,0.05172801,-0.431514,-2.2225,-7.8225,3.4825
6,9499370,0.9225639999999999,0.04514,-0.434076,-0.595,-8.68,4.8125
7,9499467,0.9345201,0.036112,-0.426512,1.3825,-8.575,3.7625
8,9499564,0.9352520000000001,0.036966000000000006,-0.43200200000000005,2.0125,-6.6675,0.42
9,9499661,0.9235399999999999,0.045262000000000004,-0.43639399999999995,3.745,-4.165,-2.5025
10,9499757,0.919758,0.049044,-0.435662,6.44,-2.135,-3.9375
11,9499854,0.9067040000000001,0.04404201,-0.43005,9.8525,-0.0875,-5.1975
12,9499951,0.919392,0.039284,-0.42639,11.9525,2.73,-6.895
13,9500047,0.90036,0.0305,-0.42700000000000005,12.8275,4.76,-7.84
14,9500144,0.8751059999999999,0.03294,-0.42700000000000005,12.6175,7.2625,-7.6825
15,9500241,0.885476,0.034404000000000004,-0.43493000000000004,15.365,10.64,-6.51
16,9500338,0.8949921000000001,0.031598,-0.43761400000000006,19.775,15.155,-4.935
17,9500435,0.9131700999999999,0.034526,-0.436882,23.3625,19.705,-3.6225
18,9500531,0.926834,0.035013999999999997,-0.426512,25.2175,21.1225,-2.8175
19,9500628,0.9292739999999999,0.0305,-0.400648,24.8325,17.8325,-1.75
20,9500725,0.9173181,0.025863999999999998,-0.390034,19.4425,9.59,-0.7
21,9500822,0.8937719999999999,0.026595999999999998,-0.394548,14.0,1.6275,-0.14
22,9500918,0.8746181000000001,0.02623,-0.389912,13.475,1.68,0.07
23,9501015,0.8724219999999999,0.025131999999999998,-0.398574,15.26,9.1,-0.105
24,9501112,0.8930401,0.017812,-0.394548,17.465,17.0625,-0.4375
25,9501208,0.904752,0.010858,-0.390156,18.83,22.75,-0.6825
26,9501305,0.946232,0.003904,-0.391498,17.6225,23.9575,-1.8375
27,9501402,0.9609940999999999,0.004758,-0.38356799999999996,14.4375,20.72,-3.85
28,9501499,0.9553821,-0.000366,-0.373564,12.7925,18.2875,-5.7225
29,9501595,0.924882,0.011834,-0.344528,10.36,15.7675,-7.6475
30,9501692,0.926834,0.016958,-0.33318200000000003,9.6075,10.8325,-7.84
31,9501789,0.9534301,0.01952,-0.41382399999999997,7.07,-8.68,-5.25
32,9501886,0.7672581,0.021106,-0.441518,4.9525,-22.4525,-4.2525
33,9501982,0.9799041,0.014884,-0.336598,6.9475,4.2875,-4.4275
34,9502079,0.9029221,0.013908000000000002,-0.38735,4.48,-7.0875,-3.5525
35,9502176,0.9152440000000001,0.011468,-0.380396,2.625,-9.135,-3.0975
36,9502273,0.9467200000000001,0.006954000000000001,-0.37698000000000004,3.43,-4.7425,-3.115
37,9502369,0.9211,0.007442,-0.38735,5.53,-7.5775,-3.85
38,9502466,0.9262239999999999,0.013297999999999999,-0.382226,5.7575,-7.665,-3.885
39,9502563,0.9232961,0.008784,-0.377712,6.475,-8.7675,-3.745
40,9502660,0.909632,0.008174001,-0.381616,8.855,-9.5375,-3.7275
41,9502756,0.92171,0.011834,-0.38064000000000003,10.4125,-8.4525,-3.36
42,9502853,0.92537,0.009637999999999999,-0.36417,10.815,-8.365,-3.3075
43,9502950,0.907802,0.00549,-0.346358,9.8175,-8.5925,-3.745
44,9503046,0.9032879999999999,0.005002,-0.36136399999999996,6.3,-8.155,-3.5875
45,9503143,0.922686,0.000976,-0.375638,5.5825,-5.985,-3.5875
46,9503240,0.9198799999999999,0.0034159999999999998,-0.37088000000000004,4.795,-6.055,-3.71
47,9503337,0.920734,-0.000488,-0.370636,4.235,-6.1775,-3.71
48,9503433,0.921588,0.00122,-0.370392,3.57,-6.0025,-3.7975
49,9503530,0.9242720999999999,-0.000122,-0.374418,2.6425,-6.5975,-3.675
50,9503627,0.9242720999999999,-0.002196,-0.372344,2.1,-6.5975,-3.57
51,9503724,0.9229299999999999,-0.000244,-0.377956,2.1,-6.5625,-3.395
52,9503820,0.90646,-0.001586,-0.371368,1.7675,-7.0,-3.3425
53,9503917,0.9171961,-0.002684,-0.373686,1.5225,-5.3025,-3.2375
54,9504014,0.918294,-0.002074,-0.373442,1.225,-5.495,-3.185
55,9504111,0.9174399999999999,-0.007198,-0.37271,1.1375,-5.11,-3.1325
56,9504207,0.922686,-0.007076001,-0.3721,0.77,-5.5125,-3.1675
