,T,ax,ay,az,gx,gy,gz
0,65110,0.885354,-0.009638,-0.159454,19.46,-18.41,-17.4125
1,65250,0.9056061,-0.005734,-0.210084,-13.1425,-45.9725,-61.1625
2,65347,0.9696561,-0.00427,-0.225334,-57.5575,-76.23001,-124.215
3,65444,0.9701441,-0.003904,-0.228384,25.795,-106.8025,-52.6225
4,65540,0.970876,-0.004392,-0.22936,1.33,-9.4325,-4.7075
5,65637,0.970388,-0.003172,-0.23241,0.455,-5.845,-2.9925
6,65734,0.969412,-0.003172,-0.232898,0.4025,-5.7575,-2.94
7,65830,0.968924,-0.003294,-0.23302,0.42,-5.81,-2.94
8,65927,0.96868,-0.005856,-0.233752,0.385,-5.95,-2.8875
9,66024,0.968558,-0.006832001,-0.231922,0.3325,-5.8275,-2.8175
10,66120,0.965996,-0.009394,-0.231434,0.4725,-5.74,-2.7125
11,66217,0.96624,-0.007808001,-0.232654,0.4725,-5.8275,-2.7475
12,66314,0.965874,-0.005002,-0.232166,0.77,-5.74,-2.7825
13,66410,0.965264,-0.001952,-0.23485,0.8400001,-5.7575,-2.6775
14,66507,0.9651421,0.0,-0.234362,0.91,-5.9325,-2.8
15,66604,0.9697781,0.002196,-0.233752,0.9625,-5.9325,-2.9225
16,66700,0.97234,-0.000488,-0.232776,0.8400001,-5.915,-3.045
17,66797,0.9720961,-0.004026,-0.232044,0.8400001,-6.0025,-3.15
18,66894,0.9711201,-0.008906,-0.231922,0.805,-6.1425,-3.15
19,66990,0.970632,-0.01098,-0.230458,0.8575,-5.8975,-3.115
20,67087,0.9697781,-0.0122,-0.229848,0.9275,-6.02,-3.01
21,67184,0.9691681,-0.011102,-0.228628,0.8225,-5.985,-2.87
22,67280,0.96868,-0.009028001,-0.229604,0.8400001,-6.0025,-2.8875
23,67377,0.968558,-0.005002,-0.231678,0.6825,-6.02,-3.0975
24,67474,0.9716081,-0.003904,-0.233508,0.5075,-6.0025,-3.15
25,67570,0.972218,-0.004148001,-0.232898,0.4725,-6.055,-3.1675
26,67667,0.9729501,-0.006832001,-0.234972,0.2975,-5.9325,-3.3775
27,67764,0.9701441,-0.009272001,-0.235582,0.1575,-5.81,-3.29
28,67860,0.969412,-0.010858,-0.234118,0.0,-5.74,-3.15
29,67957,0.9678261,-0.008906,-0.232898,0.0,-5.74,-3.115
30,68054,0.9679481,-0.005734,-0.232166,-0.0525,-5.775,-2.975
31,68150,0.970388,-0.00366,-0.23241,0.0525,-5.8275,-2.8175
32,68247,0.970388,-0.003172,-0.233264,0.1225,-5.88,-2.7825
33,68344,0.9716081,-0.0008540001,-0.232532,0.1575,-5.845,-2.66
34,68440,0.972828,-0.002562,-0.235826,0.1575,-5.95,-2.8525
35,68537,0.969412,-0.004026,-0.234728,0.035,-6.0025,-2.9225
36,68634,0.96807,-0.005246,-0.235826,-0.0175,-5.9675,-2.905
37,68730,0.967216,-0.006832001,-0.235338,-0.07,-5.9325,-2.87
38,68827,0.965386,-0.008296001,-0.234728,-0.07,-5.7925,-2.8
39,68924,0.965264,-0.006832001,-0.233996,-0.035,-5.775,-2.7475
40,69020,0.9651421,-0.005124001,-0.23424,0.0175,-5.74,-2.765
41,69117,0.965386,-0.003782,-0.234484,-0.0175,-5.74,-2.7825
42,69214,0.9650201,-0.002318,-0.236192,-0.14,-5.705,-2.87
43,69310,0.9656301,-0.002684,-0.238144,-0.245,-5.88,-2.9225
44,69407,0.967338,-0.003538,-0.236314,-0.175,-5.8625,-2.8875
45,69504,0.969412,-0.00305,-0.236924,-0.1225,-5.7575,-2.94
46,69600,0.971364,-0.000122,-0.235216,0.0525,-5.635,-2.975
47,69697,0.9730721,0.002074,-0.234362,0.28,-5.5825,-2.905
48,69794,0.970876,0.003172,-0.233996,0.455,-5.46,-2.905
49,69890,0.970388,0.0061,-0.233752,0.7,-5.46,-3.0275
50,69987,0.96868,0.005734,-0.23485,0.8575,-5.6,-3.1325
51,70084,0.968192,0.003416,-0.233874,0.91,-5.705,-3.2025
52,70180,0.96807,0.000122,-0.235582,0.9625,-5.7575,-3.255
53,70277,0.9678261,-0.001952,-0.23668,1.0325,-5.705,-3.3075
54,70374,0.968924,-0.002806,-0.2379,1.12,-5.7225,-3.29
55,70470,0.969412,-0.000122,-0.237656,1.3475,-5.6,-3.3075
56,70567,0.970388,0.000244,-0.236558,1.505,-5.5475,-3.2725
57,70664,0.970388,0.000488,-0.238144,1.6975,-5.5125,-3.29
58,70760,0.970022,-0.000488,-0.239852,1.8025,-5.53,-3.2025
59,70857,0.9668501,-0.002684,-0.240828,1.855,-5.4775,-3.1325
60,70954,0.9674601,-0.004758,-0.236802,1.82,-5.565,-3.15
61,71050,0.965874,-0.00488,-0.238266,1.61,-5.6875,-3.115
62,71147,0.967338,-0.005978,-0.238632,1.505,-5.7575,-3.185
