,T,ax,ay,az,gx,gy,gz
0,53481,0.8615641,-0.0244,-0.216306,19.4075,-18.655,-16.9225
1,53623,0.8819381,-0.02135,-0.258884,-59.99,6.1775,-11.4625
2,53719,0.9440361,-0.021838,-0.279746,-56.805,-74.9875,-122.745
3,53816,0.947696,-0.02379,-0.283772,25.55,-106.155,-54.4775
4,53913,0.949038,-0.021106,-0.284138,0.14,-8.225,-6.44
5,54009,0.9539181,-0.021716,-0.284992,-1.61,-4.3575,-4.34
6,54106,0.9585541,-0.01891,-0.283406,-2.24,-4.06,-4.165
7,54203,0.96197,-0.016104,-0.287798,-2.7125,-3.71,-3.92
8,54299,0.9609941,-0.012932,-0.290238,-3.1675,-3.6575,-3.3425
9,54396,0.960384,-0.011956,-0.289506,-3.3775,-3.92,-2.625
10,54493,0.9630681,-0.010004,-0.291946,-3.605,-3.885,-2.1
11,54589,0.966606,-0.008906,-0.29524,-3.57,-3.9025,-1.9075
12,54686,0.965996,-0.010126,-0.295972,-3.4825,-4.2525,-1.785
13,54782,0.9618481,-0.010858,-0.295972,-3.465,-4.5675,-1.7325
14,54879,0.96014,-0.010614,-0.29768,-3.2725,-4.655,-1.6625
15,54976,0.9605061,-0.010492,-0.301584,-2.94,-4.5325,-1.715
16,55072,0.958432,-0.006466,-0.299754,-2.73,-5.25,-1.7325
17,55169,0.9547721,-0.00488,-0.301584,-2.66,-6.23,-1.5925
18,55266,0.951844,-0.003172,-0.302194,-2.3625,-6.44,-1.505
19,55362,0.951722,0.000366,-0.303658,-2.1,-6.125,-1.3825
20,55459,0.951112,0.002562,-0.304268,-1.68,-5.985,-1.365
21,55556,0.949648,0.001952,-0.30439,-1.33,-5.95,-1.3475
22,55652,0.946232,0.002196,-0.302804,-1.12,-5.845,-1.505
23,55749,0.9464761,0.000244,-0.304268,-1.05,-5.7225,-1.645
24,55845,0.9465981,-0.001098,-0.305122,-0.7875,-5.635,-1.7675
25,55942,0.94855,-0.003416,-0.305,-0.4375,-5.495,-1.855
26,56039,0.9512341,-0.005734,-0.305488,-0.035,-5.5475,-2.0475
27,56135,0.9514781,-0.003904,-0.30378,0.315,-5.7925,-2.2225
