,T,ax,ay,az,gx,gy,gz
0,98602,0.5206961,0.18056,-0.69418,14.8225,-11.4625,-14.035
1,98747,0.539484,0.187636,-0.7473721,-116.48,-101.2025,-31.85
2,98845,0.568032,0.18422,-0.79666,-93.52,-227.15,-57.855
3,98942,0.5648601,0.18422,-0.80276,12.215,-127.5575,-28.1925
4,99039,0.565836,0.185684,-0.804224,-0.945,-5.6,-3.01
5,99137,0.5655921,0.184708,-0.80276,-1.295,-2.1,-2.24
6,99234,0.566568,0.184708,-0.8044681,-1.2775,-2.1875,-2.3275
7,99332,0.568276,0.186904,-0.80642,-1.3825,-2.1525,-2.3275
8,99429,0.570716,0.184464,-0.808372,-1.365,-2.03,-2.345
9,99526,0.571936,0.186172,-0.80764,-1.4525,-2.135,-2.38
10,99624,0.567788,0.186904,-0.8052,-1.47,-2.205,-2.3975
11,99721,0.567056,0.188368,-0.8066641,-1.365,-2.0825,-2.38
12,99818,0.569984,0.185928,-0.806908,-1.225,-2.03,-2.2575
13,99916,0.56852,0.184952,-0.80642,-1.015,-1.96,-2.38
14,100013,0.565836,0.18422,-0.8066641,-1.05,-1.9425,-2.345
15,100111,0.5653481,0.182512,-0.805444,-1.1025,-1.8725,-2.3275
16,100208,0.568764,0.18178,-0.809348,-1.155,-1.75,-2.3625
17,100306,0.56852,0.179828,-0.808372,-1.365,-1.75,-2.45
18,100403,0.572912,0.181048,-0.809348,-1.5925,-1.715,-2.7475
19,100500,0.5702281,0.183732,-0.809836,-1.89,-1.8025,-2.9925
20,100598,0.5694961,0.183732,-0.8081281,-2.1525,-1.855,-3.1675
21,100695,0.56974,0.18666,-0.806176,-2.2225,-1.855,-3.2375
22,100793,0.573156,0.186172,-0.80886,-2.2925,-1.7675,-3.2725
23,100890,0.574132,0.187636,-0.8091041,-2.24,-1.9425,-3.2025
24,100987,0.57096,0.190076,-0.80764,-2.0475,-1.925,-3.08
25,101085,0.567788,0.190076,-0.8081281,-1.7325,-1.96,-2.8875
26,101182,0.567056,0.189344,-0.807396,-1.5575,-1.995,-2.7125
27,101279,0.572424,0.189344,-0.807396,-1.3475,-2.0125,-2.52
28,101377,0.571936,0.187636,-0.8066641,-1.2075,-2.1,-2.415
29,101474,0.56974,0.188368,-0.805688,-1.2075,-2.1,-2.3275
30,101572,0.570716,0.186172,-0.808372,-1.1025,-2.275,-2.24
31,101669,0.568764,0.18788,-0.8049561,-1.155,-2.2575,-2.31
32,101766,0.569252,0.186172,-0.806908,-1.1025,-2.2575,-2.2925
33,101864,0.568276,0.186172,-0.803492,-1.0675,-2.2225,-2.275
34,101961,0.566568,0.188124,-0.8049561,-1.015,-2.1875,-2.275
35,102059,0.567788,0.185928,-0.8044681,-0.9275,-2.1875,-2.24
36,102156,0.56852,0.182756,-0.807884,-0.9625,-2.17,-2.345
37,102253,0.5702281,0.183488,-0.8081281,-0.98,-2.2575,-2.45
38,102351,0.568764,0.185196,-0.805444,-1.1025,-2.31,-2.415
39,102448,0.567788,0.181292,-0.807152,-1.155,-2.24,-2.52
40,102546,0.565104,0.180072,-0.806908,-1.295,-2.31,-2.8
41,102643,0.5655921,0.185684,-0.8047121,-1.435,-2.24,-2.8525
42,102740,0.571448,0.182756,-0.807884,-1.47,-2.065,-2.9575
43,102838,0.571936,0.18544,-0.8095921,-1.5225,-2.1175,-2.9925
44,102935,0.5736441,0.18788,-0.807396,-1.4525,-2.275,-2.87
45,103033,0.572424,0.183488,-0.805444,-1.4175,-2.5375,-2.87
46,103130,0.5673,0.18666,-0.8049561,-1.435,-2.6425,-2.9925
47,103227,0.56974,0.181292,-0.8047121,-1.4175,-2.6075,-2.975
48,103325,0.566568,0.181292,-0.8066641,-1.61,-2.6075,-2.9575
49,103422,0.572668,0.18544,-0.806908,-1.8725,-2.5025,-3.0975
50,103519,0.57096,0.188612,-0.807152,-1.995,-2.3275,-3.255
51,103617,0.5751081,0.19398,-0.806176,-2.1,-2.275,-3.1675
52,103714,0.571692,0.18422,-0.807884,-2.065,-2.345,-2.9925
53,103812,0.564616,0.188856,-0.8044681,-2.0825,-2.415,-2.8
54,103909,0.5673,0.187636,-0.805444,-1.925,-2.31,-2.8175
55,104007,0.567788,0.18422,-0.805688,-1.8025,-2.1875,-2.73
56,104104,0.564616,0.192028,-0.8044681,-1.8725,-2.275,-2.6425
57,104201,0.569984,0.188856,-0.80642,-1.7325,-2.0475,-2.5725
58,104299,0.568764,0.187636,-0.8047121,-1.5925,-2.0475,-2.5025
59,104396,0.567544,0.184708,-0.805444,-1.5575,-2.0475,-2.5375
60,104494,0.5673,0.18422,-0.80642,-1.5575,-2.0475,-2.5725
61,104591,0.56974,0.183732,-0.807884,-1.7675,-2.0825,-2.625
62,104688,0.568276,0.183244,-0.807152,-1.75,-1.9775,-2.8175
63,104786,0.567544,0.186416,-0.8047121,-1.785,-2.1175,-2.8525
64,104883,0.571448,0.185196,-0.805932,-1.8025,-2.1,-2.8525
65,104981,0.571692,0.186172,-0.805932,-1.82,-2.2225,-2.9575
66,105078,0.5673,0.187392,-0.8044681,-1.785,-2.345,-2.87
67,105175,0.567544,0.188124,-0.805688,-1.75,-2.2925,-2.8
68,105273,0.566324,0.187148,-0.8066641,-1.5575,-2.135,-2.6775
69,105370,0.567056,0.188368,-0.806176,-1.5925,-2.0825,-2.59
70,105468,0.567788,0.186416,-0.802272,-1.4175,-2.1,-2.6425
71,105565,0.568764,0.18666,-0.802272,-1.47,-1.9425,-2.5375
72,105662,0.567788,0.1891,-0.805444,-1.54,-1.8725,-2.5725
73,105760,0.5694961,0.1891,-0.8052,-1.5225,-1.8025,-2.555
74,105857,0.571204,0.187392,-0.804224,-1.3825,-1.75,-2.5025
75,105954,0.5690081,0.18544,-0.8049561,-1.33,-1.855,-2.3625
76,106052,0.568764,0.185928,-0.803736,-1.26,-1.8725,-2.3275
77,106149,0.5694961,0.183732,-0.8039801,-1.33,-1.89,-2.31
78,106247,0.573888,0.185928,-0.805688,-1.3125,-1.89,-2.2925
79,106344,0.57218,0.186172,-0.8049561,-1.3125,-2.0475,-2.2925
80,106441,0.571692,0.18544,-0.807152,-1.2775,-2.1875,-2.3275
81,106539,0.57096,0.188124,-0.8047121,-1.3825,-2.24,-2.31
82,106636,0.571448,0.189588,-0.803492,-1.3825,-2.275,-2.2925
83,106734,0.569984,0.1891,-0.803492,-1.2775,-2.31,-2.2575
84,106831,0.571448,0.190564,-0.8049561,-1.1725,-2.345,-2.1875
85,106928,0.566324,0.188856,-0.80276,-0.9975,-2.2575,-2.0125
86,107026,0.566568,0.186904,-0.803492,-0.98,-2.1175,-1.96
87,107123,0.568764,0.184464,-0.805932,-0.945,-2.1175,-1.96
88,107221,0.568032,0.182024,-0.8049561,-0.875,-2.0825,-1.96
89,107318,0.568764,0.18178,-0.805688,-0.8925,-2.1175,-2.065
90,107415,0.5690081,0.182512,-0.80642,-0.945,-2.0475,-2.2575
91,107513,0.570472,0.183976,-0.806176,-1.0675,-2.0475,-2.3275
92,107610,0.57096,0.182512,-0.803736,-1.1725,-2.17,-2.415
93,107708,0.5736441,0.183976,-0.803736,-1.3825,-2.2225,-2.5025
94,107805,0.572912,0.184464,-0.805688,-1.5225,-2.3275,-2.59
95,107902,0.571936,0.186904,-0.805444,-1.61,-2.485,-2.555
96,108000,0.5690081,0.187392,-0.803736,-1.575,-2.52,-2.5025
97,108097,0.5653481,0.184952,-0.80154,-1.61,-2.5725,-2.4675
98,108195,0.57218,0.189344,-0.8030041,-1.61,-2.485,-2.5025
99,108292,0.5702281,0.183244,-0.8039801,-1.6625,-2.485,-2.5375
100,108389,0.569252,0.186416,-0.802272,-1.7675,-2.555,-2.625
101,108487,0.5655921,0.184952,-0.800564,-1.715,-2.52,-2.5375
102,108584,0.566324,0.18422,-0.800564,-1.6625,-2.52,-2.59
103,108682,0.56852,0.185196,-0.8025161,-1.7675,-2.3975,-2.555
104,108779,0.567788,0.183488,-0.8030041,-1.785,-2.345,-2.66
105,108876,0.566812,0.184464,-0.801296,-1.89,-2.415,-2.555
106,108974,0.568764,0.183488,-0.803492,-1.9425,-2.38,-2.7125
107,109071,0.57096,0.183488,-0.8052,-1.9775,-2.38,-2.66
108,109169,0.5702281,0.18544,-0.805444,-2.0825,-2.45,-2.625
109,109266,0.5690081,0.186904,-0.8030041,-2.03,-2.5025,-2.59
110,109363,0.568276,0.183,-0.8047121,-2.1,-2.485,-2.6775
111,109461,0.569252,0.18422,-0.8047121,-2.03,-2.4325,-2.6775
112,109558,0.5648601,0.182756,-0.799344,-2.1525,-2.45,-2.7475
113,109655,0.565836,0.184708,-0.801052,-2.2575,-2.3625,-2.835
114,109753,0.566812,0.187148,-0.803248,-2.2575,-2.1175,-2.975
115,109850,0.569252,0.188612,-0.80276,-2.1875,-2.0475,-2.975
116,109948,0.573156,0.1891,-0.8047121,-2.065,-2.0825,-2.9925
117,110045,0.5702281,0.194224,-0.799344,-2.0125,-2.1525,-2.8175
118,110143,0.568764,0.188124,-0.8030041,-1.715,-2.1,-2.7475
119,110240,0.571204,0.19276,-0.803736,-1.5925,-2.1,-2.695
120,110337,0.5690081,0.190076,-0.8039801,-1.47,-2.0475,-2.59
121,110435,0.568032,0.188612,-0.8044681,-1.365,-2.1,-2.38
122,110532,0.56852,0.187148,-0.8020281,-1.1725,-2.065,-2.3275
123,110630,0.568032,0.183488,-0.801052,-1.225,-2.1,-2.3275
124,110727,0.571692,0.18666,-0.8049561,-1.295,-2.065,-2.5375
125,110824,0.571448,0.18788,-0.803248,-1.4175,-2.0475,-2.59
126,110922,0.570716,0.186416,-0.8025161,-1.4175,-2.0475,-2.59
127,111019,0.569252,0.186904,-0.8020281,-1.47,-2.1,-2.625
128,111117,0.568032,0.186416,-0.800808,-1.435,-2.1,-2.73
129,111214,0.566568,0.184464,-0.80154,-1.54,-1.9425,-2.7825
