,T,ax,ay,az,gx,gy,gz
0,23488,0.771772,0.025376,-0.43798,8.2775,-8.8025,-8.12
1,23631,0.784216,0.032086,-0.483486,87.9375,-90.3175,-145.3025
2,23727,0.8365541,0.034648,-0.5165481,70.1575,-115.1325,-138.46
3,23824,0.840946,0.031354,-0.5172801,45.6575,-111.1775,-44.6775
4,23920,0.8430201,0.025986,-0.520818,3.2025,-7.385,-3.71
5,24016,0.8460701,0.018422,-0.518378,2.415,-4.9175,-2.9575
6,24113,0.8453381,0.017202,-0.518988,2.5725,-4.5675,-3.2375
7,24209,0.844606,0.017446,-0.52155,2.73,-4.2875,-3.4475
8,24306,0.84546,0.0183,-0.5239901,2.905,-4.13,-3.6925
9,24402,0.846436,0.019886,-0.523014,2.905,-3.99,-3.7975
10,24499,0.850096,0.019398,-0.524234,2.625,-3.85,-3.71
11,24595,0.850218,0.01769,-0.525332,2.5025,-3.9725,-3.6225
12,24692,0.8522921,0.015006,-0.526064,2.45,-4.1475,-3.5525
13,24788,0.851194,0.011712,-0.525698,2.3625,-4.2525,-3.4475
14,24885,0.8480221,0.006466,-0.5248441,2.415,-4.27,-3.4825
15,24981,0.845948,0.004026,-0.526186,2.52,-4.025,-3.36
16,25077,0.8400921,0.003782,-0.523258,2.695,-3.815,-3.255
17,25174,0.8357,0.009638,-0.5214281,2.5375,-3.5,-3.0625
18,25270,0.83082,0.014762,-0.518622,2.345,-3.15,-2.73
19,25367,0.831308,0.019886,-0.518866,2.31,-3.15,-2.38
20,25463,0.831918,0.02013,-0.518988,2.1525,-3.045,-2.0475
21,25560,0.83082,0.018422,-0.52033,1.9425,-3.185,-1.75
22,25656,0.8317961,0.014762,-0.520208,1.54,-3.185,-1.54
23,25753,0.8322841,0.010736,-0.518866,1.0675,-3.185,-1.47
24,25849,0.8357,0.006466,-0.51606,0.4725,-3.0625,-1.4525
25,25945,0.834968,0.004636001,-0.5124001,-0.0875,-3.0975,-1.505
26,26042,0.833504,0.005124001,-0.510326,-0.5075,-2.9225,-1.5575
27,26138,0.831674,0.00793,-0.50935,-0.945,-2.87,-1.4
28,26235,0.829356,0.008540001,-0.508984,-1.05,-2.905,-1.33
29,26331,0.8304541,0.01159,-0.5077641,-1.225,-2.8875,-1.2075
30,26428,0.832528,0.013786,-0.5058121,-1.3825,-2.7825,-1.085
31,26524,0.8355781,0.014884,-0.506056,-1.3825,-2.835,-0.7525
32,26621,0.8392381,0.01464,-0.506178,-1.4875,-2.9225,-0.5425
