,T,ax,ay,az,gx,gy,gz
0,89490,-0.437004,0.147864,-0.7324881,9.3975,-9.4675,-7.49
1,89639,-0.41724,0.15006,-0.792756,-64.7325,1.8725,-43.7675
2,89736,-0.437004,0.174704,-0.853024,-47.565,-131.495,-147.9625
3,89833,-0.438468,0.17568,-0.860344,38.15,-131.46,-67.305
4,89929,-0.440908,0.175436,-0.861808,2.59,-10.2025,-6.8775
5,90026,-0.4404201,0.177632,-0.8569281,0.8575,-4.3575,-4.025
6,90123,-0.440176,0.172264,-0.8625401,0.9975,-4.3575,-4.095
7,90220,-0.441396,0.17324,-0.8615641,0.9975,-4.3575,-4.13
8,90317,-0.440176,0.1769,-0.860588,0.98,-4.375,-4.1125
9,90414,-0.442128,0.172996,-0.859856,0.945,-4.41,-4.1125
10,90510,-0.4404201,0.176656,-0.860588,1.015,-4.27,-4.2175
11,90607,-0.441396,0.174704,-0.860832,0.98,-4.3225,-4.2525
12,90704,-0.441152,0.174216,-0.861808,1.05,-4.27,-4.2175
13,90801,-0.441396,0.171044,-0.8642481,1.12,-4.27,-4.27
14,90898,-0.440176,0.176412,-0.861808,1.1025,-4.27,-4.235
15,90995,-0.438956,0.17568,-0.8637601,1.015,-4.3925,-4.27
16,91091,-0.441884,0.174704,-0.862296,0.98,-4.3225,-4.27
17,91188,-0.442616,0.173728,-0.863272,1.015,-4.305,-4.2175
18,91285,-0.441152,0.173484,-0.863516,1.085,-4.3575,-4.2525
19,91382,-0.441396,0.17446,-0.864736,0.9975,-4.235,-4.2875
20,91479,-0.440664,0.17568,-0.8615641,1.0325,-4.2,-4.2525
21,91576,-0.44164,0.173972,-0.8657121,1.05,-4.2525,-4.235
22,91672,-0.440664,0.173728,-0.864004,0.9975,-4.165,-4.2525
23,91769,-0.441152,0.175192,-0.860832,1.015,-4.1825,-4.1825
24,91866,-0.443592,0.172752,-0.860344,1.0675,-4.1475,-4.2175
25,91963,-0.44164,0.17324,-0.8625401,1.085,-4.1475,-4.1825
26,92060,-0.441396,0.172264,-0.863272,1.05,-4.2175,-4.235
27,92157,-0.44164,0.173484,-0.861808,0.9625,-4.27,-4.27
28,92253,-0.4404201,0.171532,-0.862784,0.9625,-4.2175,-4.2875
29,92350,-0.440176,0.172996,-0.8637601,0.8925,-4.1475,-4.2875
30,92447,-0.440176,0.175924,-0.862784,0.945,-4.1475,-4.1125
31,92544,-0.443348,0.174216,-0.861808,0.9625,-4.2,-4.0775
32,92641,-0.440176,0.174948,-0.8637601,0.9975,-4.2175,-4.095
33,92737,-0.439444,0.174704,-0.859856,1.0325,-4.2875,-4.165
34,92834,-0.441396,0.173484,-0.8637601,0.9625,-4.165,-4.095
35,92931,-0.44164,0.174948,-0.860832,0.9975,-4.1125,-4.2
36,93028,-0.444568,0.173484,-0.8579041,0.98,-4.1475,-4.235
37,93125,-0.43432,0.176412,-0.8610761,1.05,-4.27,-4.235
38,93222,-0.437004,0.175924,-0.86132,1.085,-4.1475,-4.165
39,93318,-0.4392,0.175924,-0.860588,1.05,-4.235,-4.305
40,93415,-0.438712,0.176412,-0.8610761,1.015,-4.2,-4.2525
41,93512,-0.43798,0.178364,-0.861808,1.1725,-4.2525,-4.27
42,93609,-0.44164,0.174216,-0.863028,1.05,-4.2875,-4.3225
43,93706,-0.441396,0.174704,-0.8657121,1.0325,-4.235,-4.3225
44,93803,-0.439932,0.173972,-0.863516,1.12,-4.2,-4.3925
45,93899,-0.442616,0.172996,-0.86132,1.1025,-4.305,-4.34
46,93996,-0.442616,0.175924,-0.8569281,1.05,-4.2525,-4.2875
47,94093,-0.439688,0.177876,-0.8601,1.0325,-4.1475,-4.3225
48,94190,-0.438468,0.176412,-0.8615641,1.12,-4.13,-4.27
49,94287,-0.437492,0.175192,-0.860588,1.19,-4.165,-4.3225
50,94384,-0.438956,0.177144,-0.861808,1.26,-4.2175,-4.375
51,94480,-0.43676,0.17202,-0.858148,1.2075,-4.235,-4.445
52,94577,-0.441152,0.174704,-0.8610761,1.1375,-4.2875,-4.4975
53,94674,-0.440908,0.173728,-0.863028,0.9975,-4.305,-4.4975
54,94771,-0.440908,0.175924,-0.861808,0.9625,-4.27,-4.3925
55,94868,-0.439688,0.176412,-0.860344,1.1025,-4.2875,-4.4625
56,94964,-0.442616,0.173728,-0.8615641,1.1375,-4.2875,-4.5325
57,95061,-0.44164,0.173484,-0.863516,1.12,-4.3225,-4.4275
58,95158,-0.439688,0.172752,-0.8615641,1.085,-4.2,-4.3575
59,95255,-0.440176,0.17324,-0.8625401,0.9625,-4.3225,-4.34
60,95352,-0.441152,0.17202,-0.862784,1.085,-4.2525,-4.2875
61,95449,-0.4404201,0.177876,-0.8596121,1.085,-4.2175,-4.235
62,95545,-0.440664,0.176168,-0.860588,1.12,-4.165,-4.34
63,95642,-0.439444,0.176168,-0.859368,1.12,-4.1125,-4.3925
64,95739,-0.437736,0.174948,-0.859368,1.1025,-4.0775,-4.3925
65,95836,-0.4404201,0.175924,-0.8591241,1.155,-4.1475,-4.3225
66,95933,-0.440664,0.174704,-0.8610761,1.155,-4.1125,-4.34
67,96029,-0.43798,0.175436,-0.860832,1.19,-4.1475,-4.34
68,96126,-0.438956,0.175924,-0.860344,1.2075,-4.025,-4.3925
69,96223,-0.438712,0.17568,-0.860832,1.19,-4.0075,-4.41
70,96320,-0.439932,0.175924,-0.8610761,1.2775,-4.0075,-4.3925
71,96417,-0.442128,0.17324,-0.86132,1.295,-4.06,-4.4975
72,96514,-0.44286,0.17202,-0.8601,1.225,-4.06,-4.4275
73,96610,-0.438956,0.17324,-0.8601,1.295,-4.165,-4.375
74,96707,-0.43798,0.17568,-0.862784,1.225,-4.2175,-4.4275
75,96804,-0.438956,0.179584,-0.858392,1.155,-4.2,-4.375
76,96901,-0.440908,0.1769,-0.8596121,1.33,-4.235,-4.55
77,96998,-0.439444,0.176412,-0.858392,1.2775,-4.1825,-4.6375
78,97094,-0.43798,0.175192,-0.858636,1.225,-4.1475,-4.62
79,97191,-0.439444,0.174216,-0.8620521,1.2425,-4.3225,-4.6025
80,97288,-0.439932,0.175192,-0.8601,1.2075,-4.2525,-4.6025
81,97385,-0.441152,0.173728,-0.862296,1.225,-4.2875,-4.585
82,97482,-0.440176,0.17324,-0.863272,1.2075,-4.235,-4.55
83,97579,-0.442616,0.173972,-0.8610761,1.225,-4.1825,-4.5325
84,97675,-0.4404201,0.173484,-0.861808,1.365,-4.13,-4.515
85,97772,-0.440664,0.174704,-0.863028,1.2775,-4.1825,-4.5325
86,97869,-0.439932,0.177144,-0.8601,1.2425,-4.1125,-4.6025
87,97966,-0.438956,0.173484,-0.8637601,1.225,-4.06,-4.5325
88,98063,-0.438224,0.174704,-0.860832,1.295,-3.99,-4.5675
89,98159,-0.437492,0.175192,-0.8620521,1.3475,-4.0075,-4.585
90,98256,-0.439932,0.173972,-0.8601,1.3475,-4.06,-4.4975
91,98353,-0.439688,0.174948,-0.860588,1.2425,-4.1475,-4.55
92,98450,-0.438468,0.175192,-0.862784,1.2775,-4.2175,-4.515
93,98547,-0.4392,0.171776,-0.8625401,1.155,-4.1825,-4.4975
94,98644,-0.441152,0.172752,-0.861808,1.2425,-4.2,-4.4275
95,98740,-0.439444,0.176168,-0.8601,1.2075,-4.2175,-4.41
96,98837,-0.438712,0.175192,-0.861808,1.295,-4.2175,-4.3575
97,98934,-0.437736,0.174948,-0.860344,1.19,-4.165,-4.41
98,99031,-0.43798,0.174704,-0.860588,1.1375,-4.165,-4.445
99,99128,-0.438468,0.1769,-0.859368,1.19,-4.27,-4.3925
100,99225,-0.440908,0.17202,-0.8620521,1.1375,-4.2875,-4.4625
101,99321,-0.439688,0.173484,-0.8625401,1.0325,-4.235,-4.48
102,99418,-0.440908,0.172508,-0.8620521,1.1725,-4.305,-4.3925
103,99515,-0.438468,0.17202,-0.859856,1.12,-4.235,-4.3925
104,99612,-0.43798,0.171776,-0.860832,1.12,-4.235,-4.3925
105,99709,-0.440664,0.173728,-0.8610761,1.155,-4.2875,-4.305
106,99806,-0.437248,0.17446,-0.861808,1.26,-4.41,-4.515
107,99902,-0.43554,0.17446,-0.858636,1.4,-4.2875,-4.4975
108,99999,-0.441396,0.172264,-0.8601,1.26,-4.34,-4.4625
109,100096,-0.438712,0.1708,-0.8625401,1.155,-4.3225,-4.4625
110,100193,-0.440908,0.17324,-0.8579041,1.19,-4.4275,-4.48
111,100290,-0.439688,0.17324,-0.8596121,1.12,-4.2875,-4.3925
112,100386,-0.439688,0.176412,-0.860344,1.12,-4.34,-4.3225
113,100483,-0.440176,0.175192,-0.8596121,1.1375,-4.3225,-4.3575
114,100580,-0.438712,0.174704,-0.8601,1.1725,-4.3575,-4.41
115,100677,-0.439932,0.176168,-0.8596121,1.1725,-4.375,-4.3225
116,100774,-0.43798,0.17324,-0.8610761,1.2075,-4.3925,-4.3225
117,100871,-0.441152,0.172752,-0.860832,1.19,-4.41,-4.34
118,100967,-0.4404201,0.174704,-0.863516,1.1725,-4.3925,-4.305
119,101064,-0.440908,0.175192,-0.862784,1.2075,-4.305,-4.235
120,101161,-0.440176,0.176412,-0.8601,1.1375,-4.3225,-4.3225
121,101258,-0.438224,0.177144,-0.8596121,1.225,-4.2525,-4.34
