,T,ax,ay,az,gx,gy,gz
0,118442,0.513376,0.027816,-0.713212,11.305,-15.645,-15.9425
1,118584,0.540704,0.023668,-0.78324,-66.885,-212.7475,-61.1275
2,118681,0.549244,0.008052001,-0.83204,-160.7025,-405.1075,-125.895
3,118777,0.548512,0.008052001,-0.833504,5.8275,-117.32,-34.6325
4,118874,0.546072,0.0061,-0.834968,1.1025,0.5775,-4.165
5,118970,0.547536,0.005612,-0.83814,0.91,1.3825,-4.025
6,119067,0.5458281,0.006832001,-0.8344801,0.91,1.47,-4.025
7,119163,0.54778,0.006588,-0.8359441,0.91,1.5225,-4.06
8,119260,0.547536,0.008540001,-0.836676,0.875,1.4525,-4.06
9,119356,0.549244,0.009516001,-0.835456,0.875,1.435,-4.095
10,119453,0.548024,0.007320001,-0.841312,0.8225,1.5225,-4.1125
11,119549,0.54778,0.009028001,-0.8378961,0.8400001,1.47,-4.095
12,119646,0.547292,0.007808001,-0.837164,0.875,1.435,-4.0425
13,119742,0.55022,0.007320001,-0.839116,0.9275,1.4525,-4.0075
14,119839,0.550708,0.007808001,-0.836676,0.9975,1.47,-3.955
15,119935,0.5504641,0.008052001,-0.836188,0.98,1.3825,-3.92
16,120032,0.548756,0.007564001,-0.839848,0.91,1.4875,-3.99
17,120128,0.5511961,0.0061,-0.837652,0.8575,1.61,-3.9725
18,120225,0.550708,0.005368,-0.837652,0.8925,1.435,-3.9025
19,120321,0.547536,0.006832001,-0.8405801,0.91,1.435,-3.8325
20,120418,0.549244,0.0061,-0.8378961,1.0325,1.435,-3.9725
21,120514,0.550708,0.007076001,-0.8383841,1.0325,1.4525,-3.955
22,120611,0.54656,0.007808001,-0.8364321,1.05,1.3825,-3.955
23,120707,0.549244,0.0061,-0.83692,0.9275,1.33,-3.92
24,120804,0.549488,0.007320001,-0.837164,0.875,1.3475,-3.9025
25,120900,0.5499761,0.006588,-0.839116,0.8575,1.505,-3.9025
26,120997,0.549488,0.006344,-0.8364321,0.8225,1.5575,-3.9725
27,121093,0.54656,0.007808001,-0.8378961,0.7,1.61,-3.9725
28,121190,0.547292,0.006832001,-0.837164,0.6825,1.645,-4.0425
29,121286,0.548512,0.008296001,-0.83814,0.7175,1.7325,-3.9725
30,121383,0.548756,0.010004,-0.834724,0.7,1.75,-4.0425
31,121479,0.548756,0.00976,-0.83692,0.8225,1.575,-4.095
32,121576,0.549732,0.008784,-0.836676,0.945,1.5225,-4.025
33,121672,0.548268,0.008784,-0.836676,0.91,1.47,-3.955
34,121769,0.549732,0.006588,-0.83814,0.98,1.505,-3.99
35,121865,0.548512,0.007320001,-0.837652,1.0675,1.5575,-3.9375
36,121962,0.549732,0.00976,-0.834724,1.05,1.54,-3.99
37,122058,0.548512,0.006588,-0.83692,1.085,1.505,-3.9025
38,122155,0.548512,0.007076001,-0.837652,1.1025,1.575,-3.885
39,122251,0.548756,0.007808001,-0.83936,1.05,1.505,-3.9375
40,122348,0.549244,0.008784,-0.835456,0.9975,1.54,-3.99
41,122444,0.54778,0.010492,-0.837164,0.9625,1.4875,-4.06
42,122541,0.546804,0.006588,-0.834724,0.91,1.54,-4.0425
43,122637,0.545096,0.007564001,-0.83082,0.8925,1.4875,-4.0425
44,122734,0.549,0.006588,-0.834724,0.98,1.435,-4.025
45,122830,0.549732,0.007076001,-0.837164,1.085,1.4525,-3.99
46,122927,0.549,0.010004,-0.8359441,1.19,1.54,-3.9375
47,123023,0.548756,0.008784,-0.836188,1.19,1.61,-3.9375
48,123120,0.549244,0.0061,-0.83692,1.3475,1.68,-3.955
49,123216,0.5504641,0.009272001,-0.837408,1.3825,1.645,-3.955
50,123313,0.549488,0.008540001,-0.8344801,1.3825,1.61,-3.885
51,123409,0.548024,0.006344,-0.834236,1.3125,1.645,-3.955
52,123506,0.5499761,0.006344,-0.836188,1.295,1.6275,-3.99
53,123602,0.546072,0.009028001,-0.8359441,1.3125,1.7325,-3.9725
54,123699,0.549488,0.009028001,-0.834968,1.365,1.715,-4.0075
55,123795,0.548756,0.00976,-0.834236,1.435,1.6975,-4.06
56,123892,0.55022,0.010004,-0.835212,1.3125,1.68,-4.025
57,123988,0.549488,0.007320001,-0.836676,1.4,1.7325,-4.13
58,124085,0.548756,0.008052001,-0.835212,1.435,1.7325,-3.99
59,124181,0.548756,0.008540001,-0.8359441,1.4525,1.715,-4.025
60,124277,0.5511961,0.0061,-0.8337481,1.3475,1.7325,-4.0775
61,124374,0.5504641,0.006588,-0.8332601,1.155,1.6275,-4.025
62,124470,0.551684,0.008296001,-0.8332601,1.1375,1.54,-3.99
63,124567,0.55022,0.009028001,-0.8337481,1.12,1.61,-3.9725
64,124664,0.549244,0.009272001,-0.835212,1.0325,1.54,-3.8675
65,124760,0.549244,0.008052001,-0.835212,1.0325,1.3825,-3.8675
66,124857,0.548024,0.007320001,-0.834968,1.015,1.3825,-3.85
67,124953,0.5504641,0.007808001,-0.836676,1.0675,1.4,-3.85
68,125050,0.549488,0.008540001,-0.835212,1.1025,1.295,-3.9025
69,125146,0.549,0.007076001,-0.834724,1.05,1.33,-3.8325
70,125242,0.5499761,0.010248,-0.835212,1.1725,1.3475,-3.78
71,125339,0.549,0.007808001,-0.834236,1.19,1.365,-3.8325
72,125435,0.5499761,0.006832001,-0.833504,1.2775,1.295,-3.8325
