,T,ax,ay,az,gx,gy,gz
0,139373,0.5797441,-0.107848,-0.569252,17.325,-19.5825,-14.7525
1,139532,0.6131721,-0.094916,-0.6771,-21.91,-65.43251,-181.58
2,139630,0.658312,-0.09711201,-0.7259001,-36.6625,-90.9475,-321.1775
3,139728,0.658068,-0.09613601,-0.7332201,26.81,-113.4525,-89.4425
4,139825,0.658068,-0.0976,-0.734196,0.665,-10.1675,-9.73
5,139923,0.659776,-0.09784401,-0.734684,-0.4375,-5.5825,-6.3175
6,140021,0.658556,-0.09906401,-0.7332201,-0.4025,-5.53,-6.37
7,140119,0.658312,-0.101016,-0.735416,-0.42,-5.4425,-6.405
8,140217,0.659288,-0.099552,-0.734684,-0.525,-5.4775,-6.51
9,140314,0.658556,-0.10004,-0.736392,-0.56,-5.4425,-6.4925
10,140412,0.659532,-0.098332,-0.735904,-0.5775,-5.4425,-6.3875
11,140510,0.659288,-0.096624,-0.73444,-0.595,-5.4775,-6.4575
12,140608,0.656848,-0.096868,-0.734928,-0.56,-5.565,-6.4225
13,140706,0.6588,-0.095648,-0.73444,-0.525,-5.635,-6.37
14,140803,0.658068,-0.09711201,-0.736392,-0.4725,-5.7575,-6.265
15,140901,0.658556,-0.098576,-0.734684,-0.4025,-5.88,-6.195
16,140999,0.658312,-0.09589201,-0.7373681,-0.315,-5.775,-6.16
17,141097,0.655384,-0.098576,-0.738588,-0.2625,-5.67,-6.2475
18,141194,0.656116,-0.09784401,-0.739808,-0.2975,-5.565,-6.3
19,141292,0.6563601,-0.098576,-0.737856,-0.21,-5.4425,-6.1425
20,141390,0.660996,-0.098088,-0.735904,-0.35,-5.425,-6.2825
21,141488,0.658068,-0.098088,-0.734196,-0.385,-5.425,-6.23
22,141586,0.659776,-0.098332,-0.733464,-0.385,-5.4425,-6.2475
23,141683,0.659532,-0.09784401,-0.733708,-0.4025,-5.39,-6.2125
24,141781,0.6605081,-0.098576,-0.733952,-0.28,-5.4425,-6.2125
25,141879,0.657824,-0.09906401,-0.73444,-0.315,-5.5825,-6.2825
26,141977,0.658312,-0.10004,-0.736392,-0.4025,-5.6175,-6.23
27,142075,0.6563601,-0.100528,-0.735904,-0.385,-5.5825,-6.23
28,142172,0.656848,-0.098332,-0.737124,-0.42,-5.425,-6.3175
29,142270,0.658068,-0.098332,-0.735172,-0.35,-5.3375,-6.3875
30,142368,0.659532,-0.09784401,-0.733708,-0.315,-5.215,-6.3525
31,142466,0.6600201,-0.098088,-0.733952,-0.3675,-5.1975,-6.37
32,142564,0.657336,-0.09784401,-0.7324881,-0.35,-5.25,-6.2475
33,142662,0.657824,-0.09613601,-0.7361481,-0.2625,-5.32,-6.37
34,142759,0.659532,-0.09882,-0.735416,-0.21,-5.355,-6.3
35,142857,0.659532,-0.100772,-0.7373681,-0.28,-5.4775,-6.37
36,142955,0.6600201,-0.096624,-0.7327321,-0.3675,-5.4425,-6.405
37,143053,0.660264,-0.099552,-0.731512,-0.3325,-5.6525,-6.265
38,143151,0.660264,-0.098088,-0.7327321,-0.2975,-5.565,-6.265
