,T,ax,ay,az,gx,gy,gz
0,184057,0.487512,0.1464,-0.74786,18.515,-18.1825,-16.8875
1,184207,0.52582,0.152012,-0.827892,50.61,-66.8675,26.0925
2,184305,0.5653481,0.142252,-0.881328,67.83,-118.055,47.1275
3,184403,0.569252,0.141032,-0.892796,48.44,-99.03251,-14.525
4,184501,0.56974,0.140544,-0.886452,4.41,3.43,-3.815
5,184599,0.568276,0.142496,-0.875716,6.265,-1.295,-3.745
6,184697,0.56852,0.118828,-0.854244,7.4375,-8.7325,-4.2
7,184795,0.563152,0.121268,-0.8642481,3.7625,-16.3625,-4.6725
8,184893,0.560956,0.115656,-0.8703481,-1.225,-23.625,-5.04
9,184992,0.607804,0.10126,-0.988444,-6.7025,-29.33,-5.1975
10,185090,0.500688,0.141032,-0.850584,-16.38,-39.5675,-4.9175
11,185188,0.431148,0.24278,-0.8447281,-8.855,-31.15,-4.8475
12,185286,0.551928,0.106872,-0.810568,12.81,-5.6175,-4.9875
13,185384,0.525332,0.136152,-0.770308,5.7925,-12.6,-4.8825
14,185482,0.5185,0.154208,-0.8195961,0.105,-6.2475,-4.7425
15,185580,0.5206961,0.152012,-0.831308,0.175,-5.6175,-4.9
16,185678,0.522404,0.15494,-0.83204,0.42,-5.2675,-4.655
17,185776,0.522892,0.153476,-0.834724,0.6475,-4.9875,-4.41
18,185874,0.52338,0.150792,-0.8337481,0.8575,-4.8125,-4.27
19,185972,0.521184,0.153232,-0.833016,0.9975,-4.8475,-4.1475
20,186070,0.520208,0.155184,-0.8344801,1.1375,-4.9,-4.0425
21,186168,0.521916,0.154696,-0.8344801,1.26,-4.8125,-3.8325
22,186266,0.51972,0.153476,-0.833504,1.3825,-4.7075,-3.6575
23,186364,0.519232,0.155184,-0.837164,1.47,-4.69,-3.71
24,186462,0.520452,0.154452,-0.837164,1.5925,-4.515,-3.5175
25,186560,0.5206961,0.155184,-0.836188,1.75,-4.6375,-3.465
26,186658,0.5206961,0.149816,-0.836676,1.8375,-4.515,-3.4475
27,186756,0.518988,0.150304,-0.8357,1.89,-4.515,-3.3775
28,186855,0.519964,0.15006,-0.834968,1.82,-4.4975,-3.43
29,186953,0.5185,0.150792,-0.837652,1.8025,-4.725,-3.5
30,187051,0.5206961,0.154452,-0.8357,1.82,-4.7075,-3.465
31,187149,0.521672,0.155184,-0.836676,1.7675,-4.585,-3.4475
32,187247,0.523136,0.152012,-0.836188,1.7675,-4.4275,-3.36
33,187345,0.521672,0.15128,-0.8359441,1.89,-4.445,-3.325
34,187443,0.522892,0.150792,-0.8357,1.9425,-4.585,-3.3775
35,187541,0.52094,0.153964,-0.8364321,1.9075,-4.5675,-3.3425
36,187639,0.521184,0.149572,-0.836676,1.855,-4.655,-3.325
37,187737,0.52094,0.150304,-0.836188,1.9075,-4.69,-3.36
38,187835,0.521184,0.152256,-0.836676,1.9075,-4.7075,-3.4125
39,187933,0.522648,0.152012,-0.835456,1.9075,-4.655,-3.395
40,188031,0.518256,0.155916,-0.837164,1.96,-4.8125,-3.43
41,188129,0.52094,0.153476,-0.835212,2.0475,-4.8125,-3.325
42,188227,0.522404,0.152256,-0.836676,2.0475,-4.76,-3.255
43,188325,0.522404,0.153964,-0.836676,2.065,-4.6725,-3.3075
44,188423,0.5214281,0.152988,-0.836676,2.1175,-4.7775,-3.3075
45,188521,0.522648,0.149084,-0.8344801,2.1175,-4.76,-3.29
46,188619,0.52216,0.152256,-0.8357,2.0825,-4.725,-3.2375
47,188717,0.521184,0.152256,-0.83692,2.1175,-4.7775,-3.29
48,188815,0.519232,0.156404,-0.83692,2.1,-4.8125,-3.22
49,188913,0.518256,0.154696,-0.835456,2.1875,-4.8475,-3.2375
50,189011,0.519964,0.155672,-0.837652,2.2925,-4.9525,-3.115
51,189110,0.522648,0.153232,-0.83692,2.415,-4.9875,-3.01
52,189208,0.5214281,0.151768,-0.837164,2.52,-4.9875,-2.94
53,189306,0.522892,0.153232,-0.8359441,2.45,-5.1275,-2.8525
54,189404,0.520208,0.15494,-0.8357,2.5375,-5.25,-2.8175
55,189502,0.520208,0.150792,-0.834968,2.6775,-5.2675,-2.7475
56,189600,0.518744,0.153964,-0.83692,2.6775,-5.355,-2.7475
57,189698,0.521184,0.15616,-0.836676,2.6775,-5.25,-2.6075
58,189796,0.518256,0.155916,-0.8388721,2.7475,-5.0925,-2.4675
59,189894,0.5185,0.151768,-0.8344801,2.835,-5.0575,-2.2925
60,189992,0.522648,0.151036,-0.8332601,2.87,-4.9,-2.2925
61,190090,0.520208,0.146644,-0.8357,2.5725,-4.76,-2.345
62,190188,0.522892,0.162504,-0.839116,2.065,-4.48,-2.5375
63,190286,0.5214281,0.178608,-0.8400921,1.995,-4.3225,-2.1175
64,190384,0.515084,0.17446,-0.8527801,2.1525,-3.7625,-1.505
65,190482,0.519476,0.155184,-0.845948,1.82,-2.8525,-1.0325
66,190580,0.522892,0.1464,-0.85034,1.05,-1.645,-1.0325
67,190678,0.5355801,0.15494,-0.84546,-0.14,-0.4025,-1.33
68,190776,0.52338,0.172264,-0.856196,-1.0325,0.5075,-1.715
69,190874,0.523624,0.14396,-0.8569281,-0.63,1.96,-1.645
70,190972,0.546804,0.130052,-0.8527801,0.77,3.535,-1.47
