,T,ax,ay,az,gx,gy,gz
0,44203,0.9287861,-0.09455001,0.07978801,13.93,-13.6325,-11.41
1,44348,0.946842,-0.077836,0.007686,52.2025,-89.25,-155.5925
2,44445,1.006378,-0.077714,0.004636001,50.6275,-134.4,-278.32
3,44542,1.004304,-0.076372,0.002928,58.975,-147.105,-98.28
4,44639,1.001254,-0.075274,0.0008540001,10.1675,-25.2525,-15.8375
5,44736,1.00345,-0.079422,-0.002318,2.8,-4.4975,-1.9075
6,44832,1.004914,-0.083936,-0.00366,3.605,-4.76,-2.135
7,44929,1.004426,-0.09089001,-0.004148001,4.305,-4.9875,-2.17
8,45026,1.002718,-0.09869801,-0.00305,4.8475,-5.355,-2.3625
9,45123,1.00162,-0.103822,-0.00061,5.11,-5.495,-2.5725
10,45220,1.000156,-0.1098,-0.000244,5.4775,-5.425,-2.6425
11,45317,1.000644,-0.11346,0.001098,5.4775,-5.215,-2.7825
12,45414,1.002352,-0.117242,0.003538,5.2675,-4.8125,-2.8
13,45511,1.003084,-0.12017,0.006466,4.795,-4.445,-2.8175
14,45608,1.004548,-0.123464,0.00671,4.3575,-4.27,-2.7825
15,45705,1.006012,-0.123708,0.003904,4.0075,-4.375,-2.6775
16,45802,1.003938,-0.124196,0.004514,3.8675,-4.585,-2.59
17,45899,1.004792,-0.124074,0.00427,3.6225,-4.6725,-2.4675
18,45996,1.006622,-0.124074,0.005612,3.2725,-4.3925,-2.31
19,46093,1.009428,-0.122854,0.010004,2.7825,-4.165,-2.275
20,46190,1.011624,-0.122366,0.010492,2.4675,-4.2175,-2.31
21,46287,1.01138,-0.118828,0.009394,2.31,-4.6025,-2.38
22,46384,1.009672,-0.117974,0.010614,2.415,-4.6725,-2.415
23,46481,1.006988,-0.113948,0.010614,2.5375,-4.6375,-2.4675
24,46578,1.004426,-0.109922,0.009394,2.66,-4.83,-2.3975
25,46675,1.003694,-0.107848,0.009150001,2.7475,-4.9175,-2.2225
26,46772,1.003084,-0.106018,0.009394,2.8,-4.865,-2.24
27,46869,1.002596,-0.107116,0.008662001,2.9225,-4.97,-2.1875
28,46966,1.00101,-0.107726,0.00976,3.0275,-5.04,-2.0475
29,47063,1.002718,-0.107604,0.006954,3.115,-4.97,-2.135
30,47159,1.000522,-0.11041,0.00671,3.22,-4.7075,-2.17
31,47256,0.997838,-0.11285,0.009028001,3.2725,-4.515,-2.17
32,47353,0.99552,-0.114436,0.008906,3.2375,-4.445,-2.275
33,47450,0.9966181,-0.117242,0.009272001,3.1675,-4.1825,-2.2925
34,47547,0.999668,-0.119072,0.009028001,2.9225,-3.8325,-2.3625
35,47644,1.002962,-0.120658,0.008906,2.485,-3.5175,-2.45
36,47741,1.005036,-0.122976,0.012078,2.17,-3.4475,-2.4675
37,47838,1.005524,-0.124806,0.01037,1.715,-3.57,-2.3975
38,47935,1.004914,-0.124806,0.012566,1.3825,-3.5875,-2.38
39,48032,1.001498,-0.123952,0.013542,1.1375,-3.6575,-2.415
40,48129,1.001376,-0.122854,0.013298,0.875,-3.71,-2.415
41,48226,1.003816,-0.121146,0.010858,0.5775,-3.36,-2.3275
42,48323,1.007354,-0.119926,0.011956,0.2275,-3.29,-2.2925
43,48420,1.008086,-0.120048,0.010126,-0.07,-3.535,-2.3975
44,48517,1.00711,-0.11895,0.00793,-0.2625,-3.9025,-2.45
45,48614,1.007232,-0.117364,0.008296001,-0.3675,-3.885,-2.4325
46,48711,1.005402,-0.118706,0.007320001,-0.455,-3.99,-2.485
47,48808,1.001864,-0.11895,0.007564001,-0.6475,-3.9725,-2.5025
48,48905,1.00101,-0.117486,0.00671,-0.91,-3.885,-2.2925
49,49002,0.999302,-0.114436,0.006588,-1.2425,-3.78,-2.275
50,49099,0.998814,-0.111874,0.005856,-1.33,-3.675,-2.3275
51,49196,1.002962,-0.108824,0.005002,-1.3825,-3.465,-2.31
52,49293,1.004914,-0.106506,0.00549,-1.435,-2.9575,-2.275
53,49389,1.006134,-0.104798,0.006832001,-1.435,-2.8525,-2.205
54,49486,1.00772,-0.104066,0.008784,-1.4175,-2.975,-2.275
55,49583,1.00772,-0.101138,0.009516001,-1.435,-3.0975,-2.2225
56,49680,1.008452,-0.099674,0.008052001,-1.3125,-3.2375,-2.2225
57,49777,1.008452,-0.099186,0.005612,-1.0675,-3.3075,-2.2575
58,49874,1.00894,-0.100162,0.005124001,-0.805,-3.465,-2.345
59,49971,1.00772,-0.099186,0.00549,-0.6125,-3.605,-2.31
60,50068,1.008208,-0.10004,0.005246,-0.5075,-3.9375,-2.24
61,50165,1.008452,-0.09906401,0.00793,-0.4025,-4.0075,-2.3275
62,50262,1.009062,-0.099796,0.010126,-0.315,-4.165,-2.3625
63,50359,1.012478,-0.099796,0.010248,-0.2975,-4.1475,-2.415
64,50456,1.014674,-0.097478,0.01403,-0.28,-4.13,-2.3975
65,50553,1.015894,-0.09711201,0.01403,-0.245,-4.34,-2.4675
66,50650,1.014186,-0.098576,0.015006,-0.1225,-4.655,-2.52
67,50747,1.013454,-0.09845401,0.018544,0.035,-4.9525,-2.59
68,50844,1.014064,-0.09735601,0.021838,0.1925,-4.9875,-2.6075
69,50941,1.01565,-0.09882,0.020008,0.35,-5.3025,-2.555
70,51038,1.01565,-0.100162,0.019642,0.4725,-5.565,-2.3975
71,51134,1.009062,-0.102358,0.019032,0.735,-5.985,-2.345
72,51231,0.9995461,-0.106628,0.015372,1.05,-6.825,-2.275
73,51328,0.996008,-0.109922,0.015128,1.2775,-7.1225,-2.4325
74,51425,0.994666,-0.111508,0.014274,1.3475,-6.7725,-2.5375
75,51522,0.994178,-0.115168,0.01525,1.2425,-6.2475,-2.45
76,51619,0.994056,-0.117608,0.01525,0.98,-5.95,-2.4325
77,51716,0.993812,-0.117364,0.012444,0.455,-5.6175,-2.45
78,51813,0.995032,-0.114924,0.010004,0.1225,-5.1975,-2.38
79,51910,0.995032,-0.112728,0.009516001,-0.035,-4.7425,-2.2925
80,52007,0.99552,-0.108824,0.010126,-0.175,-4.0425,-2.205
81,52104,0.997106,-0.105652,0.009516001,-0.1225,-3.535,-2.205
82,52201,0.997838,-0.102236,0.011102,0.0175,-3.4125,-2.24
83,52298,0.9983261,-0.100162,0.01281,0.315,-3.15,-2.1875
84,52395,0.9972281,-0.09882,0.015006,0.8400001,-2.9925,-2.2925
85,52492,0.99979,-0.097722,0.015738,1.295,-2.73,-2.24
86,52589,1.00284,-0.10004,0.016104,1.75,-2.6425,-2.31
87,52686,1.005646,-0.101626,0.014274,1.925,-2.6775,-2.135
88,52783,1.008452,-0.10492,0.013542,2.03,-2.765,-2.0475
89,52880,1.009794,-0.107238,0.015006,2.3975,-2.905,-2.0125
90,52977,1.007354,-0.111386,0.013908,2.7825,-2.87,-1.9425
91,53074,1.001254,-0.1159,0.011102,2.8525,-3.0625,-1.9425
92,53171,0.997716,-0.11773,0.008418,2.87,-3.185,-2.065
93,53268,0.9967401,-0.120658,0.007564001,2.9575,-2.9225,-2.24
94,53365,0.998204,-0.122366,0.006954,3.0625,-2.5725,-2.1875
95,53461,0.998692,-0.124806,0.008784,2.87,-2.3275,-2.31
96,53558,0.998448,-0.125294,0.008418,2.5025,-2.0475,-2.3625
97,53655,0.99979,-0.125782,0.005368,2.065,-2.0475,-2.345
98,53752,1.00345,-0.123952,0.00549,1.645,-1.8725,-2.3275
99,53849,1.00772,-0.12322,0.007686,1.085,-1.505,-2.24
100,53946,1.010404,-0.123098,0.0122,0.49,-1.47,-2.2575
101,54043,1.009794,-0.12139,0.014396,-0.175,-1.5925,-2.17
102,54140,1.009672,-0.118218,0.015616,-0.735,-1.575,-2.205
103,54237,1.008818,-0.11468,0.01647,-0.8925,-1.68,-2.205
104,54334,1.006866,-0.109678,0.01647,-0.9625,-1.82,-2.0125
105,54431,1.00528,-0.106384,0.015494,-0.77,-1.9075,-1.96
106,54528,1.003328,-0.103578,0.014396,-0.7,-2.205,-1.855
107,54625,1.000034,-0.101016,0.013786,-0.63,-2.2575,-1.925
108,54722,1.000766,-0.102236,0.009882,-0.42,-2.24,-1.9075
109,54819,1.002474,-0.104066,0.012566,-0.2625,-2.17,-2.0825
110,54916,1.002474,-0.10614,0.013664,-0.1925,-2.065,-2.2225
111,55013,1.000034,-0.106384,0.012444,-0.07,-2.135,-2.3275
112,55110,0.9999121,-0.110288,0.010736,0.035,-2.2925,-2.5025
113,55207,1.0004,-0.11163,0.013298,0.035,-2.0825,-2.6425
114,55304,1.001132,-0.114192,0.012566,-0.1225,-1.8375,-2.7125
115,55400,1.003938,-0.117364,0.0122,-0.42,-1.54,-2.8875
116,55497,1.00894,-0.117242,0.01342,-0.5775,-1.4875,-3.0275
117,55594,1.009306,-0.11895,0.015738,-0.7525,-1.5575,-3.08
