,T,ax,ay,az,gx,gy,gz
0,58396,0.509472,-0.115412,-0.5892601,14.175,-14.385,-12.0575
1,58561,0.549488,-0.10126,-0.701012,78.2425,-178.535,-75.74
2,58657,0.582916,-0.114436,-0.74786,9.2225,-280.63,-51.59
3,58754,0.579012,-0.116144,-0.745664,46.6375,-184.275,-37.17
4,58850,0.581696,-0.116388,-0.74664,10.0275,-36.2775,-8.5225
5,58947,0.583404,-0.11712,-0.745908,2.0475,-4.095,-2.205
6,59044,0.582672,-0.116144,-0.748104,2.0825,-4.025,-2.2225
7,59140,0.583404,-0.116632,-0.748836,1.995,-3.9375,-2.2225
8,59237,0.582672,-0.116144,-0.749568,2.0475,-3.92,-2.2575
9,59334,0.583404,-0.113948,-0.7503,2.1,-3.99,-2.275
10,59430,0.5838921,-0.116388,-0.749812,2.0475,-3.99,-2.2225
11,59527,0.586332,-0.116388,-0.7473721,2.0825,-4.165,-2.24
12,59623,0.583404,-0.115412,-0.7510321,2.1175,-4.0775,-2.205
13,59720,0.582428,-0.114436,-0.748592,2.065,-4.1825,-2.2575
14,59817,0.582916,-0.116388,-0.750788,2.065,-4.1825,-2.17
15,59913,0.58072,-0.116632,-0.7503,2.065,-4.13,-2.2925
16,60010,0.579988,-0.116632,-0.7510321,2.0475,-4.095,-2.31
17,60106,0.58072,-0.115656,-0.748348,2.0825,-4.0425,-2.2225
18,60203,0.582428,-0.116388,-0.7503,1.995,-3.99,-2.2225
19,60300,0.582672,-0.1159,-0.749568,2.03,-4.0075,-2.2925
20,60396,0.582916,-0.116144,-0.749812,2.0475,-4.0425,-2.31
21,60493,0.583404,-0.114192,-0.750788,2.1175,-3.9725,-2.205
22,60589,0.580232,-0.117608,-0.749812,2.1,-4.0075,-2.2225
23,60686,0.58194,-0.11712,-0.7522521,1.995,-3.99,-2.275
24,60783,0.58194,-0.116144,-0.7517641,2.03,-4.0075,-2.31
25,60879,0.582672,-0.115656,-0.750544,2.065,-3.9025,-2.3275
26,60976,0.582916,-0.115412,-0.750544,2.1,-3.92,-2.275
27,61072,0.583404,-0.11468,-0.751276,2.03,-3.8325,-2.275
28,61169,0.582428,-0.115656,-0.7517641,2.1175,-3.955,-2.2575
29,61266,0.579988,-0.119072,-0.749568,2.065,-4.0075,-2.2225
30,61362,0.582672,-0.114436,-0.750788,2.17,-3.9375,-2.17
31,61459,0.580964,-0.116388,-0.749812,2.1175,-3.9725,-2.205
32,61555,0.581696,-0.117364,-0.7510321,2.1175,-3.955,-2.2925
33,61652,0.582428,-0.119072,-0.749568,2.17,-3.8675,-2.205
34,61749,0.582184,-0.1159,-0.751276,2.135,-3.85,-2.17
35,61845,0.581208,-0.116144,-0.751276,2.1875,-3.885,-2.17
36,61942,0.582428,-0.11712,-0.7522521,2.135,-3.9375,-2.2575
37,62039,0.58316,-0.114924,-0.7517641,2.0825,-3.99,-2.31
38,62135,0.58316,-0.114436,-0.7510321,2.0825,-4.0775,-2.24
39,62232,0.58316,-0.114924,-0.7510321,2.0825,-4.06,-2.24
40,62328,0.582428,-0.116144,-0.750788,1.995,-4.06,-2.205
41,62425,0.579988,-0.11712,-0.7510321,2.065,-4.165,-2.1525
42,62522,0.579256,-0.116632,-0.750788,1.995,-4.0775,-2.1525
43,62618,0.58194,-0.118584,-0.751276,2.03,-4.095,-2.2225
44,62715,0.582916,-0.11712,-0.74908,2.065,-4.13,-2.24
45,62812,0.583648,-0.115656,-0.750056,1.9775,-4.0425,-2.275
46,62908,0.582672,-0.11712,-0.748348,2.065,-4.13,-2.24
47,63005,0.583404,-0.116632,-0.7510321,2.0825,-4.0425,-2.1525
48,63101,0.581696,-0.11468,-0.750544,2.065,-4.13,-2.1
49,63198,0.582184,-0.116388,-0.7515201,1.9775,-4.1475,-2.1875
50,63295,0.580964,-0.116388,-0.750056,1.9775,-4.235,-2.24
51,63391,0.58072,-0.11712,-0.752496,1.995,-4.235,-2.24
52,63488,0.58194,-0.116388,-0.751276,2.03,-4.1825,-2.205
53,63584,0.580232,-0.117364,-0.750788,2.0475,-4.13,-2.205
54,63681,0.58194,-0.116876,-0.7515201,2.065,-4.0425,-2.205
55,63778,0.581452,-0.116632,-0.752008,1.9775,-4.2525,-2.1525
56,63874,0.58316,-0.116876,-0.751276,1.9775,-4.235,-2.1875
57,63971,0.583648,-0.115656,-0.7517641,1.925,-4.1825,-2.2575
58,64067,0.582428,-0.115656,-0.752496,2.0125,-4.2525,-2.205
59,64164,0.582428,-0.115412,-0.7517641,1.9775,-4.2875,-2.0825
60,64261,0.58194,-0.1159,-0.7517641,1.96,-4.3225,-2.1
