,T,ax,ay,az,gx,gy,gz
0,1781,0.496784,0.380152,-0.628056,18.6725,-19.0925,-17.8675
1,1931,0.512888,0.383812,-0.697352,51.9225,-73.85,-0.1225
2,2029,0.534604,0.396988,-0.737856,67.2875,-131.7225,45.2025
3,2127,0.537044,0.398696,-0.736392,49.245,-117.0225,-15.1725
4,2225,0.536068,0.4026,-0.735172,3.6225,-9.205,-4.025
5,2323,0.531676,0.400892,-0.7373681,2.415,-6.265,-3.57
6,2421,0.533384,0.40016,-0.7366361,2.3625,-6.02,-3.5
7,2519,0.53436,0.397476,-0.737856,2.415,-5.845,-3.4125
8,2617,0.53802,0.40016,-0.740296,2.38,-5.775,-3.325
9,2715,0.535336,0.400404,-0.73932,2.31,-5.7225,-3.255
10,2813,0.537044,0.39894,-0.739076,2.38,-5.46,-3.2375
11,2911,0.535824,0.396256,-0.738344,2.3975,-5.4775,-3.255
12,3009,0.535092,0.397476,-0.7427361,2.45,-5.6175,-3.325
13,3107,0.533628,0.40016,-0.741028,2.345,-5.6525,-3.2375
14,3205,0.534116,0.399916,-0.74054,2.2575,-5.6525,-3.3075
15,3303,0.534848,0.398696,-0.7422481,2.275,-5.6175,-3.3425
16,3401,0.535824,0.399672,-0.739076,2.24,-5.5475,-3.36
17,3499,0.532896,0.398452,-0.7407841,2.275,-5.4775,-3.255
18,3597,0.532652,0.39772,-0.74176,2.1525,-5.425,-3.3775
19,3695,0.53314,0.39772,-0.74298,2.065,-5.4775,-3.4125
20,3793,0.533872,0.398696,-0.7415161,1.925,-5.32,-3.43
21,3891,0.534604,0.401136,-0.742004,1.9075,-5.075,-3.5525
22,3989,0.533872,0.399672,-0.740296,1.855,-4.9525,-3.57
23,4087,0.533872,0.399184,-0.7381001,1.995,-4.865,-3.5
24,4185,0.531676,0.3965,-0.7415161,2.0475,-5.075,-3.22
25,4283,0.534848,0.399916,-0.743224,1.9775,-5.18,-3.29
26,4381,0.532408,0.396988,-0.743956,2.1,-5.285,-3.2725
27,4479,0.532164,0.400404,-0.739808,2.0825,-5.2325,-3.2725
28,4577,0.532164,0.394548,-0.742004,2.1175,-5.1275,-3.3075
29,4675,0.538508,0.39894,-0.737612,2.0825,-5.0925,-3.29
30,4773,0.5314321,0.399672,-0.737612,2.03,-5.3725,-3.4125
31,4871,0.538264,0.396256,-0.73688,2.0125,-5.565,-3.43
32,4969,0.536068,0.399672,-0.740296,2.0125,-5.7225,-3.3775
33,5067,0.529236,0.39406,-0.743956,2.065,-6.055,-3.4825
34,5165,0.53314,0.395524,-0.743712,1.6975,-5.1975,-3.465
35,5263,0.533384,0.401136,-0.739808,1.2425,-4.165,-3.3075
36,5361,0.533384,0.401868,-0.740052,0.98,-3.7275,-3.3075
37,5459,0.534604,0.398452,-0.739808,1.1725,-3.7975,-3.22
38,5557,0.5119121,0.415044,-0.692228,1.085,-4.095,-3.2725
39,5655,0.52704,0.38796,-0.74054,1.155,-3.9725,-3.185
40,5753,0.547048,0.36356,-0.691252,1.8725,-4.4975,-3.29
41,5851,0.53436,0.390644,-0.74542,1.6275,-4.935,-3.2375
42,5949,0.534848,0.39894,-0.7373681,1.855,-4.2875,-3.4475
43,6047,0.532652,0.400892,-0.73932,1.7675,-4.7425,-3.5
44,6145,0.5309441,0.402844,-0.73444,1.82,-4.97,-3.605
45,6243,0.52948,0.401868,-0.7278521,1.9075,-5.0575,-3.5175
46,6341,0.533384,0.402844,-0.743224,2.0125,-5.0225,-3.4475
47,6439,0.535336,0.404064,-0.748104,2.03,-5.005,-3.36
48,6537,0.5355801,0.400404,-0.745176,2.065,-4.8825,-3.3425
49,6635,0.53436,0.39894,-0.741272,2.065,-4.9175,-3.43
50,6733,0.535092,0.397476,-0.74054,2.275,-5.075,-3.3075
51,6831,0.53314,0.399672,-0.739076,2.135,-5.075,-3.465
52,6929,0.532164,0.4023561,-0.738588,1.9425,-5.04,-3.465
