,T,ax,ay,az,gx,gy,gz
0,1326473,0.543632,-0.181536,-0.63806,17.6925,-16.17,-18.585
1,1326617,0.563152,-0.166896,-0.721264,89.915,-113.645,-73.6925
2,1326713,0.6036561,-0.171532,-0.7700641,138.4425,-195.6325,-109.655
3,1326809,0.6034121,-0.173972,-0.767136,62.7725,-133.945,-40.95
4,1326905,0.6029241,-0.174216,-0.765184,4.9175,-10.6575,-4.935
5,1327001,0.600728,-0.175192,-0.774212,3.6225,-6.1425,-3.745
6,1327097,0.600972,-0.174704,-0.76982,4.0775,-5.215,-3.605
7,1327193,0.598532,-0.174216,-0.7700641,4.3925,-4.3575,-3.5525
8,1327289,0.601948,-0.171044,-0.76982,4.795,-3.78,-3.395
9,1327385,0.601948,-0.175192,-0.77348,5.11,-3.4825,-3.2375
10,1327481,0.598044,-0.174704,-0.781776,4.83,-3.5175,-3.255
11,1327576,0.6039,-0.174704,-0.7812881,4.2525,-3.85,-3.3775
12,1327672,0.599996,-0.17324,-0.77592,3.36,-4.3225,-3.4825
13,1327768,0.59658,-0.176168,-0.77592,2.8,-4.235,-3.36
14,1327864,0.600972,-0.175436,-0.777628,2.135,-3.8325,-3.2375
15,1327960,0.60512,-0.179584,-0.7812881,0.98,-2.9575,-3.0625
16,1328056,0.6158561,-0.18422,-0.838628,-1.8025,-2.7125,-2.835
17,1328152,0.61976,-0.169824,-0.781776,-5.6,-3.99,-2.415
18,1328248,0.614636,-0.181048,-0.766892,-7.1575,-6.23,-2.765
19,1328344,0.616588,-0.183,-0.77714,-10.85,-9.24,-2.8875
20,1328440,0.61854,-0.184952,-0.772992,-15.26,-12.3025,-3.2725
21,1328536,0.602192,-0.165676,-0.763232,-18.9525,-15.015,-3.8675
22,1328631,0.57096,-0.12688,-0.725412,-17.1325,-14.665,-3.7625
23,1328727,0.625128,-0.156648,-0.7766521,-5.04,-8.6275,-3.395
24,1328823,0.5968241,-0.161772,-0.773968,0.455,-7.8925,-3.5175
25,1328919,0.59658,-0.160064,-0.77226,1.6975,-5.075,-3.4475
26,1329015,0.597068,-0.157136,-0.773968,2.0475,-4.8125,-3.395
27,1329111,0.59292,-0.161284,-0.77348,2.2575,-4.865,-3.4825
28,1329207,0.590236,-0.1647,-0.7754321,2.5025,-4.725,-3.57
29,1329303,0.592188,-0.161772,-0.77714,2.4675,-4.62,-3.605
30,1329399,0.594384,-0.161284,-0.7747001,2.625,-4.445,-3.64
31,1329495,0.589992,-0.162016,-0.778116,2.7825,-4.445,-3.6225
32,1329591,0.5926761,-0.163236,-0.774212,2.87,-4.0775,-3.64
33,1329687,0.595848,-0.156648,-0.7788481,2.8,-3.9725,-3.6575
34,1329782,0.595604,-0.163724,-0.775188,2.9225,-3.885,-3.675
35,1329878,0.602436,-0.162016,-0.772504,2.9225,-3.5525,-3.6575
36,1329974,0.601704,-0.15982,-0.7754321,2.835,-3.8675,-3.605
37,1330070,0.601216,-0.15982,-0.77226,2.695,-4.0425,-3.6925
38,1330166,0.6029241,-0.159332,-0.771528,2.8,-4.3575,-3.6225
39,1330262,0.601704,-0.161284,-0.77104,2.7125,-4.5675,-3.64
40,1330358,0.595848,-0.161284,-0.768844,2.8875,-4.725,-3.5175
41,1330454,0.597068,-0.162504,-0.774456,2.8875,-4.76,-3.5175
42,1330550,0.5978,-0.159576,-0.773968,2.905,-4.8125,-3.605
43,1330646,0.596336,-0.1586,-0.7766521,2.8,-4.655,-3.5525
44,1330741,0.595116,-0.16348,-0.7747001,2.765,-4.69,-3.6225
45,1330837,0.594628,-0.160064,-0.774456,2.8525,-4.725,-3.5875
46,1330933,0.5978,-0.160064,-0.77348,2.835,-4.69,-3.5875
47,1331029,0.600484,-0.16104,-0.7747001,2.835,-4.6375,-3.6225
48,1331125,0.597068,-0.16104,-0.77104,2.7825,-4.5325,-3.57
49,1331221,0.597556,-0.1586,-0.773968,2.8525,-4.55,-3.5525
50,1331317,0.597068,-0.158844,-0.774212,2.87,-4.55,-3.5175
51,1331413,0.596092,-0.162504,-0.774456,2.87,-4.41,-3.5525
52,1331509,0.597556,-0.16592,-0.774212,2.975,-4.27,-3.465
53,1331605,0.594628,-0.162748,-0.774212,2.975,-4.3575,-3.605
54,1331701,0.597556,-0.158356,-0.776408,2.8,-4.165,-3.6925
55,1331796,0.5987761,-0.16104,-0.7747001,2.87,-4.1125,-3.605
56,1331892,0.59902,-0.157868,-0.775676,2.9225,-4.0775,-3.5
57,1331988,0.5968241,-0.160064,-0.7707961,2.94,-4.095,-3.43
58,1332084,0.598044,-0.159088,-0.772504,3.08,-4.0775,-3.4125
59,1332180,0.599264,-0.160308,-0.77226,3.1325,-4.0075,-3.3425
60,1332276,0.597556,-0.157136,-0.773724,3.0975,-4.0425,-3.2375
61,1332372,0.598532,-0.156892,-0.772504,3.29,-3.955,-3.08
62,1332468,0.599264,-0.154452,-0.77226,3.4825,-3.7975,-2.9575
63,1332564,0.59902,-0.158112,-0.769088,3.6225,-3.78,-2.66
64,1332660,0.60024,-0.159576,-0.772504,3.7975,-3.745,-2.45
65,1332755,0.601948,-0.166408,-0.769332,3.885,-3.7975,-2.3275
66,1332851,0.60146,-0.162748,-0.768112,3.5875,-3.955,-2.3275
67,1332947,0.605608,-0.164456,-0.7700641,3.4125,-4.27,-2.45
68,1333043,0.6029241,-0.1647,-0.767136,3.115,-4.62,-2.3975
69,1333139,0.593164,-0.16226,-0.765184,2.8525,-4.8825,-2.5375
70,1333235,0.582916,-0.164212,-0.775676,2.6425,-4.97,-2.765
71,1333331,0.579988,-0.167872,-0.781532,2.6425,-4.4275,-3.2375
72,1333427,0.596092,-0.16958,-0.77226,2.5025,-3.5,-3.5175
73,1333523,0.599264,-0.166408,-0.76616,2.275,-3.36,-3.885
74,1333619,0.598044,-0.157136,-0.771528,1.9775,-3.5875,-4.1825
75,1333714,0.597068,-0.162016,-0.767136,2.0825,-3.7625,-4.06
76,1333810,0.602192,-0.159088,-0.77104,2.24,-3.6925,-3.92
77,1333906,0.602436,-0.159576,-0.7686,2.24,-3.85,-3.7625
78,1334002,0.60146,-0.156892,-0.769332,2.31,-3.99,-3.605
79,1334098,0.599264,-0.161772,-0.77104,2.415,-3.9025,-3.64
80,1334194,0.599508,-0.162992,-0.772016,2.5375,-4.0425,-3.6225
81,1334290,0.598288,-0.15982,-0.77104,2.625,-4.06,-3.745
82,1334386,0.596336,-0.157136,-0.772016,2.7825,-3.92,-3.57
83,1334482,0.594628,-0.154696,-0.773236,2.9575,-3.9375,-3.5
84,1334578,0.596092,-0.156404,-0.773236,3.1675,-3.85,-3.395
85,1334673,0.5987761,-0.155916,-0.7705521,3.3775,-3.64,-3.29
86,1334769,0.598532,-0.159332,-0.7705521,3.5175,-3.5525,-3.0975
87,1334865,0.597068,-0.160796,-0.767624,3.6575,-3.535,-3.01
88,1334961,0.600728,-0.162504,-0.768844,3.6225,-3.6575,-2.9575
89,1335057,0.603168,-0.162992,-0.768112,3.5525,-3.64,-2.94
90,1335153,0.5978,-0.163236,-0.768844,3.4125,-3.7975,-2.975
91,1335249,0.596336,-0.164456,-0.7712841,3.3075,-3.7975,-3.045
92,1335345,0.59902,-0.1647,-0.7664041,3.0625,-3.745,-3.115
93,1335441,0.599752,-0.1586,-0.7686,2.3975,-3.815,-3.1325
94,1335537,0.60024,-0.164456,-0.7700641,2.9225,-3.85,-3.325
95,1335632,0.603168,-0.160796,-0.7664041,3.0275,-4.0075,-3.4125
96,1335728,0.600484,-0.151768,-0.7707961,3.08,-4.0425,-3.255
97,1335824,0.60024,-0.156648,-0.7712841,3.3425,-3.9025,-2.975
98,1335920,0.599996,-0.163968,-0.7686,3.6225,-3.9375,-2.87
99,1336016,0.599508,-0.168604,-0.7664041,3.5525,-3.92,-2.8875
100,1336112,0.600484,-0.168604,-0.76738,3.1675,-4.0775,-3.0275
101,1336208,0.599264,-0.171288,-0.7666481,2.9225,-4.3225,-3.3075
102,1336304,0.6036561,-0.173972,-0.7664041,2.345,-4.655,-3.6575
103,1336400,0.598044,-0.166652,-0.765672,1.8375,-5.0225,-4.0075
104,1336496,0.5934081,-0.165432,-0.7705521,1.75,-5.2325,-4.1825
105,1336592,0.598044,-0.162504,-0.769332,1.6275,-5.075,-4.3575
106,1336687,0.597556,-0.154452,-0.772748,1.61,-4.9875,-4.375
107,1336783,0.593164,-0.146644,-0.7754321,1.9425,-4.9875,-4.1125
108,1336879,0.593896,-0.153964,-0.7766521,2.38,-4.41,-3.745
109,1336975,0.594628,-0.153232,-0.774212,2.7125,-3.85,-3.605
110,1337071,0.595116,-0.152256,-0.77348,2.8875,-3.5525,-3.4125
111,1337167,0.581696,-0.149572,-0.77226,3.5525,-3.2375,-3.325
112,1337263,0.563152,-0.15494,-0.789828,3.92,-2.835,-3.0975
113,1337359,0.573888,-0.161528,-0.784704,4.3925,-1.2075,-3.115
114,1337455,0.597312,-0.168604,-0.778116,4.655,0.0525,-3.395
115,1337551,0.614392,-0.163236,-0.7700641,4.2525,0.4375,-3.745
116,1337646,0.621712,-0.18178,-0.753228,3.6225,-0.105,-4.13
117,1337742,0.611952,-0.165676,-0.755424,2.59,-1.3475,-4.62
118,1337838,0.605608,-0.167872,-0.7612801,2.03,-1.9775,-4.8125
119,1337934,0.607316,-0.179584,-0.759572,1.9775,-2.2575,-4.9525
120,1338030,0.61,-0.15494,-0.767868,1.4,-2.94,-5.39
121,1338126,0.60268,-0.148108,-0.771528,1.5225,-3.325,-5.2325
