,T,ax,ay,az,gx,gy,gz
0,109622,0.479216,0.028304,-0.686128,7.0525,-10.2725,-10.08
1,109767,0.495076,0.033916,-0.7664041,44.9575,-123.6025,-214.6725
2,109863,0.526552,0.038064,-0.81984,-60.6025,-110.4075,-357.5425
3,109960,0.528748,0.03538,-0.817156,21.2975,-105.4025,-82.355
4,110056,0.530212,0.036356,-0.820816,2.03,-7.245,-3.99
5,110153,0.532408,0.035624,-0.821792,1.925,-5.67,-2.8175
6,110250,0.532408,0.037332,-0.822036,2.0825,-5.495,-2.835
7,110346,0.532896,0.03904,-0.822768,2.3625,-5.5475,-2.87
8,110443,0.532652,0.037332,-0.8230121,2.52,-5.915,-3.0625
9,110539,0.532896,0.040016,-0.824964,2.7125,-6.2125,-3.0975
10,110636,0.528504,0.03416,-0.82594,2.835,-6.23,-3.01
11,110732,0.531188,0.034648,-0.825452,2.765,-6.0025,-2.8525
12,110829,0.531188,0.034892,-0.8271601,2.7125,-5.7925,-2.6775
13,110926,0.530212,0.034648,-0.8276481,2.52,-5.7225,-2.6075
14,111022,0.52948,0.035136,-0.825452,2.275,-5.705,-2.52
15,111119,0.53192,0.03416,-0.826428,1.8375,-5.3725,-2.4675
16,111215,0.531676,0.035136,-0.82594,1.4875,-5.39,-2.4675
17,111312,0.529724,0.033672,-0.826672,1.085,-5.32,-2.415
18,111408,0.52948,0.034404,-0.8281361,0.875,-5.2325,-2.3975
19,111505,0.530456,0.033184,-0.82594,0.49,-5.0575,-2.3625
20,111602,0.5314321,0.035868,-0.8261841,-0.0525,-4.865,-2.31
21,111698,0.52948,0.036112,-0.825208,-0.4375,-4.7775,-2.3275
22,111795,0.5314321,0.037332,-0.82472,-0.6825,-4.9,-2.345
23,111891,0.533384,0.035868,-0.821304,-0.77,-5.11,-2.3625
24,111988,0.53314,0.040016,-0.822036,-0.7,-5.495,-2.4675
25,112084,0.529968,0.036356,-0.826916,-0.42,-6.0725,-2.59
26,112181,0.532896,0.035868,-0.824232,-0.21,-5.565,-2.4325
27,112278,0.530212,0.037576,-0.821792,-0.0525,-5.635,-2.4325
28,112374,0.532408,0.039528,-0.82472,0.0875,-5.53,-2.52
29,112471,0.532652,0.038552,-0.824232,0.5425,-5.5125,-2.555
30,112567,0.532408,0.037088,-0.8239881,0.91,-5.565,-2.6425
