,T,ax,ay,az,gx,gy,gz
0,586,0.488976,-0.217648,-0.666608,17.5175,-16.94,-17.5525
1,741,0.499468,-0.20496,-0.743468,51.87,-78.12,-38.57
2,838,0.55266,-0.20862,-0.796172,76.545,-115.675,-46.0775
3,936,0.553636,-0.210084,-0.801296,49.0525,-110.9325,-31.465
4,1034,0.55144,-0.209596,-0.804224,3.2725,-6.965,-4.3575
5,1131,0.551928,-0.209596,-0.8047121,2.065,-4.0425,-3.605
6,1229,0.552904,-0.20862,-0.8052,2.0125,-3.9725,-3.71
7,1327,0.553392,-0.2074,-0.805444,1.96,-4.0075,-3.6925
8,1424,0.554856,-0.209352,-0.8030041,2.0125,-3.955,-3.64
9,1522,0.554124,-0.208864,-0.804224,2.0125,-4.025,-3.64
10,1620,0.55388,-0.208376,-0.8039801,1.925,-4.0075,-3.6575
11,1717,0.55144,-0.207644,-0.805932,1.9775,-3.9725,-3.71
12,1815,0.554368,-0.20618,-0.806908,2.0125,-3.9725,-3.605
13,1913,0.5511961,-0.209108,-0.8066641,2.0125,-3.8325,-3.5875
14,2011,0.552904,-0.211548,-0.806908,2.03,-3.885,-3.6225
15,2108,0.553636,-0.207888,-0.806908,2.065,-3.92,-3.675
16,2206,0.55266,-0.20984,-0.8044681,2.0475,-3.745,-3.7275
17,2304,0.556076,-0.20618,-0.80276,2.065,-3.8675,-3.605
18,2401,0.556076,-0.207156,-0.8039801,2.0475,-3.7625,-3.5875
19,2499,0.554856,-0.209108,-0.8049561,1.995,-3.8675,-3.5875
20,2597,0.553636,-0.209108,-0.8039801,2.065,-3.99,-3.5875
21,2694,0.556076,-0.207644,-0.8039801,2.0125,-3.955,-3.5175
22,2792,0.554368,-0.209352,-0.80276,2.03,-4.025,-3.43
23,2890,0.553392,-0.209108,-0.803492,2.0475,-4.025,-3.5
24,2988,0.55388,-0.209596,-0.8049561,2.03,-4.1475,-3.5875
25,3085,0.553148,-0.209352,-0.806908,2.0125,-4.06,-3.465
26,3183,0.554124,-0.209108,-0.803248,1.96,-4.0775,-3.605
27,3281,0.553636,-0.208132,-0.808372,1.96,-4.13,-3.6225
28,3378,0.555832,-0.207888,-0.8039801,2.065,-3.99,-3.535
29,3476,0.55388,-0.209596,-0.8044681,2.03,-3.9725,-3.5525
30,3574,0.556564,-0.208864,-0.8052,1.9775,-3.9375,-3.605
31,3671,0.5511961,-0.209108,-0.8020281,1.995,-4.025,-3.64
32,3769,0.55388,-0.2074,-0.803492,1.9425,-4.1475,-3.6575
33,3867,0.5504641,-0.20984,-0.805932,1.9425,-4.1475,-3.535
34,3964,0.553636,-0.20862,-0.807396,1.9425,-4.1125,-3.57
35,4062,0.5511961,-0.210084,-0.8049561,1.995,-4.0425,-3.605
36,4160,0.55266,-0.209108,-0.8049561,2.0825,-3.9375,-3.535
37,4258,0.551928,-0.209108,-0.8052,2.0475,-4.0075,-3.6925
38,4355,0.554368,-0.208376,-0.8066641,1.9425,-3.99,-3.6575
39,4453,0.5551,-0.208132,-0.80276,1.96,-4.0425,-3.6575
40,4551,0.5551,-0.207156,-0.80276,1.96,-4.095,-3.675
41,4648,0.554856,-0.207888,-0.803248,1.9075,-4.0775,-3.675
42,4746,0.553148,-0.207888,-0.8039801,1.925,-4.1475,-3.6575
43,4844,0.55266,-0.209352,-0.803736,1.9425,-4.13,-3.7275
44,4942,0.5511961,-0.210084,-0.806176,1.995,-4.06,-3.675
45,5039,0.554368,-0.206912,-0.807152,1.9075,-3.9725,-3.7625
46,5137,0.552904,-0.20862,-0.806176,1.855,-3.9375,-3.675
47,5235,0.553636,-0.207888,-0.8052,1.925,-3.9025,-3.71
48,5332,0.55632,-0.206668,-0.805444,1.96,-3.955,-3.71
49,5430,0.555832,-0.208132,-0.803736,1.96,-3.815,-3.6925
50,5528,0.554856,-0.209352,-0.8025161,2.0125,-3.885,-3.6575
51,5625,0.5551,-0.208132,-0.801784,1.995,-3.955,-3.605
52,5723,0.553148,-0.20862,-0.80642,2.0125,-4.0775,-3.605
53,5821,0.552904,-0.210328,-0.8030041,1.995,-4.025,-3.5875
54,5918,0.551684,-0.208376,-0.8052,1.96,-3.955,-3.6225
55,6016,0.553636,-0.208132,-0.8047121,2.0125,-3.9375,-3.64
56,6114,0.5553441,-0.209352,-0.8025161,1.9775,-3.955,-3.57
57,6212,0.553392,-0.20862,-0.805932,2.0125,-4.025,-3.5
58,6309,0.553636,-0.210816,-0.803736,1.9775,-3.9375,-3.64
59,6407,0.552904,-0.210572,-0.803248,1.9775,-4.0775,-3.675
60,6505,0.553636,-0.208376,-0.80154,1.89,-4.0425,-3.6925
61,6602,0.554368,-0.207888,-0.802272,1.9075,-4.1125,-3.675
62,6700,0.5551,-0.207644,-0.80276,1.9425,-4.1475,-3.605
63,6798,0.553392,-0.208132,-0.8047121,1.9075,-4.1475,-3.605
64,6895,0.552416,-0.208864,-0.807396,1.96,-4.1125,-3.6225
65,6993,0.552172,-0.210816,-0.80276,1.9075,-4.0775,-3.6225
66,7091,0.554368,-0.208864,-0.803492,1.9775,-4.095,-3.64
67,7189,0.552172,-0.209352,-0.8025161,1.995,-3.9725,-3.675
68,7286,0.55266,-0.21106,-0.799588,1.925,-3.9375,-3.71
69,7384,0.553636,-0.211304,-0.802272,1.9075,-3.9025,-3.745
70,7482,0.553148,-0.20862,-0.8020281,1.89,-3.99,-3.745
71,7579,0.554368,-0.208864,-0.8030041,1.785,-4.0425,-3.815
72,7677,0.552416,-0.208376,-0.8039801,1.82,-4.0425,-3.8325
73,7775,0.551684,-0.208132,-0.805688,1.89,-3.99,-3.7625
74,7872,0.552416,-0.208864,-0.803492,1.9075,-3.815,-3.7975
75,7970,0.551928,-0.207888,-0.8049561,1.9075,-3.7275,-3.7625
76,8068,0.552904,-0.20862,-0.8020281,1.9075,-3.85,-3.85
77,8165,0.553636,-0.208864,-0.800808,1.925,-3.885,-3.815
78,8263,0.553392,-0.207888,-0.80276,1.9075,-4.0075,-3.745
79,8361,0.5551,-0.207644,-0.8025161,1.9425,-3.99,-3.745
80,8458,0.556808,-0.20862,-0.799344,1.9425,-4.1125,-3.7275
81,8556,0.555832,-0.209352,-0.798124,1.855,-4.165,-3.78
82,8654,0.554368,-0.207888,-0.80154,1.89,-4.2175,-3.78
83,8752,0.553148,-0.208864,-0.8025161,1.785,-4.27,-3.675
84,8849,0.552172,-0.2074,-0.80276,1.785,-4.1475,-3.6925
85,8947,0.552416,-0.207888,-0.8047121,1.925,-4.1475,-3.6575
86,9045,0.553636,-0.209108,-0.803736,1.925,-4.0425,-3.6575
87,9142,0.552172,-0.211304,-0.8025161,1.995,-4.095,-3.6925
88,9240,0.553392,-0.208864,-0.8039801,1.9075,-4.0775,-3.6925
89,9338,0.554124,-0.208132,-0.80276,1.9425,-4.06,-3.745
90,9435,0.55388,-0.20862,-0.803492,1.9425,-4.095,-3.675
91,9533,0.552416,-0.210084,-0.8025161,1.855,-4.13,-3.6925
92,9631,0.553148,-0.207644,-0.8044681,1.89,-4.1825,-3.78
93,9728,0.55266,-0.207156,-0.805444,1.9425,-4.1825,-3.675
94,9826,0.552904,-0.208376,-0.8052,1.9775,-4.0775,-3.7275
95,9924,0.55022,-0.209108,-0.801296,1.96,-4.0075,-3.675
96,10021,0.55388,-0.207644,-0.805688,1.9775,-3.9025,-3.7275
97,10119,0.553392,-0.206912,-0.8049561,1.995,-3.8325,-3.7275
98,10217,0.552904,-0.211548,-0.8025161,2.1,-3.745,-3.605
99,10314,0.554856,-0.209108,-0.802272,2.0475,-3.885,-3.675
100,10412,0.554368,-0.205692,-0.802272,1.96,-3.885,-3.745
101,10510,0.5546121,-0.205936,-0.801784,1.9075,-3.85,-3.7275
102,10607,0.553392,-0.2074,-0.8025161,1.9425,-3.885,-3.71
103,10705,0.55388,-0.205692,-0.8020281,1.96,-3.92,-3.6925
104,10803,0.551928,-0.209596,-0.8020281,1.855,-4.025,-3.6575
105,10900,0.553392,-0.208864,-0.803492,1.96,-4.025,-3.6575
106,10998,0.553392,-0.211792,-0.8030041,1.995,-4.0425,-3.7975
107,11096,0.554124,-0.209352,-0.8025161,1.9075,-4.1125,-3.78
108,11194,0.554368,-0.210084,-0.80276,1.89,-4.13,-3.71
109,11291,0.55144,-0.210084,-0.801052,1.925,-4.165,-3.64
110,11389,0.553392,-0.208864,-0.803248,1.855,-4.2175,-3.6925
111,11487,0.556808,-0.207888,-0.802272,1.855,-4.1825,-3.745
112,11584,0.553148,-0.205204,-0.8003201,1.82,-4.1125,-3.64
113,11682,0.55266,-0.20618,-0.801784,1.96,-4.235,-3.64
114,11780,0.553392,-0.208132,-0.8020281,1.995,-4.2,-3.64
115,11877,0.55022,-0.208376,-0.801296,2.0475,-4.2,-3.6225
116,11975,0.551928,-0.208376,-0.8025161,1.995,-4.1125,-3.5875
117,12073,0.550952,-0.211304,-0.803248,1.9425,-3.92,-3.605
118,12171,0.554124,-0.207644,-0.803248,1.9075,-4.0425,-3.64
119,12268,0.552416,-0.208376,-0.803248,1.89,-4.0425,-3.7275
120,12366,0.551928,-0.208864,-0.804224,1.9425,-3.9375,-3.745
121,12464,0.55388,-0.20862,-0.801296,1.995,-3.955,-3.71
122,12561,0.552416,-0.208864,-0.801784,1.96,-3.8675,-3.745
123,12659,0.548756,-0.209352,-0.7986121,1.925,-3.8325,-3.7625
124,12757,0.551684,-0.205204,-0.80154,1.9775,-3.955,-3.85
125,12854,0.554368,-0.208376,-0.801296,1.9425,-4.0075,-3.7975
126,12952,0.551928,-0.206668,-0.80154,1.82,-3.9725,-3.8675
127,13050,0.553636,-0.206912,-0.804224,1.82,-4.0425,-3.885
128,13147,0.55388,-0.205692,-0.801052,1.9075,-3.99,-3.7975
129,13245,0.5551,-0.20374,-0.801296,1.925,-4.0075,-3.7275
130,13343,0.552416,-0.206912,-0.8020281,1.9075,-3.99,-3.6575
131,13440,0.555588,-0.204716,-0.8025161,1.96,-3.955,-3.71
132,13538,0.555588,-0.205448,-0.80276,1.9425,-3.99,-3.6575
133,13636,0.555588,-0.205448,-0.8003201,1.925,-4.1125,-3.675
134,13734,0.554124,-0.207644,-0.800808,1.925,-4.1475,-3.57
135,13831,0.551928,-0.210084,-0.8003201,1.8725,-4.1825,-3.57
136,13929,0.5511961,-0.208132,-0.80276,1.925,-4.2,-3.5525
137,14027,0.553148,-0.209108,-0.801784,1.9425,-4.165,-3.6225
138,14124,0.55266,-0.205936,-0.8039801,1.82,-4.095,-3.745
139,14222,0.552172,-0.20862,-0.802272,1.9775,-4.13,-3.6225
140,14320,0.554124,-0.208376,-0.804224,1.96,-4.0425,-3.675
141,14417,0.5551,-0.207156,-0.799344,1.9425,-3.9725,-3.71
142,14515,0.5551,-0.205692,-0.8025161,1.89,-4.025,-3.71
143,14613,0.552904,-0.20862,-0.80154,1.9775,-4.1125,-3.6925
144,14710,0.55388,-0.205448,-0.801784,1.9425,-4.0775,-3.535
145,14808,0.553636,-0.209352,-0.803248,2.0475,-4.095,-3.64
146,14906,0.551684,-0.209352,-0.8047121,2.0825,-3.99,-3.605
147,15003,0.55266,-0.208132,-0.801784,2.0125,-4.0075,-3.57
148,15101,0.553148,-0.207156,-0.8030041,1.9775,-3.955,-3.605
149,15199,0.554856,-0.208132,-0.80276,1.9425,-3.99,-3.6575
150,15297,0.55388,-0.207644,-0.8030041,1.925,-4.0775,-3.6925
151,15394,0.552172,-0.208132,-0.801296,1.9075,-4.1125,-3.6925
152,15492,0.556808,-0.207888,-0.799344,1.8375,-4.1475,-3.71
153,15590,0.554856,-0.208132,-0.7998321,1.9075,-4.3575,-3.675
154,15687,0.554856,-0.208132,-0.802272,1.8025,-4.3575,-3.675
155,15785,0.552416,-0.2074,-0.8047121,1.8375,-4.3575,-3.6575
156,15883,0.55144,-0.207888,-0.8020281,1.96,-4.2875,-3.6575
157,15980,0.553148,-0.207888,-0.80276,1.96,-4.2175,-3.7275
158,16078,0.551684,-0.206424,-0.800808,1.925,-4.165,-3.675
159,16176,0.553392,-0.205692,-0.801296,1.8375,-4.2,-3.745
160,16273,0.551684,-0.207888,-0.8020281,1.8375,-4.27,-3.78
161,16371,0.551684,-0.209596,-0.800564,1.8375,-4.1825,-3.6575
162,16469,0.552172,-0.208864,-0.804224,1.8375,-4.2175,-3.7275
163,16566,0.552904,-0.207888,-0.803248,1.89,-4.165,-3.8325
164,16664,0.552416,-0.2074,-0.801784,1.82,-4.06,-3.78
165,16762,0.552416,-0.20862,-0.803736,1.855,-4.06,-3.7275
166,16859,0.551684,-0.210816,-0.801296,1.89,-4.0425,-3.7275
167,16957,0.559736,-0.204228,-0.8030041,1.96,-4.025,-3.7275
168,17055,0.5511961,-0.204472,-0.809348,1.925,-4.095,-3.6925
169,17152,0.55754,-0.208864,-0.802272,1.9775,-4.0775,-3.675
170,17250,0.5546121,-0.207644,-0.8025161,1.9075,-4.13,-3.745
171,17348,0.5551,-0.207888,-0.800076,1.9775,-3.955,-3.675
172,17446,0.553636,-0.207888,-0.801052,1.8725,-4.165,-3.7975
173,17543,0.549,-0.208132,-0.799344,1.925,-4.2,-3.815
174,17641,0.55144,-0.207156,-0.8025161,1.8725,-4.1825,-3.78
175,17739,0.5504641,-0.207644,-0.801052,1.8375,-4.13,-3.745
176,17836,0.5504641,-0.205692,-0.801296,1.925,-4.06,-3.6575
177,17934,0.552416,-0.208132,-0.8025161,1.995,-3.99,-3.7275
178,18032,0.554856,-0.20618,-0.8030041,1.9425,-3.9725,-3.71
179,18129,0.5546121,-0.205204,-0.800564,1.89,-4.0075,-3.6575
180,18227,0.552172,-0.207644,-0.800808,1.8725,-4.0425,-3.6575
181,18325,0.553148,-0.20618,-0.8025161,1.925,-4.1825,-3.7625
182,18423,0.552904,-0.206668,-0.802272,1.96,-4.13,-3.7275
183,18520,0.553636,-0.206912,-0.8030041,1.9425,-4.165,-3.64
184,18618,0.5511961,-0.206912,-0.802272,1.9075,-4.13,-3.6575
185,18716,0.5546121,-0.209108,-0.801296,1.925,-4.095,-3.675
186,18813,0.550952,-0.207156,-0.8020281,1.9775,-3.92,-3.5525
187,18911,0.552416,-0.20496,-0.801052,1.9775,-3.955,-3.6225
188,19009,0.551928,-0.209108,-0.8020281,1.995,-3.8675,-3.675
189,19106,0.5546121,-0.207644,-0.801784,1.96,-3.885,-3.6925
190,19204,0.553636,-0.207888,-0.8030041,1.925,-3.885,-3.71
191,19302,0.552904,-0.207156,-0.8003201,1.9075,-3.9025,-3.7625
192,19399,0.554124,-0.204228,-0.799588,1.925,-3.955,-3.71
193,19497,0.5553441,-0.204472,-0.80154,1.8725,-4.025,-3.64
194,19595,0.549732,-0.208864,-0.799588,1.925,-4.0075,-3.64
195,19692,0.5499761,-0.207888,-0.800076,1.89,-4.0075,-3.675
196,19790,0.551684,-0.209352,-0.800564,1.9425,-4.0775,-3.675
197,19888,0.55144,-0.207156,-0.801296,1.925,-3.9725,-3.71
198,19985,0.552416,-0.205936,-0.8025161,1.9425,-3.9725,-3.745
199,20083,0.552416,-0.207644,-0.8025161,1.925,-3.9375,-3.6925
