,T,ax,ay,az,gx,gy,gz
0,85907,0.445788,-0.240096,-0.6653881,10.29,-14.3325,-20.23
1,86053,0.468236,-0.234728,-0.74298,-27.6675,-88.2875,-186.5675
2,86150,0.49898,-0.250588,-0.794708,-68.79251,-102.935,-357.14
3,86246,0.498004,-0.249856,-0.79666,19.1275,-95.515,-74.165
4,86343,0.4984921,-0.249856,-0.79544,1.4875,-5.8975,-2.73
5,86439,0.499956,-0.251076,-0.7978801,1.365,-5.495,-2.45
6,86536,0.497272,-0.248392,-0.798124,1.295,-5.5825,-2.45
7,86633,0.49776,-0.250344,-0.796904,1.365,-5.565,-2.4675
8,86729,0.499468,-0.252052,-0.7978801,1.3475,-5.6525,-2.52
9,86826,0.498736,-0.248148,-0.799344,1.295,-5.635,-2.52
10,86922,0.500688,-0.249368,-0.8003201,1.225,-5.67,-2.4325
11,87019,0.5023961,-0.250344,-0.801052,1.2775,-5.635,-2.485
12,87116,0.4984921,-0.249856,-0.7986121,1.225,-5.6175,-2.5375
13,87212,0.5002,-0.249368,-0.800808,1.3125,-5.5825,-2.6425
14,87309,0.498736,-0.24766,-0.798856,1.2425,-5.565,-2.6075
15,87405,0.4984921,-0.250344,-0.798124,1.295,-5.635,-2.5025
16,87502,0.49898,-0.248636,-0.7998321,1.2425,-5.7225,-2.5375
17,87599,0.499224,-0.248148,-0.7991,1.2425,-5.6175,-2.59
18,87695,0.499224,-0.248636,-0.800808,1.225,-5.6175,-2.5725
19,87792,0.4984921,-0.249368,-0.8020281,1.3125,-5.635,-2.5725
20,87888,0.49898,-0.249368,-0.7978801,1.3125,-5.635,-2.6075
21,87985,0.49898,-0.247904,-0.798368,1.225,-5.6,-2.59
22,88081,0.498004,-0.24888,-0.799588,1.295,-5.635,-2.6075
23,88178,0.499468,-0.25254,-0.801784,1.2425,-5.6525,-2.625
24,88275,0.499956,-0.249612,-0.7998321,1.3125,-5.67,-2.6425
25,88371,0.5002,-0.249368,-0.798856,1.2775,-5.5825,-2.5375
26,88468,0.501176,-0.249612,-0.799344,1.295,-5.53,-2.625
27,88564,0.498004,-0.248148,-0.8003201,1.33,-5.6,-2.5725
28,88661,0.499956,-0.251076,-0.801052,1.295,-5.6525,-2.625
29,88758,0.499224,-0.253272,-0.798856,1.2425,-5.635,-2.555
30,88854,0.4984921,-0.248392,-0.798124,1.19,-5.6,-2.625
31,88951,0.49898,-0.24766,-0.7986121,1.295,-5.6,-2.695
32,89047,0.499224,-0.24888,-0.799588,1.3125,-5.6,-2.6425
33,89144,0.498736,-0.24888,-0.7986121,1.3475,-5.5825,-2.6425
34,89241,0.4984921,-0.24766,-0.800076,1.3475,-5.53,-2.5025
35,89337,0.499468,-0.249368,-0.798368,1.3125,-5.5825,-2.5025
36,89434,0.4984921,-0.248148,-0.798856,1.3125,-5.5825,-2.5375
37,89530,0.498004,-0.248392,-0.799588,1.2775,-5.6,-2.485
38,89627,0.499224,-0.249612,-0.799588,1.33,-5.635,-2.5025
39,89724,0.4984921,-0.248392,-0.799588,1.33,-5.635,-2.5025
40,89820,0.49776,-0.248636,-0.7978801,1.3475,-5.635,-2.52
41,89917,0.499468,-0.249856,-0.7978801,1.26,-5.6525,-2.52
42,90013,0.496784,-0.249856,-0.797392,1.2425,-5.6875,-2.5725
43,90110,0.49898,-0.249368,-0.7998321,1.3125,-5.6525,-2.52
44,90207,0.4984921,-0.2501,-0.7978801,1.295,-5.775,-2.625
45,90303,0.497516,-0.247904,-0.798856,1.19,-5.6525,-2.59
46,90400,0.498004,-0.248636,-0.799588,1.2425,-5.6875,-2.66
47,90496,0.498004,-0.248392,-0.7986121,1.2775,-5.6525,-2.555
48,90593,0.498736,-0.248636,-0.798856,1.3125,-5.635,-2.6075
49,90690,0.499468,-0.247904,-0.7986121,1.3125,-5.6875,-2.6075
50,90786,0.500444,-0.250588,-0.798368,1.3125,-5.67,-2.625
51,90883,0.49776,-0.249612,-0.798368,1.2775,-5.6,-2.625
52,90980,0.499224,-0.250832,-0.799344,1.2425,-5.705,-2.6075
53,91076,0.500688,-0.248392,-0.796172,1.2425,-5.67,-2.7125
54,91173,0.498248,-0.246928,-0.799588,1.3475,-5.635,-2.6075
55,91269,0.499956,-0.248392,-0.7991,1.33,-5.6,-2.555
56,91366,0.500688,-0.250832,-0.7998321,1.3825,-5.5825,-2.5725
57,91463,0.497516,-0.250832,-0.797636,1.3125,-5.67,-2.5025
58,91559,0.498736,-0.250588,-0.797392,1.2775,-5.6525,-2.52
59,91656,0.497272,-0.249612,-0.796416,1.2775,-5.635,-2.555
60,91752,0.498736,-0.247904,-0.799344,1.26,-5.67,-2.6775
61,91849,0.498248,-0.247904,-0.7998321,1.26,-5.8275,-2.6775
62,91946,0.498736,-0.24766,-0.800076,1.225,-5.8275,-2.6425
63,92042,0.498248,-0.24888,-0.7986121,1.2775,-5.74,-2.555
64,92139,0.49898,-0.248636,-0.7998321,1.12,-5.74,-2.5025
65,92235,0.4984921,-0.247172,-0.7998321,1.2075,-5.74,-2.5375
66,92332,0.4984921,-0.249368,-0.797636,1.19,-5.7925,-2.66
67,92428,0.498004,-0.249612,-0.797636,1.085,-5.7575,-2.6075
68,92525,0.498736,-0.247904,-0.799344,1.2075,-5.74,-2.6425
69,92622,0.4984921,-0.24888,-0.799344,1.295,-5.705,-2.59
70,92718,0.499468,-0.249856,-0.795928,1.3125,-5.705,-2.4325
71,92815,0.498004,-0.249612,-0.797636,1.2775,-5.6525,-2.52
72,92911,0.499712,-0.249612,-0.7978801,1.1725,-5.6525,-2.5025
73,93008,0.4984921,-0.249124,-0.798856,1.225,-5.7575,-2.5375
74,93105,0.497272,-0.250832,-0.797148,1.225,-5.81,-2.5025
75,93201,0.496784,-0.249856,-0.797636,1.26,-5.775,-2.5725
76,93298,0.496296,-0.24888,-0.7991,1.225,-5.6875,-2.6425
77,93394,0.496784,-0.24766,-0.800808,1.2425,-5.5475,-2.59
78,93491,0.4984921,-0.24888,-0.7986121,1.3125,-5.565,-2.625
79,93588,0.498004,-0.249124,-0.800564,1.3125,-5.635,-2.6075
80,93684,0.49654,-0.248636,-0.7986121,1.3125,-5.53,-2.625
81,93781,0.497516,-0.248392,-0.7978801,1.3125,-5.6175,-2.5725
