,T,ax,ay,az,gx,gy,gz
0,381417.0,0.5668,0.2003,-0.7454,0.5425,-16.6425,21.91
1,381514.0,0.5849,0.2054,-0.7674,-5.9325,-64.7675,42.91
2,381611.0,0.5846,0.2054,-0.7649,-2.4675,-105.0525,44.7475
3,381709.0,0.5856,0.2079,-0.7635,13.125,-38.43,-5.7925
4,381806.0,0.5844,0.2072,-0.764,-0.1575,-0.91,0.035
5,381903.0,0.5841,0.2067,-0.7637,-0.1575,-0.98,0.14
6,382001.0,0.5846,0.2054,-0.7623,-0.105,-1.015,0.105
7,382098.0,0.5849,0.2059,-0.762,-0.1225,-1.0675,0.21
8,382196.0,0.5849,0.2059,-0.762,-0.1225,-1.05,0.14
9,382293.0,0.5846,0.2052,-0.7627,-0.14,-1.0675,0.1575
10,382390.0,0.5858,0.2054,-0.761,-0.1225,-1.085,0.175
11,382488.0,0.5849,0.2057,-0.7618,-0.1575,-1.1025,0.1575
12,382585.0,0.5858,0.2057,-0.7603,-0.175,-1.1025,0.14
13,382682.0,0.5873,0.2059,-0.7605,-0.1575,-1.1025,0.1225
14,382780.0,0.5858,0.2052,-0.761,-0.175,-1.12,0.14
15,382877.0,0.5854,0.205,-0.7613,-0.175,-1.1375,0.1225
16,382974.0,0.5849,0.2054,-0.7605,-0.1575,-1.1375,0.1925
17,383072.0,0.5863,0.2059,-0.7605,-0.1925,-1.1375,0.175
18,383169.0,0.5861,0.2052,-0.7605,-0.21,-1.12,0.1575
19,383267.0,0.5854,0.2042,-0.761,-0.1925,-1.1375,0.14
20,383364.0,0.5856,0.2059,-0.7596,-0.1925,-1.1025,0.175
21,383461.0,0.5856,0.2062,-0.7596,-0.21,-1.1025,0.1575
22,383559.0,0.5861,0.2045,-0.7603,-0.2625,-1.1025,0.1575
23,383656.0,0.5856,0.2045,-0.7593,-0.2625,-1.085,0.1575
24,383753.0,0.5861,0.2057,-0.7593,-0.28,-1.0675,0.14
25,383851.0,0.5863,0.2052,-0.7598,-0.245,-1.0675,0.1225
26,383948.0,0.5861,0.2045,-0.7598,-0.28,-1.12,0.1225
27,384046.0,0.5856,0.2047,-0.7596,-0.28,-1.12,0.1225
28,384143.0,0.5854,0.2064,-0.7593,-0.2975,-1.1025,0.105
29,384240.0,0.5841,0.2052,-0.7601,-0.28,-1.085,0.105
30,384338.0,0.5844,0.2054,-0.7588,-0.2975,-1.1025,0.14
31,384435.0,0.5854,0.2062,-0.7593,-0.2625,-1.12,0.1225
32,384532.0,0.5846,0.2059,-0.7579,-0.2625,-1.155,0.175
33,384630.0,0.5844,0.2052,-0.7588,-0.28,-1.155,0.175
34,384727.0,0.5858,0.2057,-0.7596,-0.245,-1.12,0.1925
35,384825.0,0.5863,0.2045,-0.7581,-0.2625,-1.1375,0.14
36,384922.0,0.5849,0.2054,-0.7596,-0.2975,-1.155,0.1225
37,385019.0,0.5861,0.2052,-0.7586,-0.2975,-1.1025,0.14
38,385117.0,0.5849,0.2052,-0.7591,-0.315,-1.1025,0.1575
39,385214.0,0.5858,0.2059,-0.7581,-0.28,-1.085,0.14
40,385312.0,0.5858,0.2047,-0.7588,-0.2625,-1.1375,0.175
