,T,ax,ay,az,gx,gy,gz
0,33117,0.866932,-0.029646,0.369172,17.6925,-17.885,-17.0275
1,33259,0.8847441,-0.026962,0.316956,68.495,-103.4775,-105.315
2,33357,0.9453781,-0.02684,0.337696,124.285,-179.7425,-213.1325
3,33454,0.948184,-0.02379,0.348676,56.14,-121.7125,-55.965
4,33552,0.946354,-0.021838,0.349652,4.27,-9.625,-3.2025
5,33649,0.944158,-0.01891,0.346236,2.205,-5.25,-1.0325
6,33747,0.9440361,-0.017934,0.344772,2.66,-5.04,-1.0675
7,33844,0.9455,-0.016714,0.340624,3.2025,-4.97,-1.2075
8,33941,0.9487941,-0.020862,0.339404,3.3775,-5.0925,-1.1725
9,34039,0.9516,-0.021472,0.340746,3.15,-5.1275,-1.155
10,34136,0.9562361,-0.024156,0.3416,3.15,-4.9875,-1.1375
11,34234,0.9558701,-0.029036,0.33977,3.3075,-5.25,-1.155
12,34331,0.952698,-0.030134,0.340136,2.835,-5.88,-1.05
13,34429,0.944768,-0.028426,0.33977,2.6775,-6.0725,-0.9625
14,34526,0.94062,-0.02745,0.337574,2.9575,-5.6525,-0.805
15,34623,0.94123,-0.02501,0.338794,3.115,-5.2675,-0.875
16,34721,0.942938,-0.025254,0.341844,2.8875,-5.1275,-1.26
17,34818,0.9484281,-0.024522,0.341112,2.6075,-4.9525,-1.4
18,34916,0.95282,-0.027694,0.341356,2.5725,-5.25,-1.3825
19,35013,0.953308,-0.031842,0.339526,2.7125,-5.32,-1.5225
20,35111,0.94916,-0.034526,0.337208,2.9925,-5.4425,-1.3825
21,35208,0.94489,-0.030988,0.334402,2.905,-5.74,-1.1375
22,35305,0.941596,-0.027938,0.331962,2.555,-5.635,-0.8575
23,35403,0.941108,-0.02806,0.329522,2.4325,-5.1975,-0.8575
24,35500,0.94611,-0.031598,0.333182,2.3625,-4.865,-1.19
25,35598,0.947818,-0.033428,0.335134,2.1525,-4.795,-1.4875
26,35695,0.944158,-0.032452,0.335378,1.8725,-5.25,-1.5575
27,35793,0.9398881,-0.031964,0.337452,2.0475,-5.46,-1.435
28,35890,0.9414741,-0.028304,0.337818,2.275,-4.935,-1.365
29,35987,0.9403761,-0.027572,0.338794,2.3275,-4.27,-1.2075
30,36085,0.94855,-0.030378,0.341112,2.2575,-4.2,-1.26
31,36182,0.949404,-0.03355,0.34221,1.995,-4.4275,-1.26
32,36280,0.948062,-0.034892,0.343186,1.8725,-4.34,-1.015
33,36377,0.9436701,-0.034038,0.341234,1.82,-4.165,-0.875
34,36475,0.9433041,-0.030744,0.338306,1.96,-4.6025,-0.945
35,36572,0.946842,-0.030988,0.335988,2.03,-4.97,-1.33
36,36669,0.9479401,-0.03355,0.340502,1.8375,-4.83,-1.96
37,36767,0.948062,-0.036234,0.344528,1.505,-4.34,-2.17
38,36864,0.943548,-0.032208,0.344528,1.19,-4.1475,-1.995
39,36962,0.9376921,-0.027938,0.339892,1.1725,-4.48,-1.61
40,37059,0.9381801,-0.025986,0.339404,1.54,-4.375,-1.295
41,37157,0.9385461,-0.023302,0.339404,1.9775,-4.06,-1.33
42,37254,0.947208,-0.025742,0.338672,2.03,-4.5675,-1.855
43,37351,0.947208,-0.030256,0.338794,2.03,-5.145,-2.31
44,37449,0.946232,-0.03355,0.343186,2.0475,-4.9875,-2.5375
45,37546,0.945744,-0.03416,0.341722,1.8725,-3.99,-2.6075
46,37644,0.944768,-0.033306,0.34099,1.3825,-3.2725,-2.3625
47,37741,0.945012,-0.034648,0.341966,1.26,-2.8525,-1.9775
48,37838,0.946232,-0.031354,0.341844,1.3475,-2.8875,-1.645
49,37936,0.94916,-0.031842,0.341478,1.4525,-3.3425,-1.54
50,38033,0.9516,-0.032452,0.338916,1.26,-3.36,-1.96
51,38131,0.9514781,-0.03294,0.3416,1.26,-3.7275,-2.2925
52,38228,0.950502,-0.032696,0.341722,1.295,-3.815,-2.555
53,38326,0.9516,-0.032086,0.3416,0.9625,-3.78,-2.625
54,38423,0.9506241,-0.033306,0.344162,0.7,-3.85,-2.625
55,38520,0.952454,-0.035014,0.3477,0.6475,-3.78,-2.5375
56,38618,0.958798,-0.035258,0.34831,1.015,-4.2,-2.625
57,38715,0.9650201,-0.03538,0.348432,1.085,-4.7775,-2.6775
58,38813,0.961116,-0.034038,0.347456,0.9275,-5.74,-2.6775
59,38910,0.9539181,-0.030988,0.347578,0.42,-6.615,-2.4675
60,39008,0.947208,-0.030378,0.343796,0.07,-6.3525,-2.03
61,39105,0.9390341,-0.026596,0.34099,-0.035,-5.5475,-1.8025
62,39202,0.940864,-0.028792,0.343674,0.28,-4.935,-1.9425
63,39300,0.946232,-0.02806,0.346236,0.7,-4.6025,-2.0125
64,39397,0.953186,-0.02867,0.34648,1.0675,-4.7425,-2.0475
65,39495,0.957456,-0.027938,0.346968,1.19,-5.32,-2.135
66,39592,0.95648,-0.02257,0.346236,0.9975,-5.6175,-2.1525
67,39690,0.952454,-0.017812,0.3416,0.7525,-5.635,-1.9075
68,39787,0.949526,-0.019276,0.33977,0.8225,-5.8275,-1.82
69,39884,0.947208,-0.01952,0.33916,1.3475,-5.915,-1.715
70,39982,0.9451341,-0.021838,0.345016,1.715,-6.195,-1.7325
71,40079,0.94611,-0.02379,0.34465,1.82,-6.055,-1.96
72,40177,0.9455,-0.02196,0.345626,1.8375,-6.23,-2.0825
73,40274,0.947818,-0.019276,0.346724,1.8725,-6.09,-1.8375
74,40371,0.949892,-0.017324,0.344406,1.7675,-5.74,-1.4525
75,40469,0.950014,-0.01525,0.341844,1.7675,-5.95,-1.295
76,40566,0.951844,-0.016226,0.339282,1.8025,-6.2125,-1.2775
77,40664,0.952698,-0.01586,0.339526,2.1875,-5.95,-1.365
78,40761,0.955504,-0.019032,0.342088,2.7475,-5.775,-1.61
79,40859,0.956846,-0.018788,0.342576,2.6425,-6.09,-1.61
80,40956,0.953186,-0.02013,0.339526,2.3625,-6.475,-1.5925
81,41053,0.953308,-0.019886,0.339282,2.275,-6.3875,-1.5575
82,41151,0.953186,-0.020252,0.334768,2.345,-6.1425,-1.54
83,41248,0.9512341,-0.018422,0.332572,2.3975,-6.58,-1.4
84,41346,0.9516,-0.015494,0.330864,2.6425,-7.14,-1.3825
85,41443,0.953308,-0.012566,0.331352,2.9925,-6.895,-1.2425
86,41541,0.95709,-0.01769,0.331474,3.3075,-6.335,-1.0675
87,41638,0.9618481,-0.025742,0.33123,3.3425,-6.51,-1.2075
88,41735,0.961604,-0.029158,0.33123,3.15,-7.1925,-1.2425
89,41833,0.9602621,-0.027938,0.331108,2.8,-7.35,-1.05
90,41930,0.957822,-0.02562,0.327326,2.4675,-7.4375,-0.8225
91,42028,0.9539181,-0.02074,0.324642,2.5375,-7.6475,-0.7
92,42125,0.9540401,-0.015616,0.322324,2.905,-7.9275,-0.735
93,42223,0.955626,-0.008540001,0.321836,3.4125,-8.155,-0.735
94,42320,0.955626,-0.008540001,0.326228,3.5525,-8.19,-0.8225
95,42417,0.954406,-0.00976,0.327936,3.5875,-7.8575,-0.9275
96,42515,0.949648,-0.01403,0.327448,3.465,-7.875,-1.0675
97,42612,0.94916,-0.019032,0.325008,3.22,-7.9275,-1.1025
98,42710,0.950502,-0.022692,0.324154,3.08,-7.56,-1.0325
99,42807,0.9530641,-0.026596,0.322934,3.22,-7.035,-1.05
100,42904,0.9514781,-0.022936,0.323422,3.3775,-7.2625,-1.015
101,43002,0.94489,-0.018544,0.327692,3.5875,-7.7,-1.05
102,43099,0.9423281,-0.014518,0.327326,3.78,-7.5075,-0.9975
103,43197,0.9404981,-0.013664,0.323788,3.6225,-7.56,-1.1375
104,43294,0.9386681,-0.011224,0.324764,3.4125,-7.7875,-1.2775
105,43392,0.9358621,-0.010736,0.32391,3.3425,-7.2275,-1.3825
106,43489,0.939766,-0.01464,0.328424,3.2375,-6.3,-1.47
107,43586,0.9390341,-0.020008,0.329034,3.045,-5.495,-1.4
108,43684,0.935252,-0.022814,0.33062,3.1675,-5.3725,-1.295
109,43781,0.937448,-0.025864,0.330742,3.395,-4.935,-1.3825
110,43879,0.945012,-0.027694,0.329644,3.255,-4.0775,-1.4525
111,43976,0.948184,-0.030012,0.33245,2.835,-3.7275,-1.5225
112,44073,0.9486721,-0.032818,0.335134,2.6075,-3.465,-1.47
113,44171,0.9497701,-0.029036,0.332572,2.45,-3.0975,-1.505
114,44268,0.9520881,-0.027572,0.333182,2.4325,-3.29,-1.715
115,44366,0.9535521,-0.025742,0.332572,2.4675,-3.6225,-1.8725
116,44463,0.953796,-0.024156,0.33245,2.5025,-3.6225,-1.7675
117,44561,0.949526,-0.02562,0.334158,2.5725,-3.92,-1.645
118,44658,0.946842,-0.028548,0.338916,2.52,-4.13,-1.68
119,44755,0.9453781,-0.029646,0.336964,2.4325,-3.6575,-1.68
120,44853,0.94611,-0.031842,0.337574,2.4325,-3.29,-1.715
121,44950,0.9473301,-0.031476,0.332572,2.2925,-3.2725,-1.7325
122,45048,0.949648,-0.03355,0.332084,2.0475,-3.395,-1.715
123,45145,0.952698,-0.033794,0.330376,1.6625,-3.3775,-1.6625
124,45242,0.9548941,-0.035868,0.330376,1.4875,-3.115,-1.715
125,45340,0.950502,-0.03294,0.332694,1.4525,-3.325,-1.715
126,45437,0.948306,-0.029036,0.335744,1.365,-3.255,-1.75
127,45535,0.945256,-0.027328,0.336354,1.2425,-2.8175,-1.855
128,45632,0.944768,-0.026596,0.334524,1.2075,-2.555,-1.9425
129,45730,0.9469641,-0.025864,0.335256,1.12,-2.695,-2.0125
130,45827,0.9519661,-0.02684,0.336476,1.3125,-2.73,-2.065
131,45924,0.955016,-0.02928,0.338672,1.575,-2.415,-1.995
132,46022,0.955504,-0.030134,0.341478,1.8375,-2.4675,-1.855
133,46119,0.9553821,-0.029158,0.342942,1.7675,-2.5725,-1.68
134,46217,0.952698,-0.02989,0.344894,1.5925,-2.1175,-1.6625
135,46314,0.9502581,-0.028304,0.344162,1.3125,-1.925,-1.785
136,46411,0.949526,-0.029158,0.343186,1.12,-1.9775,-1.8725
137,46509,0.950014,-0.030134,0.339526,1.05,-2.31,-1.715
138,46606,0.9501361,-0.030622,0.338184,1.1375,-2.73,-1.47
139,46704,0.9502581,-0.029768,0.33794,1.295,-2.6075,-1.2075
140,46801,0.953186,-0.02867,0.338184,1.6975,-2.1525,-0.9975
141,46898,0.9539181,-0.028304,0.335012,1.6625,-2.135,-0.91
142,46996,0.9507461,-0.028914,0.339038,1.61,-2.4675,-0.98
143,47093,0.949892,-0.027694,0.339648,1.435,-2.555,-0.9625
144,47191,0.94855,-0.026718,0.33855,1.295,-2.1175,-1.1025
145,47288,0.9506241,-0.025254,0.335012,1.4,-2.38,-1.4525
146,47386,0.9484281,-0.022936,0.33489,1.47,-3.115,-1.6625
147,47483,0.949038,-0.024522,0.3355,1.47,-3.2375,-1.6975
148,47580,0.9506241,-0.025742,0.3355,1.3825,-2.8175,-1.75
149,47678,0.9507461,-0.027938,0.33245,1.435,-3.1675,-1.7325
150,47775,0.949648,-0.031232,0.338306,1.505,-3.5525,-1.575
151,47873,0.948306,-0.033062,0.341234,1.6275,-3.2725,-1.575
152,47970,0.949526,-0.033306,0.3416,1.54,-2.7475,-1.5925
153,48068,0.94916,-0.031964,0.340136,1.3825,-2.52,-1.5225
154,48165,0.947818,-0.027572,0.342698,1.19,-2.7475,-1.33
155,48262,0.952332,-0.02135,0.343064,1.3475,-2.73,-1.26
156,48360,0.954284,-0.018544,0.342088,1.5225,-2.4325,-1.33
157,48457,0.954406,-0.019154,0.340258,1.61,-3.08,-1.5575
158,48555,0.952332,-0.020374,0.339648,1.6275,-4.095,-1.5925
159,48652,0.947696,-0.024766,0.33672,1.54,-4.235,-1.61
160,48750,0.945866,-0.025498,0.339648,1.8025,-3.9375,-1.505
161,48847,0.948306,-0.023546,0.341112,2.0475,-3.0975,-1.365
162,48944,0.9497701,-0.020618,0.342942,2.2225,-2.87,-1.2075
163,49042,0.951722,-0.015982,0.345626,2.52,-3.255,-1.155
164,49139,0.9552601,-0.014396,0.34465,2.835,-3.6575,-1.015
165,49237,0.9581881,-0.017934,0.342698,3.185,-4.2525,-1.1025
166,49334,0.9585541,-0.022936,0.34099,3.22,-4.4625,-1.225
167,49431,0.9525761,-0.02684,0.34038,3.2375,-4.9,-1.26
168,49529,0.944524,-0.027816,0.340014,2.94,-5.0575,-0.98
169,49626,0.942206,-0.029036,0.340014,2.6075,-4.2875,-1.0325
170,49724,0.94123,-0.029768,0.34099,2.5025,-3.465,-1.1375
171,49821,0.9453781,-0.028548,0.342698,2.4675,-3.2025,-1.3475
172,49919,0.9501361,-0.027938,0.345382,2.5375,-3.2025,-1.505
173,50016,0.9540401,-0.027206,0.343186,2.6075,-3.36,-1.435
174,50113,0.95831,-0.023912,0.341234,2.7125,-3.78,-1.33
175,50211,0.959896,-0.026108,0.34099,3.0625,-4.6025,-1.225
176,50308,0.9540401,-0.026718,0.343064,3.22,-4.9,-1.1025
177,50406,0.9487941,-0.02562,0.343552,3.3075,-5.0575,-1.015
178,50503,0.941718,-0.024888,0.342088,3.185,-4.97,-0.9275
179,50601,0.938912,-0.02257,0.343186,2.94,-4.655,-0.7525
180,50698,0.941718,-0.021716,0.345626,2.66,-4.0775,-0.805
