,T,ax,ay,az,gx,gy,gz
0,169350,0.6902761,-0.100284,-0.540216,12.915,-11.7775,-14.6825
1,169492,0.66368,0.051484,-0.642696,98.6475,-112.385,-73.2025
2,169588,0.75274,0.027328,-0.63562,176.9075,-203.28,-107.3975
3,169684,0.719556,0.027572,-0.684176,115.255,-146.1425,-30.0475
4,169780,0.6946681,0.061,-0.678808,48.1075,-16.6075,15.7675
5,169876,0.659288,0.08954801,-0.734196,31.22,-8.575,19.95
6,169972,0.6222,0.108824,-0.7232161,25.8825,-9.3275,14.6125
7,170068,0.6517241,0.098088,-0.715164,27.0025,-10.6575,1.7325
8,170164,0.637084,0.180072,-0.743468,30.52,-11.935,-9.1875
9,170260,0.6558721,0.044408,-0.720532,34.65,-12.915,-17.115
10,170356,0.645136,0.036356,-0.7324881,36.085,-13.0025,-22.9075
11,170452,0.594872,0.136396,-0.750788,41.265,-13.1425,-29.7675
12,170548,0.604144,0.168116,-0.761036,49.2975,-15.05,-37.03
13,170644,0.664412,0.06832001,-0.7422481,54.5475,-19.1625,-42.8575
14,170740,0.68564,0.08808401,-0.711748,59.3075,-20.755,-45.9025
15,170836,0.68808,0.015372,-0.7278521,60.7425,-22.505,-46.8475
16,170932,0.76494,-0.115168,-0.71614,55.16,-20.7025,-42.7
17,171028,0.72956,-0.08418,-0.715408,45.605,-17.01,-33.1275
18,171124,0.710284,-0.193248,-0.678808,34.8775,-12.88,-18.9175
19,171220,0.65026,-0.06124401,-0.7224841,16.5375,-7.4025,-4.375
20,171316,0.643428,-0.040504,-0.737612,7.3325,-3.99,-2.2925
21,171412,0.631716,-0.035136,-0.732976,-0.1225,-1.2775,-2.03
22,171508,0.635864,-0.020496,-0.719312,-6.1425,0.735,-4.375
23,171604,0.6422081,-0.007076001,-0.7141881,-13.055,3.08,-7.6125
24,171700,0.6456241,0.033916,-0.740052,-21.77,5.5825,-10.5175
25,171796,0.649284,0.061732,-0.74664,-30.9575,6.895,-13.0025
26,171892,0.6466,0.10492,-0.77592,-37.1875,6.9825,-14.105
27,171987,0.658068,0.10858,-0.755424,-34.0725,4.865,-15.7675
28,172083,0.6749041,0.091988,-0.730048,-27.02,2.3625,-16.765
29,172179,0.671732,0.089304,-0.725656,-25.4625,1.155,-16.2225
30,172275,0.670268,0.08906,-0.735172,-25.1475,0.8575,-15.12
31,172371,0.668072,0.08906,-0.737124,-26.0575,0.9275,-14.8925
32,172467,0.670024,0.083204,-0.741028,-27.545,1.2075,-15.2075
33,172563,0.671488,0.06222,-0.7320001,-27.4575,2.24,-15.225
34,172659,0.767136,-0.111264,-0.739564,-25.6375,3.885,-12.11
35,172755,0.748104,-0.238632,-0.7224841,-20.5275,9.4675,7.3325
36,172851,0.636108,0.024644,-0.6836881,-36.6625,17.3775,38.6575
37,172947,0.648552,0.253516,-0.701744,-48.545,18.865,53.2875
38,173043,0.60024,0.48678,-0.6939361,-44.625,14.1225,53.865
39,173139,0.612196,0.457988,-0.693692,-34.79,7.63,38.78
40,173235,0.63928,0.267912,-0.7068681,-20.2825,2.1875,17.6575
41,173331,0.665876,0.14884,-0.71004,-10.3425,-1.085,6.3525
42,173427,0.683932,0.113948,-0.7137001,-6.475,-1.9075,1.75
43,173523,0.687348,0.117608,-0.708576,-4.5325,-2.03,0.7525
44,173619,0.682712,0.1342,-0.716872,-4.3225,-1.8375,0.5425
45,173715,0.678076,0.1159,-0.7076001,-2.485,-2.0475,0.1575
46,173811,0.67466,0.139568,-0.706136,-2.6075,-2.1,-0.0875
47,173907,0.682224,0.117364,-0.706624,-1.9425,-2.45,-0.4025
48,174003,0.6756361,0.127124,-0.708088,-1.05,-2.52,0.0875
49,174099,0.677832,0.114192,-0.708332,-1.19,-2.415,-0.7175
50,174195,0.677588,0.12322,-0.707356,-1.3125,-2.38,-1.015
51,174291,0.681492,0.121756,-0.708332,-2.1875,-2.205,-0.9625
52,174386,0.680028,0.098088,-0.706624,-2.0825,-2.24,-1.0675
53,174482,0.68076,0.122976,-0.711016,-1.7675,-2.17,-3.2025
54,174578,0.6851521,0.121024,-0.7068681,-2.345,-1.89,-2.9575
55,174674,0.682468,0.122976,-0.701744,-1.505,-1.96,-1.995
56,174770,0.6832,0.123708,-0.7015,-1.61,-1.8725,-2.415
57,174866,0.682956,0.127124,-0.703208,-1.3125,-2.0475,-2.3625
58,174962,0.681736,0.122,-0.7027201,-0.525,-2.24,-2.485
59,175058,0.688324,0.128588,-0.705892,-0.14,-2.3975,-2.8875
60,175154,0.681248,0.115412,-0.701256,1.61,-3.0625,-3.08
61,175250,0.683444,0.121756,-0.707844,-0.7175,-2.3625,-3.2025
62,175346,0.685884,0.127856,-0.700768,-1.1025,-1.8025,-3.605
63,175442,0.682468,0.123464,-0.699792,-0.3325,-2.03,-3.1325
64,175538,0.6893,0.123708,-0.696132,0.0175,-2.205,-2.3975
65,175634,0.696864,0.100284,-0.677832,0.56,-2.6775,-2.9225
66,175730,0.682224,0.100284,-0.71858,-0.98,-2.8875,-7.6825
67,175826,0.682956,0.1525,-0.711016,-2.1875,-1.4,-8.68
68,175922,0.6897881,0.134444,-0.695156,-1.0325,-1.8375,-4.48
69,176018,0.67588,0.127368,-0.71126,-0.56,-2.5375,-3.71
70,176114,0.686616,0.13542,-0.703208,0.4725,-3.0625,-2.0475
71,176210,0.681736,0.114436,-0.7034521,1.6275,-3.4125,-1.085
72,176306,0.69174,0.132492,-0.69052,1.4175,-3.3775,-2.4325
73,176402,0.686128,0.132736,-0.702476,1.3475,-3.4825,-3.255
74,176498,0.683932,0.121756,-0.7015,1.9075,-3.4825,-3.045
75,176594,0.686616,0.13054,-0.6980841,1.785,-3.0975,-3.2375
76,176690,0.68808,0.12566,-0.700036,2.0475,-3.115,-2.9925
77,176786,0.685396,0.127612,-0.699792,2.205,-3.1325,-2.6075
78,176882,0.69052,0.124928,-0.69784,2.345,-3.2725,-2.45
79,176978,0.689056,0.126392,-0.698816,2.3975,-3.2725,-2.485
80,177074,0.687592,0.131028,-0.700036,2.52,-3.29,-2.5025
81,177170,0.689056,0.123952,-0.6985721,2.8525,-3.43,-2.415
82,177266,0.686128,0.11834,-0.699548,2.8175,-3.3425,-2.5025
83,177362,0.686616,0.120536,-0.698328,2.695,-3.22,-2.905
84,177458,0.6844201,0.123952,-0.701012,2.4675,-3.1325,-3.08
85,177554,0.6902761,0.125416,-0.696864,2.52,-3.1325,-3.1325
86,177649,0.690032,0.1342,-0.696376,2.555,-3.3075,-3.185
87,177745,0.687348,0.124928,-0.697352,2.7475,-3.5175,-3.01
88,177841,0.690764,0.121756,-0.69418,2.835,-3.5875,-2.975
89,177937,0.688812,0.122488,-0.6985721,2.73,-3.71,-3.1675
90,178033,0.686616,0.120292,-0.698328,2.625,-3.64,-3.2025
91,178129,0.685884,0.116632,-0.695888,2.45,-3.57,-3.4825
92,178225,0.687348,0.124196,-0.698816,2.31,-3.5,-3.6925
93,178321,0.6897881,0.12688,-0.695888,2.38,-3.395,-3.745
94,178417,0.689544,0.125904,-0.698816,2.4325,-3.4125,-3.7275
95,178513,0.686128,0.12688,-0.698328,2.415,-3.36,-3.8675
96,178609,0.687348,0.119316,-0.70028,2.3625,-3.185,-3.7625
97,178705,0.684176,0.113216,-0.701012,2.2575,-3.0625,-3.9025
98,178801,0.688812,0.123952,-0.696864,1.925,-2.8175,-4.13
99,178897,0.68808,0.126392,-0.696132,1.8725,-2.835,-4.165
100,178993,0.688812,0.130296,-0.6954,2.0125,-2.73,-3.92
101,179089,0.688812,0.132004,-0.6944241,2.135,-2.765,-3.71
102,179185,0.690032,0.125904,-0.697108,2.2225,-2.7825,-3.57
103,179281,0.690764,0.131516,-0.6954,2.1875,-2.835,-3.4825
104,179377,0.690764,0.127368,-0.6946681,2.3625,-3.0275,-3.3425
105,179473,0.690032,0.121512,-0.694912,2.4325,-3.15,-3.395
106,179569,0.6902761,0.129808,-0.695644,2.17,-3.0625,-3.605
107,179665,0.69052,0.126636,-0.696132,2.38,-3.2725,-3.6225
108,179761,0.690764,0.121268,-0.693204,2.6075,-3.465,-3.535
109,179857,0.686616,0.124928,-0.694912,2.4675,-3.5875,-3.6575
110,179953,0.6897881,0.126636,-0.6939361,2.345,-3.5175,-3.675
111,180049,0.6893,0.126636,-0.696376,2.555,-3.57,-3.64
112,180144,0.6878361,0.119804,-0.695156,2.625,-3.5,-3.57
113,180240,0.6893,0.123952,-0.6946681,2.415,-3.395,-3.675
114,180336,0.6902761,0.117608,-0.692716,2.3975,-3.465,-3.745
115,180432,0.69052,0.126148,-0.692716,2.0825,-3.255,-4.13
116,180528,0.6919841,0.12566,-0.6985721,2.1525,-3.325,-4.06
117,180624,0.692228,0.126636,-0.696376,1.6975,-3.185,-4.2175
118,180720,0.691008,0.12444,-0.693204,2.24,-3.08,-4.165
119,180816,0.69418,0.1464,-0.6985721,1.4,-2.9225,-4.8825
120,180912,0.6897881,0.120536,-0.697352,2.555,-3.08,-4.4275
121,181008,0.689544,0.117608,-0.68808,1.61,-2.8875,-4.41
122,181104,0.697596,0.132736,-0.6946681,1.7325,-2.8175,-4.4625
123,181200,0.6902761,0.13664,-0.701256,1.3825,-2.4325,-4.69
124,181296,0.683932,0.103944,-0.685396,2.1,-2.625,-4.3225
125,181392,0.68808,0.121024,-0.6944241,1.5575,-2.59,-4.4275
126,181488,0.691008,0.11956,-0.694912,2.4325,-2.5375,-4.2175
127,181584,0.696864,0.133956,-0.69052,2.485,-2.38,-4.6025
128,181680,0.696132,0.133712,-0.684908,2.1525,-2.59,-4.7425
129,181776,0.693448,0.131516,-0.6885681,2.2925,-2.9575,-4.55
130,181872,0.697108,0.136884,-0.685884,1.925,-3.185,-4.4975
131,181968,0.694912,0.151036,-0.685396,2.695,-3.92,-3.7975
132,182064,0.6919841,0.1342,-0.691252,3.675,-4.48,-2.5025
133,182160,0.690764,0.12444,-0.6954,3.7975,-4.725,-2.24
134,182256,0.688812,0.125172,-0.695644,3.43,-4.5675,-2.5725
135,182352,0.692472,0.126392,-0.691496,3.29,-4.34,-2.87
136,182448,0.6944241,0.130784,-0.692228,3.08,-4.2525,-3.0975
137,182544,0.693204,0.1281,-0.692228,2.9575,-4.3925,-3.1325
138,182640,0.6902761,0.126636,-0.6944241,3.01,-4.655,-3.325
139,182736,0.68808,0.127124,-0.6902761,2.9575,-4.655,-3.43
140,182832,0.691008,0.124928,-0.692228,3.01,-4.7075,-3.4125
141,182928,0.69052,0.127368,-0.692472,2.94,-4.5675,-3.465
142,183024,0.6902761,0.126392,-0.692228,2.7125,-4.4275,-3.675
143,183120,0.692472,0.131272,-0.6902761,2.59,-4.2875,-3.745
