,T,ax,ay,az,gx,gy,gz
0,2302261,0.872178,0.088328,-0.386374,16.975,-18.025,-18.69
1,2302418,0.810324,0.109922,-0.502518,149.835,-52.2025,8.82
2,2302514,0.834114,0.109312,-0.53131,201.53,-82.4075,63.595
3,2302611,0.828014,0.101138,-0.514352,65.8875,-96.1975,-11.655
4,2302707,0.81923,0.09418401,-0.510936,-2.835,-4.83,-5.4425
5,2302804,0.833626,0.105652,-0.523746,-8.785,-4.4975,-5.1275
6,2302900,0.860588,0.110654,-0.520574,-9.9225,-6.0725,-4.3575
7,2302997,0.8973101,0.089792,-0.518012,-10.36,-5.005,-2.485
8,2303093,0.961726,0.060878,-0.530822,-14.49,-4.97,0.2275
9,2303190,0.958798,0.08662001,-0.539606,-18.0075,-4.865,1.33
10,2303286,0.917928,0.123708,-0.54595,-15.68,-2.0475,2.275
11,2303383,0.88999,0.145058,-0.56608,-8.2425,0.805,3.64
12,2303480,0.876326,0.164212,-0.577914,1.925,1.8375,3.9375
13,2303576,0.8602221,0.135298,-0.628544,14.0175,2.975,3.01
14,2303673,0.8397261,0.130784,-0.619028,26.635,3.325,0.4725
15,2303769,0.824598,0.12932,-0.584746,39.095,-0.0525,-2.73
16,2303866,0.856196,0.119072,-0.560102,41.9125,-6.3175,-5.39
17,2303962,0.912926,0.102846,-0.569252,41.0725,-11.235,-4.6375
18,2304059,0.8675421,0.052582,-0.548024,39.865,-15.7325,-2.3625
19,2304155,0.891576,0.035014,-0.579256,39.725,-19.4775,-3.22
20,2304252,0.894748,0.03355,-0.513864,38.5875,-26.075,-6.0025
21,2304349,0.8784,0.028792,-0.5246,31.01,-29.89,-5.635
22,2304445,0.837652,0.034282,-0.522648,23.0825,-30.5025,-4.27
23,2304542,0.806054,0.04575,-0.523624,17.3075,-30.695,-5.2325
24,2304638,0.8513161,0.238022,-0.6409881,12.2675,-31.3775,-7.0175
25,2304735,0.8481441,-0.030134,-0.369294,38.115,-34.545,-9.6775
26,2304831,0.798734,0.041724,-0.4594521,19.81,-26.1975,-4.6375
27,2304928,0.83021,0.053924,-0.532652,-2.5725,-16.345,-1.26
28,2305024,0.8410681,0.05185,-0.556564,-2.94,-11.41,0.2975
29,2305121,0.8458261,0.049654,-0.563396,-2.3975,-9.2925,0.875
30,2305218,0.8453381,0.050264,-0.564494,-1.3475,-9.52,0.595
31,2305314,0.84912,0.051972,-0.55937,-1.4525,-10.255,0.455
32,2305411,0.849608,0.050142,-0.558272,-2.3275,-11.235,0.4025
33,2305507,0.8488761,0.050996,-0.556808,-3.2025,-11.725,0.35
34,2305604,0.846924,0.052948,-0.555954,-3.92,-11.375,0.3325
35,2305700,0.845704,0.05648601,-0.55266,-4.5325,-10.7275,0.42
36,2305797,0.842654,0.063318,-0.552538,-5.04,-10.6225,0.5775
37,2305894,0.8427761,0.06795401,-0.5511961,-5.355,-10.675,0.735
38,2305990,0.845948,0.07198,-0.55022,-5.3025,-10.6575,0.6475
39,2306087,0.844484,0.07356601,-0.549732,-5.005,-10.885,0.7175
40,2306183,0.843508,0.07417601,-0.548146,-4.41,-10.745,0.735
41,2306280,0.840946,0.075396,-0.5463161,-3.8325,-10.1675,0.63
42,2306376,0.838628,0.078812,-0.5463161,-3.255,-9.2925,0.49
43,2306473,0.83692,0.082838,-0.5458281,-2.6075,-8.1725,0.4375
44,2306569,0.835456,0.084546,-0.548268,-1.9425,-7.455,0.245
45,2306666,0.838994,0.087352,-0.5504641,-1.295,-6.825,0.035
46,2306763,0.8461921,0.089426,-0.551074,-0.6125,-6.3175,-0.175
47,2306859,0.84973,0.08649801,-0.550708,0.0525,-6.79,-0.5425
48,2306956,0.85522,0.082594,-0.548634,1.1725,-6.965,-1.1025
49,2307052,0.85705,0.079544,-0.549122,2.0825,-7.035,-1.8375
50,2307149,0.8574161,0.07612801,-0.54839,2.905,-7.1225,-2.695
51,2307245,0.856196,0.074054,-0.54839,3.3425,-6.65,-3.5175
52,2307342,0.859368,0.071736,-0.547658,3.0625,-5.425,-4.2175
53,2307438,0.8602221,0.070882,-0.5471701,2.695,-4.445,-4.935
54,2307535,0.8592461,0.070516,-0.548146,2.1525,-3.99,-5.39
