,T,ax,ay,az,gx,gy,gz
0,2681862,0.878888,0.040748,0.13969,12.635,-14.7525,-14.6475
1,2682029,0.926346,0.060024,-0.024522,150.9725,-124.565,-89.46
2,2682126,1.008208,0.06466001,-0.017934,174.5625,-187.9675,-102.62
3,2682223,0.9966181,0.074664,-0.000244,87.6925,-142.1,-49.5775
4,2682320,1.023458,0.081374,-0.009394,19.11,-6.65,-7.245
5,2682418,1.038952,0.061,-0.014396,14.0875,1.96,-5.04
6,2682515,1.035658,0.046238,-0.015982,11.27,0.91,-5.6525
7,2682612,1.03517,0.045872,-0.012566,7.9975,-1.155,-5.46
8,2682710,1.018456,0.06075601,-0.025742,5.25,-2.66,-4.76
9,2682807,1.018822,0.061976,-0.02501,4.375,-4.4275,-5.4075
10,2682904,1.020896,0.066856,-0.02257,2.52,-5.18,-5.6525
11,2683001,1.039074,0.067588,-0.024156,1.6625,-6.6675,-6.1425
12,2683099,1.03944,0.076006,-0.016958,0.49,-8.6625,-6.51
13,2683196,1.031754,0.082838,-0.030256,-1.6275,-9.87,-6.51
14,2683293,1.01321,0.080764,-0.03538,-3.3775,-11.69,-6.685
15,2683391,1.047858,0.05587601,-0.030622,-5.5475,-13.72,-7.0
16,2683488,0.9613601,0.03294,-0.054046,-9.415,-22.295,-6.265
17,2683585,0.9581881,0.0366,-0.087108,-11.445,-24.3075,-4.7775
18,2683682,0.958798,0.061,-0.08357,-10.01,-25.69,-2.485
19,2683780,0.9539181,0.091744,-0.109068,-5.145,-30.275,0.2625
20,2683877,0.9738041,0.084912,-0.10431,1.19,-35.595,-1.1725
21,2683974,0.998814,0.077714,-0.09821001,7.2275,-41.23,-1.3825
22,2684071,0.8679081,0.20313,-0.172874,13.7375,-44.1175,-1.4525
23,2684169,1.0614,0.080154,-0.027206,32.3925,-31.78,-7.2275
24,2684266,1.181936,0.005124001,0.208254,25.8825,-17.99,-5.8975
25,2684363,1.16815,0.07503,-0.015128,4.2525,-7.1925,-3.045
26,2684460,1.062498,0.05978,-0.07856801,3.4125,-7.6825,-4.165
27,2684558,0.9697781,0.05429,-0.081252,4.655,-11.97,-5.565
28,2684655,0.969412,0.064538,-0.081618,4.9875,-9.695,-5.7925
29,2684752,1.003084,0.06832001,-0.07503,4.4975,-7.805,-5.3025
30,2684850,1.02053,0.067832,-0.068442,3.4825,-9.0125,-4.62
31,2684947,1.020896,0.072102,-0.07137001,3.5175,-8.89,-4.375
