,T,ax,ay,az,gx,gy,gz
0,3975243,0.928176,-0.031232,0.029158,12.495,-14.665,-14.56
1,3975409,0.949038,-0.055754,-0.096868,49.3675,-119.8225,-38.1325
2,3975506,1.02236,-0.033306,-0.121268,171.325,-183.015,-101.4125
3,3975604,0.992226,-0.046726,-0.111874,90.89499,-135.5025,-51.205
4,3975701,0.9967401,-0.035014,-0.122854,24.0975,-0.7175,-11.2875
5,3975798,0.9799041,-0.047946,-0.105408,21.665,7.665,-14.6475
6,3975896,1.077138,-0.09040201,-0.018178,23.5725,10.2375,-20.405
7,3975993,0.990884,-0.01525,-0.092232,29.5225,4.655,-22.82
8,3976090,1.038708,0.01647,-0.091378,31.71,7.735,-25.095
9,3976187,1.056032,0.015372,-0.092354,29.9775,16.275,-25.4625
10,3976285,1.072502,0.02867,-0.083204,29.6275,14.77,-25.3575
11,3976382,1.351394,-0.148962,0.371734,23.275,9.45,-28.2275
12,3976479,0.98027,0.09845401,-0.330376,-2.2925,-3.29,-36.295
13,3976576,0.949404,0.06075601,-0.05551,14.8575,-30.7825,-41.65
14,3976674,0.948062,0.09869801,0.026718,10.2375,-31.1675,-40.565
15,3976771,0.9092661,0.023058,-0.033062,4.7425,-25.9,-36.8725
16,3976868,0.911584,0.029158,-0.213256,-0.595,-16.6075,-28.595
17,3976966,1.208288,-0.463356,-0.103334,7.1575,-16.8525,-30.52
18,3977063,0.9552601,0.032086,0.025864,24.5175,11.2525,-2.7475
19,3977160,0.9933241,0.012444,-0.079666,8.75,46.7775,-0.5075
20,3977257,1.003572,0.047336,-0.109556,23.0475,69.0375,0.0
21,3977355,1.032852,0.030378,-0.257298,16.0825,62.58,-3.395
22,3977452,1.025044,0.024522,-0.077592,7.98,-6.7025,-4.0425
23,3977549,1.003694,0.004026,-0.013664,9.695,-28.175,-3.22
24,3977647,1.001986,0.030622,-0.082838,9.0825,-6.3875,-2.1
25,3977744,1.008696,0.036112,-0.098332,7.875,-3.85,-2.7475
26,3977841,1.001376,0.030988,-0.06039,5.5825,-14.0525,-3.7275
27,3977938,1.00223,0.026108,-0.055266,4.76,-11.4975,-4.41
28,3978036,1.010038,0.02318,-0.079178,4.55,-4.4625,-4.445
29,3978133,1.006134,0.022204,-0.07551801,5.145,-5.18,-4.1475
30,3978230,1.002596,0.023546,-0.068564,5.2325,-6.755,-4.2175
31,3978327,1.001742,0.0244,-0.07015,5.005,-5.8275,-4.34
32,3978425,1.001376,0.024888,-0.07259,5.075,-4.97,-4.27
33,3978522,1.00711,0.023546,-0.069662,5.04,-5.1625,-4.3225
34,3978619,1.011014,0.02318,-0.066856,4.9525,-5.3025,-4.4275
35,3978716,1.009672,0.022936,-0.066246,4.935,-5.1275,-4.4625
36,3978814,1.009184,0.020862,-0.06636801,4.8475,-4.97,-4.445
37,3978911,1.010038,0.02013,-0.065148,5.005,-4.865,-4.4975
38,3979008,1.009062,0.019276,-0.06893,5.005,-4.69,-4.4625
39,3979105,1.008696,0.019154,-0.068686,5.04,-4.69,-4.3925
40,3979203,1.007842,0.02257,-0.07027201,5.0225,-4.585,-4.34
41,3979300,1.008574,0.02501,-0.069296,4.8125,-4.5675,-4.3925
42,3979397,1.00772,0.025864,-0.069906,4.7425,-4.3925,-4.3225
43,3979494,1.007476,0.025376,-0.06893,4.9,-4.1475,-4.1125
44,3979592,1.006012,0.02318,-0.069174,5.0575,-4.0075,-4.0425
45,3979689,1.00711,0.02196,-0.07137001,5.2675,-4.06,-4.025
46,3979786,1.01016,0.022204,-0.067832,5.6,-4.13,-4.06
47,3979884,1.011136,0.02074,-0.066734,5.845,-4.06,-4.0425
48,3979981,1.012234,0.02135,-0.066246,5.845,-4.2,-3.92
49,3980078,1.009062,0.027206,-0.067222,5.81,-4.3225,-3.885
50,3980175,1.009184,0.029768,-0.06649,5.8625,-4.4975,-3.6925
51,3980273,1.006256,0.031842,-0.06795401,5.7575,-4.2,-3.745
52,3980370,1.00345,0.030744,-0.06636801,5.8275,-3.9725,-3.6225
53,3980467,1.007842,0.031476,-0.064904,6.37,-4.095,-3.36
54,3980564,1.009672,0.02806,-0.064538,6.8775,-4.3925,-3.1675
55,3980662,1.012844,0.02989,-0.061732,7.2275,-4.4625,-2.975
56,3980759,1.013088,0.028304,-0.060024,7.7525,-4.3225,-2.9225
57,3980856,1.01626,0.027206,-0.05917,8.12,-4.4625,-3.1675
58,3980954,1.016504,0.026596,-0.06124401,8.4875,-4.4975,-3.43
59,3981051,1.015772,0.028792,-0.057584,8.3475,-4.235,-3.745
60,3981148,1.013698,0.027816,-0.05673,8.26,-3.99,-3.955
61,3981245,1.011624,0.026352,-0.057462,8.2425,-3.955,-3.99
62,3981343,1.010648,0.027328,-0.056852,8.05,-3.99,-4.0775
63,3981440,1.009428,0.025986,-0.056974,7.945,-4.06,-4.13
64,3981537,1.0126,0.02379,-0.053924,8.05,-4.1475,-4.165
65,3981634,1.014186,0.019886,-0.053924,7.945,-4.3225,-4.095
66,3981732,1.014186,0.0183,-0.053192,7.84,-4.48,-4.235
67,3981829,1.015528,0.016958,-0.052338,7.6825,-4.4275,-4.3575
68,3981926,1.017236,0.01586,-0.052582,7.525,-4.445,-4.5325
69,3982023,1.017602,0.015006,-0.053314,7.175,-4.3225,-4.69
70,3982121,1.017114,0.015738,-0.053314,6.6675,-4.2175,-4.8475
71,3982218,1.016504,0.016836,-0.053192,6.4575,-4.0075,-4.795
72,3982315,1.013088,0.015982,-0.05673,6.1075,-3.9375,-4.7425
73,3982413,1.009672,0.01586,-0.060268,5.9675,-3.99,-4.62
74,3982510,1.009794,0.013908,-0.061366,5.5825,-3.7275,-4.305
75,3982607,1.008574,0.014884,-0.06075601,5.215,-3.78,-4.1475
76,3982704,1.009794,0.016348,-0.062098,5.0925,-4.095,-4.0775
77,3982802,1.01016,0.017934,-0.05941401,4.865,-4.165,-4.025
78,3982899,1.008086,0.021594,-0.060268,4.445,-4.1475,-4.025
79,3982996,1.008452,0.024888,-0.062098,4.3225,-4.06,-4.13
80,3983094,1.007842,0.027572,-0.060878,4.4975,-4.06,-4.2875
81,3983191,1.009794,0.029158,-0.059048,4.7075,-4.165,-4.13
82,3983288,1.012112,0.027206,-0.059536,4.76,-4.375,-3.9025
83,3983385,1.010282,0.025376,-0.057584,4.6725,-4.55,-3.92
84,3983483,1.011624,0.02623,-0.057096,4.6725,-4.7775,-3.955
85,3983580,1.015406,0.026596,-0.055266,4.655,-4.8475,-4.0075
86,3983677,1.014796,0.027206,-0.054656,4.5325,-4.69,-3.9025
87,3983774,1.015284,0.02928,-0.057096,4.55,-4.8475,-3.9025
88,3983872,1.01687,0.02989,-0.055388,4.7425,-4.97,-3.99
89,3983969,1.01748,0.0305,-0.05636401,4.9,-4.97,-4.095
90,3984066,1.017968,0.030744,-0.05429,4.9,-5.075,-4.0075
91,3984163,1.021018,0.027816,-0.052948,4.9525,-5.1975,-4.06
92,3984261,1.02175,0.029402,-0.05124001,4.97,-5.5125,-4.13
93,3984358,1.019432,0.027328,-0.051362,5.1275,-5.8275,-4.2175
94,3984455,1.021506,0.027816,-0.054046,5.1275,-6.09,-4.2175
95,3984552,1.022238,0.027572,-0.05648601,5.3725,-6.44,-4.3575
96,3984650,1.024312,0.025864,-0.05551,5.32,-6.8075,-4.3925
97,3984747,1.023946,0.025498,-0.0549,5.005,-7.105,-4.6025
98,3984844,1.023336,0.027328,-0.055144,4.9525,-7.4025,-4.69
99,3984941,1.023702,0.027694,-0.056242,4.7775,-7.8575,-4.865
100,3985039,1.024434,0.02562,-0.060146,4.7775,-8.295,-5.1625
101,3985136,1.028582,0.0244,-0.058804,4.655,-8.365,-5.285
102,3985233,1.026874,0.024522,-0.059048,4.62,-8.4,-5.3725
103,3985331,1.021994,0.024644,-0.064172,4.4625,-8.4,-5.495
104,3985428,1.017114,0.028426,-0.066978,4.34,-8.54,-5.7925
105,3985525,1.017358,0.026108,-0.064904,4.3575,-8.785,-5.985
106,3985622,1.016992,0.025498,-0.064416,4.095,-9.1175,-6.0725
107,3985720,1.014796,0.02379,-0.066978,4.1475,-9.38,-6.125
108,3985817,1.00894,0.024644,-0.065758,4.27,-9.695,-6.09
109,3985914,1.003938,0.026474,-0.06636801,4.34,-9.7825,-5.775
110,3986011,1.001376,0.027938,-0.066856,4.4975,-9.7825,-5.4075
111,3986109,0.998814,0.029768,-0.06954,4.83,-9.835,-5.18
