,T,ax,ay,az,gx,gy,gz
0,1444872,0.512644,-0.081496,-0.676368,17.3425,-16.3975,-18.095
1,1445026,0.54656,-0.070516,-0.7476161,57.1375,-83.4925,-47.9675
2,1445124,0.597068,-0.063684,-0.79422,77.0875,-111.7025,-46.8825
3,1445222,0.6039,-0.07612801,-0.790072,47.775,-106.855,-30.94
4,1445320,0.6034121,-0.0732,-0.796172,1.54,-5.04,-4.13
5,1445417,0.601704,-0.080276,-0.798856,-0.7175,-3.5875,-3.535
6,1445515,0.593896,-0.069784,-0.8020281,-1.1375,-4.1125,-2.7825
7,1445613,0.598044,-0.06636801,-0.805688,-0.315,-4.3575,-3.5525
8,1445711,0.5987761,-0.0671,-0.8081281,1.015,-4.935,-3.78
9,1445808,0.5978,-0.066856,-0.811056,2.59,-6.0725,-3.85
10,1445906,0.597312,-0.066124,-0.8142281,4.76,-7.105,-3.6575
11,1446004,0.5987761,-0.062952,-0.81618,7.1575,-7.5775,-3.325
12,1446101,0.596092,-0.067832,-0.81252,9.695,-8.0675,-3.0975
13,1446199,0.576816,-0.066856,-0.8466801,10.815,-9.7825,-2.9575
14,1446297,0.585356,-0.074664,-0.808372,11.3925,-10.3775,-2.765
15,1446395,0.58804,-0.08564401,-0.7978801,9.905,-8.5225,-2.59
16,1446492,0.589016,-0.08442401,-0.791536,8.295,-8.6275,-2.8175
17,1446590,0.594872,-0.08881599,-0.773236,6.475,-8.155,-3.0625
18,1446688,0.58682,-0.083204,-0.772504,3.85,-8.1025,-3.5525
19,1446786,0.5987761,-0.082472,-0.764452,1.12,-7.91,-4.06
20,1446883,0.5846241,-0.03172,-0.8357,0.14,-9.0125,-4.375
21,1446981,0.589016,-0.09052401,-0.7937321,5.5125,-6.825,-3.4475
22,1447079,0.579256,-0.076616,-0.7937321,2.4675,-5.04,-3.3775
23,1447176,0.568276,-0.086132,-0.800564,2.205,-4.165,-3.5525
24,1447274,0.571448,-0.07612801,-0.801784,2.03,-3.5875,-3.7625
25,1447372,0.585356,-0.084912,-0.801296,2.0825,-3.01,-3.9725
26,1447470,0.586576,-0.079056,-0.7986121,2.17,-3.08,-3.99
27,1447567,0.589016,-0.07856801,-0.8003201,2.275,-3.0625,-3.99
28,1447665,0.585356,-0.082472,-0.7986121,2.275,-2.9575,-3.99
29,1447763,0.590968,-0.0793,-0.802272,2.3975,-2.6775,-4.1125
30,1447860,0.587796,-0.07808001,-0.801052,2.3975,-2.695,-3.9725
31,1447958,0.58682,-0.077348,-0.798856,2.205,-2.8175,-3.9725
32,1448056,0.586576,-0.07808001,-0.7986121,2.2225,-2.8,-3.78
33,1448154,0.584136,-0.07978801,-0.801296,2.59,-2.6075,-3.745
34,1448251,0.587064,-0.079056,-0.8003201,2.5375,-2.6425,-3.745
35,1448349,0.59048,-0.082228,-0.799344,2.24,-2.975,-3.7625
36,1448447,0.588772,-0.07832401,-0.7978801,2.0825,-3.08,-3.745
37,1448544,0.59048,-0.07808001,-0.7986121,1.96,-3.255,-3.745
38,1448642,0.589748,-0.07808001,-0.798124,1.9775,-3.325,-3.7625
39,1448740,0.589748,-0.08003201,-0.796416,2.0125,-3.325,-3.6925
40,1448838,0.588284,-0.07978801,-0.7986121,1.96,-3.43,-3.6575
41,1448935,0.588772,-0.080764,-0.798856,1.9425,-3.605,-3.605
