,T,ax,ay,az,gx,gy,gz
0,185300,0.6729521,0.070516,-0.5655921,9.4325,-8.9075,-10.57
1,185445,0.69662,0.0732,-0.6224441,69.265,-129.605,-118.7375
2,185543,0.734684,0.071248,-0.6605081,4.725,-166.8975,-167.3175
3,185641,0.7381001,0.07198,-0.663924,30.2575,-108.955,-47.1625
4,185738,0.737856,0.06954,-0.660996,2.1525,-7.2275,-4.165
5,185836,0.7373681,0.07076001,-0.661972,1.015,-3.4125,-2.6075
6,185934,0.735904,0.06954,-0.664168,1.1025,-3.4475,-2.6425
7,186031,0.7332201,0.070028,-0.66368,1.015,-3.36,-2.59
8,186129,0.735172,0.071492,-0.663924,0.91,-3.3075,-2.695
9,186227,0.731756,0.071248,-0.666608,0.8225,-3.255,-2.695
10,186325,0.7327321,0.071248,-0.664168,0.8225,-3.325,-2.8175
11,186422,0.735172,0.072956,-0.6612401,0.8925,-3.2375,-2.8175
12,186520,0.733952,0.070028,-0.6646561,1.015,-3.22,-2.73
13,186618,0.735416,0.06832001,-0.665144,1.1025,-3.2025,-2.7475
14,186715,0.737124,0.07442,-0.663436,1.085,-3.15,-2.8525
15,186813,0.735904,0.07076001,-0.664168,1.26,-3.1675,-2.765
16,186911,0.7427361,0.071492,-0.665876,1.12,-3.115,-2.7825
17,187009,0.74054,0.072468,-0.661728,0.56,-3.3075,-2.7125
18,187106,0.737612,0.068564,-0.660996,0.28,-3.395,-2.59
19,187204,0.738344,0.07222401,-0.66246,0.2975,-3.3775,-2.5025
20,187302,0.734928,0.071004,-0.662948,0.385,-3.3425,-2.5025
21,187399,0.736392,0.06954,-0.662948,0.6475,-3.3425,-2.415
22,187497,0.738588,0.071492,-0.6605081,0.8225,-3.325,-2.415
23,187595,0.738344,0.0732,-0.664412,0.6825,-3.3425,-2.5725
24,187693,0.735172,0.069784,-0.665144,0.91,-3.36,-2.485
25,187790,0.733708,0.065148,-0.663924,0.9975,-3.3775,-2.6075
26,187888,0.737612,0.068076,-0.660996,0.6475,-3.0275,-2.87
27,187986,0.737124,0.071004,-0.667096,0.7175,-3.115,-2.9225
28,188083,0.731512,0.07198,-0.667584,0.91,-2.9925,-2.835
29,188181,0.731756,0.072468,-0.669292,1.015,-2.87,-2.8525
30,188279,0.7373681,0.07198,-0.66368,1.155,-2.52,-2.6775
31,188376,0.7366361,0.076372,-0.6646561,1.1375,-2.3975,-2.5725
32,188474,0.740052,0.06466001,-0.661972,1.6275,-2.5725,-2.415
33,188572,0.742492,0.0732,-0.662948,1.155,-2.2925,-2.695
34,188670,0.73932,0.072468,-0.662948,0.9625,-2.2225,-2.73
35,188767,0.740052,0.072712,-0.66368,0.91,-2.135,-2.66
36,188865,0.739808,0.065148,-0.661484,1.0325,-1.96,-2.7125
37,188963,0.737612,0.06954,-0.665876,1.05,-1.8725,-2.905
38,189060,0.736392,0.06588,-0.664412,0.945,-1.54,-3.08
39,189158,0.73932,0.072468,-0.667584,0.8575,-1.19,-3.3075
40,189256,0.73566,0.06880801,-0.665632,1.0675,-0.8225,-3.3075
41,189353,0.739564,0.070028,-0.670512,0.665,-0.105,-3.36
42,189451,0.735172,0.07222401,-0.677344,0.63,0.4375,-3.325
43,189549,0.7237041,0.08466801,-0.696132,-0.0875,1.3825,-3.1675
44,189647,0.746152,0.06954,-0.67832,-0.595,2.6075,-3.15
45,189744,0.712236,0.078812,-0.6939361,-0.9275,3.8675,-2.3975
46,189842,0.715164,0.026352,-0.689056,-2.24,7.2625,-2.4675
47,189940,0.7137001,0.044652,-0.682712,-6.44,11.83,-4.27
48,190037,0.731512,0.050264,-0.681248,-11.3225,15.6625,-6.1775
49,190135,0.709796,0.125416,-0.712236,-12.95,19.215,-7.2625
50,190233,0.7324881,0.072468,-0.70516,-8.8025,24.01,-7.3325
51,190331,0.693692,0.058804,-0.728828,-10.3075,29.925,-7.245
52,190428,0.73932,0.094672,-0.732244,-15.1025,38.0275,-7.455
53,190526,0.738588,0.08857201,-0.729804,-14.455,45.15,-6.8425
54,190624,0.754448,0.102968,-0.72224,-14.175,52.185,-6.125
55,190721,0.76616,0.122732,-0.725412,-14.8575,58.5725,-5.18
56,190819,0.792268,0.072712,-0.67222,-15.9775,64.4525,-3.5175
57,190917,0.7890961,0.167872,-0.724436,-23.9925,69.6325,-0.0875
58,191015,0.854244,0.090768,-0.6919841,-26.355,72.9225,5.5125
59,191112,0.830576,0.056608,-0.68076,-33.9325,71.68,9.6775
60,191210,0.769088,0.111508,-0.769576,-47.6175,69.2825,13.405
61,191308,0.668316,0.233264,-1.002108,-60.62,64.5575,17.2725
62,191405,0.830332,0.294264,-1.08946,-56.7175,50.5225,25.4975
63,191503,0.768356,0.314516,-1.198772,-48.1425,30.6075,29.75
64,191601,0.415044,0.209596,-1.028704,-34.125,-1.9425,35.07
65,191698,0.366732,0.196908,-0.959164,-34.8775,-10.6925,36.68
66,191796,0.456036,0.252784,-1.000156,-39.025,-14.8925,35.2275
67,191894,0.421632,0.261812,-0.9952761,-36.9075,-25.69,33.145
68,191992,0.360876,0.226432,-0.942816,-32.1825,-36.3125,29.5225
69,192089,0.350628,0.22326,-0.914268,-30.205,-43.2075,24.2375
70,192187,0.372344,0.239852,-0.908656,-28.385,-47.9325,18.41
71,192285,0.397964,0.233996,-0.90768,-23.5725,-52.4825,12.95
72,192382,0.443104,0.212524,-0.897188,-17.7975,-57.085,7.595
73,192480,0.47092,0.194224,-0.877424,-13.755,-62.055,2.3625
74,192578,0.489952,0.176412,-0.850096,-11.2175,-66.85,-2.695
75,192676,0.527528,0.170068,-0.836676,-9.765,-70.63,-7.665
76,192773,0.56852,0.15982,-0.820084,-8.505,-74.3575,-12.67
77,192871,0.601216,0.145668,-0.797636,-7.6125,-77.77,-17.5875
78,192969,0.624152,0.133224,-0.76982,-7.315,-80.2725,-21.9975
79,193066,0.695644,0.118584,-0.757864,-6.93,-81.11251,-24.9725
80,193164,0.76006,0.10248,-0.7503,-5.81,-82.46,-25.795
81,193262,0.776408,0.071004,-0.71248,-3.5,-84.875,-23.975
82,193360,0.762012,0.05612,-0.66734,-2.3275,-85.505,-20.37
83,193457,0.754204,0.061488,-0.6158561,-1.9075,-82.705,-15.12
84,193555,0.757864,0.09028,-0.5648601,-0.7525,-75.8625,-9.0475
85,193653,0.7761641,0.119316,-0.515084,3.255,-65.9925,-1.61
86,193750,0.8322841,0.129808,-0.492636,10.29,-53.9525,6.5625
87,193848,1.008452,0.096868,-0.469944,16.3625,-42.0175,12.495
88,193946,1.12362,0.09638,-0.437736,17.85,-37.1875,11.62
89,194044,1.1163,0.122488,-0.38186,16.975,-39.1825,5.04
90,194141,1.144604,0.144936,-0.320128,16.38,-39.375,-2.8875
91,194239,1.193404,0.15494,-0.256932,16.275,-38.2375,-11.585
92,194337,1.148752,0.164212,-0.195688,18.0075,-39.1125,-20.3175
93,194434,1.079944,0.165188,-0.133712,21.49,-36.715,-26.3375
94,194532,1.061644,0.1403,-0.091012,26.4425,-28.2975,-27.6325
95,194630,1.145336,0.091744,-0.09247601,29.5925,-17.6575,-26.775
96,194728,1.203896,0.071004,-0.109312,27.5625,-12.1275,-27.8425
97,194825,1.141432,0.062952,-0.091988,21.315,-13.51,-32.0075
98,194923,1.030168,0.09247601,-0.07027201,13.125,-13.3175,-36.2425
99,195021,0.949892,0.07198,-0.046116,8.015,-7.245,-36.365
100,195118,0.9501361,0.074664,-0.057828,3.2375,3.78,-34.195
101,195216,0.949404,0.077836,-0.08784,-1.75,14.8925,-30.73
102,195314,0.816668,1.034072,-0.497516,6.23,29.4875,-22.5575
103,195412,0.665876,0.012688,-0.46482,101.64,50.0325,8.4525
104,195509,0.34648,-0.209352,-0.816668,111.545,57.5575,5.5825
105,195607,0.299632,-0.08881599,-1.463024,76.86,62.79,-29.225
106,195705,0.660996,-0.48312,-1.19804,72.1,63.175,-47.355
107,195802,0.558028,-0.897432,-0.6463561,62.895,53.7075,-34.02
108,195900,1.161196,-0.9784401,-0.564372,30.38,66.99,-0.98
109,195998,1.3542,-0.241072,-0.7283401,-3.57,62.0375,24.7625
110,196095,0.633668,0.509716,-0.637816,-13.8775,34.8425,24.71
111,196193,1.0675,0.306464,-0.99918,1.8725,39.4275,20.44
112,196291,1.052128,-0.227408,-0.773236,11.305,24.185,16.8875
113,196389,0.639524,-0.134444,-0.6985721,12.88,-1.05,27.44
114,196486,1.106784,0.348188,-0.663436,-3.2375,10.1675,16.3975
115,196584,0.705892,0.033916,-0.640744,17.885,-10.7625,16.1
116,196682,0.775676,-0.056852,-0.645868,14.735,-4.305,15.3125
117,196779,0.777384,-0.005368,-0.64904,10.605,-7.8225,12.11
118,196877,0.800808,0.1342,-0.648796,5.915,-6.3175,8.6975
119,196975,0.7978801,0.0976,-0.6470881,5.81,-9.6775,8.6975
120,197073,0.787632,0.064172,-0.63928,5.6175,-10.7625,9.135
121,197170,0.743224,0.051484,-0.664412,4.655,-11.9875,8.96
122,197268,0.714432,-0.000732,-0.667096,4.6725,-12.285,9.2225
123,197366,0.71004,-0.010736,-0.677832,4.2175,-11.6375,8.75
124,197463,0.7171161,0.000488,-0.663436,3.43,-10.885,7.8225
125,197561,0.725656,-0.004392,-0.669048,2.1875,-10.1675,7.315
126,197659,0.7198,0.006832001,-0.676856,2.2575,-9.485,6.335
127,197756,0.733952,0.024644,-0.681004,0.91,-8.54,5.3375
128,197854,0.7224841,0.023912,-0.672464,1.925,-8.7325,4.4625
129,197952,0.730536,0.023912,-0.678808,2.485,-8.785,3.6925
130,198050,0.731024,0.030988,-0.6753921,1.8375,-8.505,2.9575
131,198147,0.717848,0.012444,-0.6753921,1.4525,-8.435,2.8175
132,198245,0.72468,0.008296001,-0.676124,1.75,-8.1725,2.5025
133,198343,0.724192,0.00122,-0.692228,1.4525,-7.5075,1.89
134,198440,0.719312,-0.00122,-0.6897881,1.505,-6.5625,1.0325
135,198538,0.711748,-0.005368,-0.69418,1.47,-5.46,0.14
136,198636,0.722972,0.001708,-0.6795401,1.1375,-4.4625,-0.5075
137,198734,0.725656,0.009516001,-0.684908,-0.07,-3.6575,-1.085
138,198831,0.721996,0.009028001,-0.6844201,0.35,-3.0975,-1.82
139,198929,0.727608,0.013176,-0.678564,0.1575,-2.5375,-2.485
140,199027,0.72956,0.015128,-0.6795401,-0.14,-2.1875,-2.9225
141,199124,0.732244,0.019276,-0.677344,-0.35,-1.995,-3.395
142,199222,0.730048,0.018056,-0.67344,-0.455,-1.8725,-3.43
143,199320,0.731268,0.026596,-0.6790521,-0.77,-1.855,-3.4475
144,199417,0.739564,0.029768,-0.67466,-0.9275,-1.89,-3.1675
145,199515,0.7366361,0.030256,-0.680028,-0.4025,-2.24,-2.975
146,199613,0.735416,0.022448,-0.670024,0.4025,-2.73,-2.695
147,199711,0.7324881,0.010248,-0.6695361,0.9975,-3.01,-2.5725
148,199808,0.734928,0.013908,-0.6688041,0.7525,-2.9925,-3.0275
149,199906,0.7283401,0.017324,-0.673196,0.1575,-2.905,-3.4825
150,200004,0.73078,0.018788,-0.671732,0.21,-2.835,-3.5875
151,200101,0.7320001,0.02318,-0.670512,0.5075,-3.0275,-3.5175
152,200199,0.729072,0.019032,-0.673928,0.8400001,-3.3775,-3.29
153,200297,0.72468,0.010248,-0.681004,0.9975,-3.3775,-3.2375
154,200394,0.7283401,0.017568,-0.680516,0.3675,-2.7475,-3.64
155,200492,0.72468,0.010492,-0.683444,0.0175,-2.135,-4.095
156,200590,0.723948,0.005856,-0.6795401,-0.63,-1.4175,-4.865
157,200688,0.72468,0.005368,-0.677832,-1.3825,-0.5075,-5.775
158,200785,0.7232161,0.000732,-0.6802721,-2.1,0.385,-6.755
159,200883,0.724192,0.008784,-0.681492,-2.9925,1.3475,-7.7525
160,200981,0.725656,0.010492,-0.677344,-3.9025,2.345,-8.7675
161,201078,0.728828,0.011712,-0.673684,-4.585,3.29,-9.5725
162,201176,0.729316,0.011224,-0.67222,-5.18,3.8675,-10.3425
163,201274,0.7373681,0.025376,-0.670512,-5.6875,4.375,-11.2175
164,201372,0.737612,0.022204,-0.666852,-5.355,4.27,-11.7425
165,201469,0.74054,0.024888,-0.665876,-5.3375,4.06,-12.32
166,201567,0.739564,0.038552,-0.670268,-5.46,4.2875,-12.88
167,201665,0.740296,0.043676,-0.66978,-5.4425,4.375,-13.02
168,201762,0.7476161,0.053192,-0.6653881,-5.1275,4.2525,-12.8275
169,201860,0.7468841,0.047336,-0.66368,-4.62,3.9375,-12.4775
170,201958,0.743712,0.0366,-0.6646561,-4.34,3.7975,-12.3725
171,202055,0.741272,0.048556,-0.66246,-4.9525,3.8325,-12.9675
172,202153,0.752984,0.0366,-0.6563601,-5.4075,4.025,-13.65
173,202251,0.748592,0.050752,-0.66368,-6.51,3.9375,-14.385
174,202349,0.750788,0.047092,-0.663924,-6.72,3.885,-15.0675
175,202446,0.75884,0.05368,-0.6646561,-6.965,4.5675,-16.485
176,202544,0.75884,0.049288,-0.6588,-7.6825,4.9525,-18.06
177,202642,0.766892,0.039772,-0.681492,-9.835,5.95,-20.055
178,202739,0.8471681,0.01708,-0.62342,-15.8725,9.4325,-24.8675
179,202837,0.8852321,0.136152,-0.556808,-24.6925,11.445,-31.0975
180,202935,0.943548,0.148108,-0.56852,-22.75,5.46,-33.0225
181,203033,0.8579041,0.135176,-0.5607121,-16.415,-2.59,-34.86
182,203130,0.9284201,0.221308,-0.523624,-10.15,-5.32,-39.3225
183,203228,1.22854,0.6224441,-0.230092,-0.0525,-2.625,-53.795
184,203326,1.44448,0.316224,0.08100801,40.775,-3.5525,-77.525
185,203423,1.453752,0.009028001,0.16104,44.24,-3.885,-95.8825
186,203521,1.238788,0.121756,0.120292,17.7975,-1.4,-98.2975
187,203619,1.364936,-0.010004,0.09272,12.3725,16.905,-84.10501
188,203717,1.4091,-0.0366,-0.043188,20.79,29.2775,-63.4375
189,203814,1.316868,-0.247904,-0.126148,36.435,35.5425,-37.6775
190,203912,1.183156,-0.516304,-0.10004,46.3575,36.9775,-9.5025
191,204010,1.122888,-0.447008,-0.192272,22.925,43.0675,12.46
192,204107,1.043832,-0.285236,-0.298412,-0.1575,46.4975,34.4575
193,204205,0.899384,-0.24888,-0.314516,-5.2325,47.3725,54.8625
194,204303,0.622932,-0.279136,-0.259372,-7.35,50.26,67.6025
195,204400,0.425536,-0.183732,-0.310612,-17.9025,60.97,72.835
196,204498,0.321592,-0.006344,-0.42944,-29.575,75.425,70.4025
197,204596,0.921344,-0.042212,-1.606496,-30.5375,82.6,59.43
198,204693,-0.8791321,0.993812,-1.765096,-59.85,27.2125,14.49
199,204791,0.098332,1.021872,-2.450736,-37.6775,-29.47,-6.7025
200,204889,-1.431304,0.927688,-2.817468,0.175,-57.3125,-30.275
201,204987,0.206668,-0.381128,-1.472296,45.815,-89.39,-40.4775
202,205084,1.409832,0.623908,-0.374052,-10.7975,-91.2275,-20.51
203,205182,0.8967,0.591212,-0.334036,-12.985,-94.6225,-12.355
204,205280,0.6646561,0.376492,-0.966728,27.5625,-88.8475,4.62
205,205377,0.465796,0.167384,-0.9376921,33.88,-81.305,27.1775
206,205475,0.765672,0.08466801,-0.733708,37.0825,-60.095,36.1025
207,205573,0.567788,-0.111996,-0.773968,31.745,-45.5175,31.9025
208,205671,0.729072,-0.0976,-0.74786,21.7175,-27.23,19.46
209,205768,0.762988,-0.091012,-0.657092,11.06,-19.9325,11.27
210,205866,0.7237041,-0.040748,-0.686616,5.7575,-15.12,3.675
211,205964,0.7266321,-0.027084,-0.687104,1.785,-10.92,-2.555
212,206061,0.732976,0.02684,-0.679784,-1.365,-7.5775,-7.0175
213,206159,0.734684,0.07490801,-0.6790521,-2.625,-5.7575,-9.135
214,206257,0.7327321,0.0793,-0.6749041,-2.3975,-5.005,-8.995
215,206354,0.7473721,0.096868,-0.659044,-2.0475,-4.4975,-8.2425
216,206452,0.745664,0.094672,-0.652456,-1.2775,-4.8825,-7.175
217,206550,0.7427361,0.0854,-0.650748,-0.4725,-5.5125,-5.985
218,206648,0.7622561,0.09247601,-0.656116,-0.14,-6.16,-4.9175
219,206745,0.757376,0.09442801,-0.6456241,-0.3675,-7.1575,-3.955
220,206843,0.7373681,0.082228,-0.655628,-0.1575,-8.1725,-3.15
221,206941,0.735416,0.088328,-0.66246,0.21,-8.505,-2.3275
222,207038,0.726388,0.075884,-0.673196,1.1725,-8.5925,-1.435
223,207136,0.726388,0.07027201,-0.67344,1.645,-8.1725,-0.98
224,207234,0.725656,0.05929201,-0.6695361,1.89,-7.7,-0.8575
225,207332,0.720776,0.054656,-0.6695361,1.89,-6.895,-1.3475
226,207429,0.721508,0.054412,-0.6707561,1.6975,-6.16,-1.9425
227,207527,0.7283401,0.053436,-0.665876,1.47,-5.53,-2.345
228,207625,0.723948,0.055632,-0.665632,1.4875,-5.11,-2.73
229,207722,0.725656,0.057584,-0.670268,1.365,-4.76,-3.115
230,207820,0.7278521,0.06075601,-0.670512,1.365,-4.41,-3.2375
231,207918,0.72712,0.063196,-0.66978,1.505,-4.165,-3.3775
232,208015,0.7366361,0.06636801,-0.663192,1.645,-3.7275,-3.3775
233,208113,0.730048,0.064904,-0.665144,1.47,-3.535,-3.465
234,208211,0.729316,0.06539201,-0.664412,1.4875,-3.2725,-3.5525
235,208309,0.732244,0.065148,-0.664412,1.61,-2.94,-3.71
236,208406,0.7283401,0.062464,-0.665632,1.785,-2.765,-3.8325
237,208504,0.730292,0.065148,-0.667096,1.8375,-2.485,-4.0075
238,208602,0.72956,0.066124,-0.666608,1.855,-2.2575,-4.1825
239,208699,0.729316,0.06222,-0.666852,2.0475,-2.0475,-4.34
240,208797,0.731024,0.060268,-0.667584,2.065,-1.89,-4.585
241,208895,0.734196,0.06124401,-0.665144,1.8725,-1.82,-4.655
242,208992,0.737612,0.06466001,-0.663924,1.645,-1.96,-4.7775
243,209090,0.735416,0.06661201,-0.662704,1.5925,-2.1175,-4.76
244,209188,0.734196,0.06588,-0.663924,1.645,-2.275,-4.8825
245,209286,0.735904,0.069052,-0.6653881,1.9075,-2.415,-4.8825
246,209383,0.730292,0.071492,-0.6649,1.89,-2.555,-4.795
247,209481,0.732976,0.071004,-0.6695361,1.785,-2.7475,-4.4625
248,209579,0.73688,0.07222401,-0.663924,1.435,-2.765,-4.2
249,209676,0.7373681,0.071004,-0.662948,0.98,-3.0625,-3.9375
250,209774,0.743224,0.066124,-0.659044,0.9975,-3.3775,-3.6225
251,209872,0.740296,0.07076001,-0.6588,0.9275,-3.465,-3.6225
252,209970,0.7366361,0.06832001,-0.66246,0.91,-3.675,-3.5875
253,210067,0.736392,0.068564,-0.6600201,0.9275,-3.675,-3.4125
254,210165,0.738344,0.065148,-0.66246,0.9625,-3.745,-3.325
255,210263,0.73688,0.06661201,-0.659288,0.56,-3.9025,-3.3425
256,210360,0.731756,0.064904,-0.660264,0.4375,-4.1475,-3.255
257,210458,0.734928,0.07027201,-0.661484,0.2975,-4.165,-3.395
258,210556,0.731268,0.0671,-0.665144,0.42,-4.095,-3.395
259,210653,0.7285841,0.070516,-0.669048,0.525,-4.0075,-3.2375
260,210751,0.735904,0.07027201,-0.663436,0.7175,-3.955,-2.9925
261,210849,0.74176,0.069296,-0.66246,0.875,-3.9375,-2.9225
262,210947,0.739564,0.069784,-0.660264,0.525,-3.9375,-2.87
263,211044,0.737856,0.06832001,-0.660264,0.14,-4.0425,-2.8525
264,211142,0.734684,0.071492,-0.6612401,0.28,-4.13,-2.7825
265,211240,0.733464,0.065148,-0.66246,0.3675,-4.13,-2.765
266,211337,0.733464,0.067832,-0.663192,0.42,-4.095,-2.8875
267,211435,0.734684,0.06588,-0.663192,0.56,-4.1475,-2.8875
268,211533,0.732976,0.067832,-0.661972,0.7,-4.025,-2.9225
269,211630,0.7327321,0.068076,-0.6646561,0.7875,-3.9725,-2.8525
270,211728,0.7327321,0.068564,-0.664412,0.98,-3.9025,-2.8
271,211826,0.7361481,0.067344,-0.66246,1.12,-3.8325,-2.6425
272,211924,0.734196,0.06539201,-0.662216,1.085,-3.8325,-2.625
273,212021,0.734684,0.06588,-0.6588,1.085,-3.78,-2.7475
274,212119,0.738344,0.063684,-0.662704,1.1025,-3.8325,-2.7475
275,212217,0.734684,0.06661201,-0.660752,0.9275,-3.85,-2.94
276,212314,0.734196,0.06880801,-0.664412,0.7875,-3.7275,-2.975
277,212412,0.739076,0.07198,-0.663924,0.595,-3.9025,-2.9925
278,212510,0.741272,0.070028,-0.662704,0.595,-4.0075,-2.87
279,212608,0.752496,0.077592,-0.660264,0.0875,-4.235,-2.765
280,212705,0.7381001,0.068564,-0.659776,-0.35,-4.9875,-2.31
281,212803,0.733708,0.0671,-0.662216,-0.3325,-5.4425,-2.1875
282,212901,0.732244,0.06636801,-0.663924,-0.21,-5.6525,-2.17
283,212998,0.730536,0.060268,-0.660996,-0.0175,-5.6,-2.24
284,213096,0.730048,0.064416,-0.66246,0.0875,-5.4775,-2.45
285,213194,0.7283401,0.06636801,-0.6653881,0.1925,-5.145,-2.5725
286,213291,0.724924,0.06344,-0.6646561,0.4025,-5.04,-2.6775
287,213389,0.724924,0.06880801,-0.6661201,0.595,-4.655,-2.765
288,213487,0.725168,0.066856,-0.667584,0.805,-4.3225,-2.6775
289,213585,0.72712,0.06954,-0.66734,0.9975,-4.06,-2.555
290,213682,0.729072,0.067832,-0.663436,1.05,-3.8325,-2.625
291,213780,0.72956,0.06880801,-0.6661201,1.19,-3.7625,-2.555
292,213878,0.729804,0.068564,-0.6653881,1.3125,-3.605,-2.4675
293,213975,0.730292,0.069296,-0.6646561,1.54,-3.5175,-2.415
294,214073,0.726876,0.06832001,-0.668316,1.6975,-3.43,-2.38
295,214171,0.734196,0.067344,-0.663924,1.75,-3.2375,-2.415
296,214268,0.737612,0.06563601,-0.66246,1.715,-3.1675,-2.52
297,214366,0.734196,0.068564,-0.663192,1.575,-3.1675,-2.5375
298,214464,0.731756,0.068076,-0.663924,1.7325,-3.01,-2.625
299,214562,0.732976,0.06636801,-0.6649,1.925,-2.87,-2.625
300,214659,0.734684,0.067344,-0.664168,2.065,-2.8175,-2.5725
301,214757,0.735172,0.06344,-0.66246,2.2575,-2.765,-2.5725
302,214855,0.731756,0.061976,-0.662216,2.31,-2.73,-2.66
303,214952,0.730292,0.063196,-0.665876,2.415,-2.625,-2.7125
304,215050,0.731512,0.062952,-0.665144,2.38,-2.59,-2.8
305,215148,0.735904,0.06222,-0.664412,2.3975,-2.59,-2.94
306,215246,0.738832,0.065148,-0.667096,2.38,-2.6775,-3.0275
307,215343,0.7468841,0.07076001,-0.658312,1.925,-2.8525,-3.0975
308,215441,0.7381001,0.065148,-0.662216,1.365,-3.2025,-2.9925
309,215539,0.734196,0.067344,-0.661728,1.155,-3.3425,-2.9575
310,215636,0.733952,0.061732,-0.661972,1.085,-3.395,-3.01
311,215734,0.737612,0.061488,-0.661484,1.12,-3.535,-2.94
312,215832,0.731756,0.06222,-0.662948,1.1025,-3.5,-2.8525
313,215930,0.732244,0.061976,-0.662704,1.12,-3.36,-2.87
314,216027,0.738588,0.064416,-0.662704,1.085,-3.325,-2.975
315,216125,0.7407841,0.071004,-0.660996,1.015,-3.3425,-2.8875
316,216223,0.735416,0.06880801,-0.663924,0.735,-3.745,-2.6775
317,216320,0.735416,0.06466001,-0.661728,0.6825,-3.9025,-2.6425
318,216418,0.73444,0.06588,-0.659776,0.6825,-3.815,-2.625
319,216516,0.73566,0.063684,-0.662216,0.77,-3.8325,-2.66
320,216614,0.73688,0.063196,-0.660996,0.7,-3.7625,-2.7125
321,216711,0.73444,0.06588,-0.6600201,0.735,-3.92,-2.73
322,216809,0.734928,0.063928,-0.659288,0.8575,-3.885,-2.6075
323,216907,0.73566,0.062464,-0.6653881,0.945,-3.885,-2.6775
324,217004,0.73688,0.0671,-0.660752,0.77,-3.9025,-2.66
325,217102,0.7324881,0.060024,-0.662948,0.735,-3.9725,-2.5375
326,217200,0.734196,0.064904,-0.661728,0.525,-4.06,-2.6075
327,217298,0.731756,0.06124401,-0.66246,0.525,-4.025,-2.6075
328,217395,0.73444,0.063684,-0.660996,0.735,-4.025,-2.6425
