,T,ax,ay,az,gx,gy,gz
0,4356448,0.8513161,0.04453,-0.23119,14.4025,-14.07,-13.09
1,4356588,0.863882,0.053802,-0.284626,84.8925,-114.1875,-142.2925
2,4356685,0.931836,0.061488,-0.311466,108.36,-192.9725,-215.5475
3,4356783,0.942572,0.061488,-0.317078,48.8425,-113.085,-49.6475
4,4356880,0.945744,0.07198,-0.32696,0.7,-7.7,-1.085
5,4356978,0.9464761,0.08357,-0.333304,2.2925,-7.2275,-0.63
6,4357075,0.9501361,0.08564401,-0.332572,4.795,-6.755,-0.07
7,4357173,0.942938,0.081496,-0.325862,7.385,-6.4225,0.56
8,4357270,0.9436701,0.08052,-0.328302,8.0325,-6.0025,1.2425
9,4357368,0.932934,0.071248,-0.32025,7.4025,-5.285,1.6275
10,4357465,0.9208561,0.069174,-0.321226,5.4775,-4.305,1.26
11,4357563,0.917562,0.062342,-0.334158,2.8,-3.1325,0.665
12,4357660,0.9191481,0.057462,-0.3355,-0.07,-1.4525,-0.3325
13,4357758,0.9247601,0.055754,-0.339038,-2.03,0.455,-1.7325
14,4357855,0.920612,0.058682,-0.414312,-0.8400001,-0.0525,-3.5875
15,4357953,0.91439,0.054656,-0.363682,-3.745,3.1325,-5.3375
16,4358051,0.9311041,0.07222401,-0.363194,-10.1675,12.075,-7.385
17,4358148,0.9419621,0.053924,-0.33916,-13.6325,14.9975,-8.61
18,4358246,0.9580661,0.052216,-0.335744,-20.7025,16.6775,-9.03
19,4358343,0.974048,0.066978,-0.328668,-27.685,18.3925,-8.575
20,4358441,0.9751461,0.075884,-0.316712,-32.165,19.3725,-7.3675
21,4358538,0.976366,0.078446,-0.309148,-33.635,18.2525,-6.7725
22,4358636,0.966484,0.102724,-0.274988,-31.4125,13.16,-5.8625
23,4358733,0.949648,0.13298,-0.30561,-22.19,7.385,-2.835
24,4358831,0.895114,0.06075601,-0.155916,-12.8975,2.625,1.8725
25,4358928,0.913292,0.161894,-0.25742,-18.9175,4.13,1.505
26,4359026,0.932324,0.107604,-0.293776,-5.1275,-7.035,0.175
27,4359123,0.931226,0.101504,-0.310856,1.015,-10.7625,-0.0875
28,4359221,0.9270781,0.09882,-0.300364,-0.4725,-7.665,-0.4725
29,4359318,0.931958,0.09442801,-0.29463,0.1575,-5.915,-0.7875
30,4359416,0.938302,0.091012,-0.291458,0.7175,-6.405,-0.945
31,4359513,0.94001,0.08662001,-0.291824,1.05,-7.3675,-1.19
32,4359611,0.941108,0.08662001,-0.292312,1.05,-7.2625,-1.2775
33,4359708,0.9431821,0.08662001,-0.2928,1.0325,-6.4225,-1.2425
34,4359806,0.940864,0.08674201,-0.289384,0.98,-5.705,-1.085
35,4359904,0.9385461,0.08698601,-0.288408,0.8400001,-5.39,-0.8925
36,4360001,0.938424,0.084912,-0.288652,0.6125,-5.075,-0.7
37,4360099,0.9368381,0.08113001,-0.292556,0.2625,-4.8825,-0.455
38,4360196,0.9368381,0.07832401,-0.290116,-0.35,-4.4975,-0.1225
39,4360294,0.939522,0.07307801,-0.289628,-0.8225,-4.2875,0.0875
40,4360391,0.94123,0.07015,-0.288042,-1.3825,-3.85,0.1925
41,4360489,0.941352,0.069662,-0.286334,-2.1175,-2.9225,0.28
42,4360586,0.939278,0.06941801,-0.284504,-2.8875,-2.2925,0.4375
43,4360684,0.9358621,0.069784,-0.28853,-3.5,-1.505,0.7
44,4360781,0.933178,0.070394,-0.287188,-4.1475,-0.525,0.805
45,4360879,0.9307381,0.071736,-0.287432,-4.55,0.3675,1.015
46,4360976,0.928542,0.07551801,-0.288896,-5.11,1.1375,1.1725
47,4361074,0.9269561,0.07978801,-0.288042,-5.6525,1.68,1.3125
48,4361172,0.927932,0.081862,-0.288896,-5.95,1.89,1.3475
49,4361269,0.927932,0.08296,-0.290848,-6.055,2.17,1.26
50,4361367,0.9293961,0.08576601,-0.29036,-5.95,2.485,1.155
51,4361464,0.9298841,0.08674201,-0.28914,-5.9675,2.94,0.9625
52,4361562,0.931348,0.087108,-0.290116,-5.88,2.975,0.91
53,4361659,0.934764,0.08503401,-0.288042,-5.6875,2.8525,0.7525
54,4361757,0.9385461,0.083204,-0.287676,-5.495,2.8175,0.525
55,4361854,0.941596,0.08052,-0.284626,-5.46,2.9575,0.4725
56,4361952,0.942572,0.08003201,-0.283772,-5.6175,2.94,0.385
57,4362049,0.9414741,0.07686,-0.281332,-5.7575,3.0625,0.2975
58,4362147,0.940864,0.07551801,-0.281454,-6.02,3.185,0.0875
59,4362244,0.9394,0.07259,-0.281942,-6.3875,3.01,-0.07
60,4362342,0.9409861,0.071736,-0.282796,-6.825,2.1875,-0.2625
61,4362440,0.94672,0.074542,-0.284626,-7.1925,1.2075,-0.63
62,4362537,0.954284,0.078446,-0.283772,-7.455,0.525,-0.7
63,4362635,0.9600181,0.08308201,-0.282552,-7.3675,0.2275,-0.7175
64,4362732,0.9623361,0.08564401,-0.277306,-7.3675,0.3325,-0.42
65,4362830,0.962092,0.08674201,-0.274622,-7.2275,0.35,-0.0525
66,4362927,0.960628,0.08759601,-0.271206,-7.0,0.315,0.21
67,4363025,0.9558701,0.08808401,-0.270108,-7.0,0.28,0.4025
68,4363122,0.953796,0.091134,-0.271816,-6.9475,-0.105,0.4375
69,4363220,0.95221,0.09943,-0.272182,-6.65,-0.5075,0.4725
70,4363317,0.951356,0.105042,-0.270596,-5.9675,-0.4025,0.525
71,4363415,0.9502581,0.10919,-0.268034,-4.935,-0.1225,0.5775
72,4363512,0.951112,0.10919,-0.263886,-3.6925,-0.0875,0.665
73,4363610,0.949892,0.107238,-0.2623,-2.5025,-0.28,0.6125
74,4363708,0.9487941,0.105896,-0.258518,-1.5225,-0.175,0.3325
75,4363805,0.95282,0.105408,-0.258762,-1.0675,-0.1575,0.035
76,4363903,0.956114,0.105408,-0.258518,-0.595,-0.4375,-0.3325
77,4364000,0.96075,0.107482,-0.260348,-0.105,-0.3675,-0.6125
78,4364098,0.965874,0.107238,-0.258274,0.7175,-0.315,-0.735
79,4364195,0.9679481,0.105896,-0.25803,1.435,-0.4725,-0.91
80,4364293,0.9699,0.103334,-0.254126,2.3275,-0.77,-0.98
81,4364390,0.9684361,0.09784401,-0.25315,2.905,-0.9275,-1.0325
82,4364488,0.9636781,0.09540401,-0.24949,3.185,-1.1025,-1.0675
83,4364585,0.9589201,0.09589201,-0.249612,3.3775,-1.4175,-1.225
84,4364683,0.95648,0.093574,-0.249734,3.4825,-1.8375,-1.3475
85,4364781,0.9552601,0.095648,-0.249856,3.71,-2.1525,-1.645
