,T,ax,ay,az,gx,gy,gz
0,1324,0.518256,-0.064416,-0.6771,19.005,-18.6375,-16.905
1,1474,0.541924,-0.06075601,-0.760304,-6.4925,-29.1375,46.445
2,1572,0.567056,-0.073688,-0.7998321,64.925,-129.115,45.01
3,1670,0.56608,-0.075396,-0.801296,48.8075,-116.27,-15.575
4,1768,0.5673,-0.07686,-0.80276,2.625,-7.875,-4.235
5,1866,0.564372,-0.072712,-0.801784,1.1025,-4.9175,-3.8325
6,1964,0.56608,-0.07442,-0.80154,0.735,-4.9875,-3.92
7,2062,0.566812,-0.07222401,-0.801052,0.385,-5.0225,-3.9375
8,2160,0.568032,-0.070516,-0.8020281,0.4025,-5.145,-3.85
9,2258,0.568276,-0.06954,-0.800564,0.455,-5.2675,-3.815
10,2356,0.567788,-0.069052,-0.803248,0.5425,-5.32,-3.8325
11,2455,0.5673,-0.069784,-0.803736,0.595,-5.3375,-3.7275
12,2553,0.56608,-0.069784,-0.8049561,0.665,-5.39,-3.64
13,2651,0.566568,-0.071004,-0.8052,0.805,-5.4425,-3.7275
14,2749,0.56364,-0.069052,-0.8052,1.0325,-5.355,-3.675
15,2847,0.562908,-0.07076001,-0.806176,1.3125,-5.1625,-3.64
16,2945,0.565104,-0.06954,-0.807152,1.575,-5.0925,-3.815
17,3043,0.565104,-0.071004,-0.8049561,1.7675,-5.32,-3.9025
18,3141,0.562908,-0.07442,-0.811544,1.7675,-5.215,-3.955
19,3239,0.560956,-0.067832,-0.81862,1.2775,-3.99,-3.85
20,3337,0.567056,-0.07490801,-0.807884,0.8925,-2.4675,-3.6225
21,3435,0.5690081,-0.0732,-0.8081281,0.175,-2.31,-3.605
22,3533,0.571448,-0.07564,-0.8025161,-1.12,-3.535,-3.78
23,3631,0.565836,-0.064904,-0.805932,-2.835,-4.3925,-3.64
24,3729,0.563152,-0.058072,-0.80276,-2.9575,-4.935,-3.7625
25,3827,0.537044,0.073688,-0.904508,0.2975,-4.5325,-4.27
26,3925,0.549488,-0.129564,-0.722728,13.6675,-5.635,-6.7375
27,4023,0.56242,-0.07686,-0.7707961,1.5575,-5.215,-3.7625
28,4121,0.562664,-0.0671,-0.801296,1.7675,-5.6175,-3.85
29,4219,0.563396,-0.06588,-0.811544,2.205,-5.6175,-3.64
30,4317,0.564616,-0.0671,-0.805688,2.0825,-5.6875,-3.6225
31,4415,0.563396,-0.070028,-0.803736,2.135,-5.74,-3.5875
32,4514,0.558516,-0.070028,-0.806908,1.9425,-5.8275,-3.5875
33,4612,0.563152,-0.069296,-0.805932,1.995,-5.6,-3.5525
34,4710,0.56364,-0.0732,-0.8052,1.96,-5.425,-3.5875
35,4808,0.563396,-0.07198,-0.805444,1.89,-5.39,-3.745
36,4906,0.561932,-0.071004,-0.803736,1.75,-5.4775,-3.815
37,5004,0.563152,-0.072712,-0.8039801,1.8025,-5.4425,-3.7975
38,5102,0.565104,-0.072468,-0.800808,1.7675,-5.4075,-3.92
39,5200,0.564128,-0.06954,-0.8052,1.645,-5.4775,-3.92
40,5298,0.564128,-0.06954,-0.8044681,1.68,-5.565,-3.955
41,5396,0.564128,-0.069052,-0.804224,1.82,-5.67,-3.92
42,5494,0.563152,-0.0671,-0.8039801,1.9075,-5.88,-3.9025
