,T,ax,ay,az,gx,gy,gz
0,1578170,0.462868,0.1037,-0.687592,16.9925,-17.2725,-17.5875
1,1578321,0.501176,0.133956,-0.7686,60.7425,-21.5775,-55.0375
2,1578419,0.533872,0.117852,-0.811788,159.0575,-137.97,-145.6
3,1578516,0.5314321,0.140544,-0.8554641,54.6175,-126.56,-54.215
4,1578614,0.509716,0.148352,-0.862296,-12.04,-14.7875,-6.7025
5,1578711,0.503372,0.16104,-0.8845,-6.0725,-10.5175,-4.305
6,1578809,0.492636,0.15372,-0.8625401,3.535,-10.08,-3.955
7,1578906,0.498004,0.129808,-0.8508281,7.5425,-7.84,-2.94
8,1579003,0.508496,0.13054,-0.837652,4.4275,-6.405,-2.695
9,1579101,0.515572,0.134444,-0.8418,-0.385,-5.6,-2.73
10,1579198,0.515572,0.139568,-0.8378961,-4.7075,-5.565,-2.695
11,1579296,0.522648,0.1525,-0.8662001,-8.68,-5.6,-2.625
12,1579393,0.52338,0.166164,-0.885476,-8.47,-7.1225,-2.38
13,1579491,0.507276,0.149816,-0.860832,-2.66,-9.31,-1.8375
14,1579588,0.5016641,0.143472,-0.860832,0.105,-10.92,-1.3825
15,1579686,0.479216,0.131272,-0.9093881,-2.3625,-14.1925,-1.12
16,1579783,0.503372,0.133468,-0.855708,-5.4425,-16.87,-1.47
17,1579880,0.5248441,0.148108,-0.864736,-2.8175,-15.61,-3.0975
18,1579978,0.534116,0.152988,-0.879376,-0.455,-23.03,-2.1175
19,1580075,0.51484,0.166408,-0.876204,3.255,-36.085,1.855
20,1580173,0.5023961,0.208376,-0.750056,14.2275,-44.94,4.795
21,1580270,0.403088,0.140056,-0.68808,19.39,-36.47,0.1575
22,1580368,0.507276,0.14274,-0.8420441,8.3125,-6.475,-1.9425
23,1580465,0.47824,0.137616,-0.829356,8.19,-10.15,-2.03
24,1580563,0.482876,0.14518,-0.813984,6.86,-7.665,-2.2575
25,1580660,0.492148,0.1281,-0.8378961,3.8325,-6.895,-2.52
26,1580758,0.488976,0.138592,-0.837652,3.1325,-6.23,-2.5375
27,1580855,0.4819,0.141032,-0.844972,2.765,-5.95,-2.555
28,1580953,0.487756,0.140056,-0.845216,2.59,-5.845,-2.555
29,1581050,0.488244,0.145912,-0.842288,2.52,-5.5825,-2.555
30,1581147,0.486292,0.146644,-0.8425321,2.4675,-5.5125,-2.59
31,1581245,0.488488,0.144936,-0.8427761,2.5025,-5.425,-2.45
32,1581342,0.488488,0.141764,-0.8476561,2.45,-5.4775,-2.3975
