,T,ax,ay,az,gx,gy,gz
0,70338,0.5077641,0.114192,-0.72712,18.0425,-15.505,-17.0275
1,70483,0.509472,0.128344,-0.79666,-57.6625,-57.575,8.995
2,70580,0.536556,0.139324,-0.845704,-107.135,-228.83,-56.7175
3,70678,0.533628,0.144692,-0.8466801,6.23,-124.3375,-27.0375
4,70775,0.538264,0.142252,-0.8383841,-2.485,-6.2125,-2.9225
5,70873,0.53924,0.131516,-0.830088,-0.1575,-2.87,-2.275
6,70970,0.537288,0.128832,-0.831552,0.0875,-2.205,-2.345
7,71067,0.546804,0.122976,-0.83204,-0.77,-1.96,-2.52
8,71165,0.544608,0.124928,-0.8357,-2.45,-2.625,-2.6775
9,71262,0.54412,0.125416,-0.837408,-4.0425,-3.7275,-2.8875
10,71359,0.541436,0.12932,-0.839116,-4.9175,-4.2525,-3.0275
11,71457,0.539972,0.128588,-0.836676,-4.9525,-3.8675,-3.1325
12,71554,0.5368,0.134688,-0.834968,-4.9,-2.975,-3.255
13,71651,0.5404601,0.142496,-0.834968,-4.0775,-1.645,-3.2725
14,71749,0.5397281,0.14274,-0.836188,-2.7475,-0.525,-3.1325
15,71846,0.544852,0.137372,-0.837164,-1.54,0.2275,-3.0625
16,71944,0.544608,0.130784,-0.834724,-1.1375,0.035,-2.975
17,72041,0.541192,0.131272,-0.831308,-1.9425,-0.28,-3.1675
18,72138,0.54168,0.132492,-0.834236,-2.975,-0.1575,-3.29
19,72236,0.543388,0.132492,-0.8388721,-3.8325,-0.2975,-3.3425
20,72333,0.545584,0.1342,-0.8359441,-4.27,-0.2275,-3.4125
21,72430,0.548756,0.134444,-0.8405801,-4.9175,-0.4375,-3.325
22,72528,0.548756,0.145668,-0.84912,-5.2325,-1.19,-3.01
23,72625,0.548756,0.15616,-0.843996,-3.71,-2.3275,-2.3275
24,72722,0.547536,0.16348,-0.844484,0.21,-3.0975,-1.75
25,72820,0.551928,0.147864,-0.849608,5.74,-3.92,-1.4525
26,72917,0.55022,0.140056,-0.8488761,9.45,-5.74,-1.2075
27,73014,0.541924,0.114192,-0.80276,10.71,-7.8575,-1.085
28,73112,0.532408,0.152012,-0.819108,6.3525,-9.555,-1.19
29,73209,0.54656,0.122732,-0.844484,10.675,-10.36,-0.98
30,73306,0.541192,0.13054,-0.846924,11.83,-11.4275,-0.805
31,73404,0.534116,0.129808,-0.8364321,12.5125,-11.935,-0.7525
32,73501,0.528748,0.131516,-0.8322841,14.1575,-10.5525,-0.7875
33,73598,0.530212,0.124684,-0.8364321,16.0475,-8.225,-0.91
34,73696,0.536556,0.116876,-0.8471681,17.15,-6.16,-1.085
35,73793,0.537044,0.11346,-0.839116,17.2375,-6.055,-1.3475
36,73890,0.535824,0.112972,-0.8425321,16.3975,-6.4575,-1.6625
37,73988,0.537532,0.105652,-0.830088,15.6275,-6.0725,-1.9075
38,74085,0.5355801,0.100528,-0.8188641,12.5475,-7.2275,-2.625
39,74183,0.537776,0.10736,-0.8193521,8.1725,-8.26,-3.045
40,74280,0.518988,0.106628,-0.822768,5.6525,-9.24,-3.325
41,74377,0.532164,0.098576,-0.8256961,4.305,-6.3875,-3.605
42,74475,0.507276,0.206912,-0.9530641,-6.335,-6.2125,-2.275
43,74572,0.576572,0.112484,-0.864492,-6.6675,-4.6725,-2.31
44,74669,0.52704,0.106384,-0.8476561,-1.2425,-3.6225,-2.1175
45,74767,0.527528,0.108824,-0.845216,-1.9425,-3.85,-2.3625
46,74864,0.5314321,0.113216,-0.848632,-3.0975,-4.7075,-2.135
47,74961,0.530212,0.108092,-0.843508,-3.955,-5.0925,-2.17
48,75059,0.530456,0.112728,-0.8461921,-3.8675,-5.18,-2.1875
49,75156,0.526308,0.116876,-0.8410681,-3.395,-5.3025,-2.2225
50,75253,0.529236,0.11102,-0.8461921,-1.855,-4.1475,-2.3625
51,75351,0.527528,0.112484,-0.843996,-1.33,-3.5175,-2.4675
52,75448,0.527284,0.11224,-0.844484,-1.0675,-3.395,-2.3975
53,75546,0.527528,0.1098,-0.845948,-0.9975,-3.29,-2.4325
54,75643,0.528748,0.111752,-0.844972,-0.9975,-3.325,-2.415
55,75740,0.527528,0.108824,-0.846436,-0.98,-3.15,-2.4325
56,75838,0.528016,0.111508,-0.846924,-0.9975,-2.9925,-2.485
57,75935,0.52704,0.111264,-0.84546,-1.05,-2.9925,-2.5025
58,76032,0.528016,0.111996,-0.844972,-1.05,-3.01,-2.4675
59,76130,0.526552,0.109312,-0.8461921,-1.0325,-3.01,-2.52
60,76227,0.5267961,0.11224,-0.845216,-0.9275,-2.9575,-2.52
61,76324,0.527772,0.113216,-0.843996,-0.875,-2.975,-2.5025
62,76422,0.5267961,0.110532,-0.84546,-0.875,-2.9925,-2.45
63,76519,0.527772,0.111996,-0.844484,-0.875,-2.8525,-2.415
64,76616,0.527528,0.109312,-0.8447281,-0.8575,-2.765,-2.4325
65,76714,0.5267961,0.11102,-0.84546,-0.7875,-2.835,-2.4675
66,76811,0.528748,0.110044,-0.846436,-0.8225,-2.835,-2.485
67,76908,0.528992,0.112728,-0.845216,-0.7525,-2.8175,-2.38
68,77006,0.52704,0.10858,-0.845948,-0.7875,-2.8175,-2.485
69,77103,0.525576,0.1098,-0.8447281,-0.77,-2.9225,-2.45
70,77201,0.52826,0.110044,-0.8471681,-0.8225,-2.87,-2.45
71,77298,0.525332,0.110532,-0.843996,-0.8400001,-2.87,-2.45
72,77395,0.527528,0.10858,-0.846924,-0.805,-2.8875,-2.5025
73,77493,0.52704,0.111264,-0.845948,-0.77,-2.87,-2.52
74,77590,0.52704,0.111996,-0.84424,-0.8225,-2.835,-2.415
75,77687,0.525576,0.1098,-0.843752,-0.875,-2.87,-2.415
76,77785,0.527528,0.111264,-0.8466801,-0.8400001,-2.8175,-2.45
77,77882,0.526064,0.111508,-0.843752,-0.805,-2.8525,-2.3975
78,77980,0.528016,0.11102,-0.8420441,-0.77,-2.87,-2.415
79,78077,0.5248441,0.109312,-0.843996,-0.7525,-2.8,-2.415
80,78174,0.528016,0.111508,-0.8420441,-0.7525,-2.8,-2.415
81,78272,0.528748,0.11224,-0.844484,-0.7,-2.835,-2.38
82,78369,0.5267961,0.111508,-0.8447281,-0.735,-2.695,-2.415
83,78466,0.52582,0.111508,-0.8425321,-0.7175,-2.835,-2.3975
84,78564,0.5267961,0.110044,-0.84546,-0.735,-2.835,-2.5025
85,78661,0.524112,0.108824,-0.843508,-0.735,-2.835,-2.4325
86,78758,0.527284,0.112972,-0.843752,-0.7175,-2.9575,-2.4325
87,78856,0.527772,0.110776,-0.844484,-0.7,-2.8175,-2.45
88,78953,0.524112,0.1098,-0.843752,-0.7,-2.94,-2.415
89,79050,0.5267961,0.110532,-0.843752,-0.8225,-2.905,-2.45
90,79148,0.528748,0.110044,-0.846924,-0.7875,-2.87,-2.52
91,79245,0.527284,0.110776,-0.846436,-0.805,-2.975,-2.52
92,79343,0.527772,0.111508,-0.843752,-0.805,-2.975,-2.555
93,79440,0.526064,0.111508,-0.84424,-0.8225,-2.9575,-2.4675
94,79537,0.528748,0.11224,-0.84424,-0.8925,-2.975,-2.5375
95,79635,0.527284,0.111508,-0.84424,-0.8925,-2.87,-2.485
96,79732,0.525576,0.107848,-0.845704,-0.8225,-2.905,-2.5025
97,79829,0.526308,0.109312,-0.8466801,-0.8575,-2.975,-2.52
98,79927,0.525332,0.116876,-0.845216,-0.875,-2.8175,-2.6075
99,80024,0.524112,0.110044,-0.843264,-0.8400001,-2.94,-2.52
100,80121,0.526552,0.112484,-0.8430201,-0.77,-2.9575,-2.485
101,80219,0.527772,0.110288,-0.8410681,-0.7,-2.94,-2.3975
102,80316,0.526552,0.11102,-0.845704,-0.8575,-2.8875,-2.3975
103,80413,0.527772,0.11224,-0.8447281,-0.735,-2.9575,-2.415
104,80511,0.524112,0.108824,-0.843264,-0.8400001,-2.905,-2.5025
105,80608,0.526552,0.1098,-0.845216,-0.9625,-2.835,-2.555
106,80705,0.5246,0.110532,-0.843508,-0.98,-2.8175,-2.59
107,80803,0.52704,0.108336,-0.8430201,-1.0325,-2.7825,-2.5375
108,80900,0.525088,0.1159,-0.8447281,-1.0675,-2.765,-2.415
109,80997,0.5246,0.108092,-0.845216,-0.945,-2.66,-2.485
110,81095,0.524112,0.114924,-0.839604,-1.015,-2.6775,-2.555
111,81192,0.52826,0.10736,-0.839604,-0.8400001,-2.6425,-2.4675
112,81290,0.526064,0.106628,-0.840824,-0.945,-2.59,-2.4675
113,81387,0.527772,0.111508,-0.8418,-1.085,-2.695,-2.45
114,81484,0.525088,0.110532,-0.8400921,-0.9975,-2.7125,-2.5025
115,81582,0.52704,0.11102,-0.84546,-1.05,-2.59,-2.6075
116,81679,0.526308,0.1159,-0.8405801,-1.0325,-2.695,-2.66
117,81776,0.525332,0.110044,-0.8447281,-1.015,-2.73,-2.5375
118,81874,0.523868,0.108092,-0.8430201,-0.8925,-2.8175,-2.52
119,81971,0.52704,0.1159,-0.841312,-0.8575,-2.7125,-2.66
120,82068,0.5246,0.112972,-0.844972,-0.8225,-2.765,-2.59
121,82166,0.526552,0.110288,-0.8430201,-0.8400001,-2.7475,-2.52
122,82263,0.525088,0.115168,-0.841312,-0.875,-2.8,-2.6075
123,82360,0.523868,0.108824,-0.844484,-0.77,-2.835,-2.4675
124,82458,0.527284,0.111996,-0.8410681,-0.8575,-2.7825,-2.4675
125,82555,0.523868,0.11102,-0.845216,-0.8400001,-2.87,-2.625
126,82652,0.526552,0.105652,-0.841556,-0.8925,-2.8,-2.6075
127,82750,0.5246,0.115412,-0.843752,-1.0675,-2.8,-2.59
128,82847,0.526064,0.1098,-0.8466801,-0.945,-2.695,-2.6075
129,82944,0.529236,0.111996,-0.843752,-1.0325,-2.7825,-2.7125
130,83042,0.526308,0.114436,-0.8427761,-1.015,-2.8,-2.6425
131,83139,0.525576,0.108336,-0.845704,-0.8925,-2.7475,-2.625
132,83236,0.527528,0.110532,-0.840336,-1.015,-2.94,-2.6425
133,83334,0.5248441,0.11346,-0.8461921,-0.9625,-2.8525,-2.6775
134,83431,0.526064,0.106628,-0.841312,-0.9625,-2.765,-2.6425
135,83529,0.521672,0.113704,-0.841556,-1.085,-2.8175,-2.6425
136,83626,0.522648,0.107116,-0.8425321,-1.015,-2.66,-2.7125
137,83723,0.52704,0.116876,-0.8427761,-1.0325,-2.765,-2.66
138,83821,0.52094,0.111264,-0.845948,-0.9625,-2.7825,-2.66
139,83918,0.52948,0.10858,-0.840824,-1.05,-2.7125,-2.695
140,84015,0.52582,0.115168,-0.8410681,-1.015,-2.695,-2.6775
141,84113,0.525332,0.109556,-0.845704,-0.945,-2.625,-2.695
142,84210,0.526552,0.114436,-0.841556,-1.0675,-2.625,-2.6075
143,84307,0.522648,0.112484,-0.845948,-0.9975,-2.66,-2.59
144,84405,0.528016,0.111752,-0.843996,-1.05,-2.73,-2.59
145,84502,0.524356,0.1159,-0.843508,-0.9625,-2.73,-2.6075
146,84599,0.526064,0.10736,-0.8430201,-0.8400001,-2.625,-2.625
147,84697,0.529968,0.110776,-0.8388721,-0.9275,-2.6775,-2.695
148,84794,0.524356,0.11224,-0.844484,-0.8925,-2.8175,-2.625
149,84891,0.52704,0.109556,-0.843752,-0.8400001,-2.73,-2.6075
150,84989,0.526552,0.116388,-0.8427761,-0.9275,-2.905,-2.6075
151,85086,0.523624,0.109556,-0.845216,-0.7875,-2.8,-2.6425
152,85184,0.525088,0.111264,-0.8378961,-0.9275,-2.87,-2.7125
153,85281,0.521916,0.108336,-0.8430201,-0.9275,-2.835,-2.7475
154,85378,0.52704,0.110288,-0.8430201,-1.0325,-2.9575,-2.73
155,85476,0.523868,0.113704,-0.8461921,-1.1375,-2.94,-2.6775
156,85573,0.525332,0.107848,-0.843508,-1.1375,-2.7825,-2.765
157,85670,0.526064,0.116144,-0.840336,-1.225,-2.7475,-2.7825
158,85768,0.524356,0.11224,-0.843508,-1.1025,-2.73,-2.7475
159,85865,0.5267961,0.11468,-0.8410681,-1.085,-2.7475,-2.695
160,85962,0.523624,0.11102,-0.842288,-0.98,-2.8,-2.695
161,86060,0.523868,0.110776,-0.841556,-0.9625,-2.765,-2.7125
162,86157,0.52704,0.113216,-0.841556,-0.91,-2.765,-2.66
163,86254,0.52704,0.108336,-0.846436,-0.91,-2.8175,-2.625
164,86352,0.5246,0.115412,-0.843508,-0.9275,-2.835,-2.625
165,86449,0.526308,0.108336,-0.843996,-0.8400001,-2.8525,-2.59
166,86546,0.524112,0.116876,-0.840336,-0.9625,-2.8525,-2.625
167,86644,0.527772,0.108336,-0.8359441,-0.77,-2.8175,-2.5725
168,86741,0.524356,0.111752,-0.841556,-0.875,-2.905,-2.5725
169,86838,0.525088,0.116876,-0.840824,-0.8575,-2.87,-2.625
170,86936,0.5248441,0.112728,-0.843752,-0.77,-2.8525,-2.5375
171,87033,0.525576,0.108092,-0.843752,-0.7525,-2.835,-2.555
172,87131,0.5214281,0.117364,-0.842288,-0.8925,-2.8,-2.6075
173,87228,0.52338,0.110288,-0.843508,-0.7175,-2.73,-2.5025
174,87325,0.526308,0.113216,-0.840336,-0.8400001,-2.695,-2.4675
175,87423,0.525576,0.113704,-0.843508,-0.77,-2.59,-2.415
176,87520,0.523868,0.113948,-0.843508,-0.7875,-2.6425,-2.3625
177,87617,0.522892,0.111264,-0.8418,-0.6825,-2.625,-2.3625
178,87715,0.525576,0.112728,-0.840824,-0.6475,-2.52,-2.345
179,87812,0.52582,0.111996,-0.843752,-0.5775,-2.5025,-2.31
180,87909,0.524356,0.111508,-0.8430201,-0.6825,-2.45,-2.3275
181,88007,0.524356,0.111752,-0.840336,-0.6825,-2.3625,-2.3275
182,88104,0.524112,0.111264,-0.841312,-0.7175,-2.31,-2.2925
183,88201,0.523868,0.112728,-0.8425321,-0.735,-2.24,-2.3275
