,T,ax,ay,az,gx,gy,gz
0,1436346.0,0.5497,-0.0925,-0.7688,7.5425,-12.5825,2.03
1,1436444.0,0.5683,-0.0947,-0.7798,100.8,-79.66001,60.8125
2,1436542.0,0.5873,-0.101,-0.815,149.59,-131.2325,91.0525
3,1436640.0,0.5771,-0.101,-0.7971,34.8425,-72.275,-5.6
4,1436738.0,0.5783,-0.0852,-0.8181,3.3075,-5.5125,-0.07
5,1436836.0,0.5841,-0.1061,-0.792,2.73,-2.1,0.105
6,1436934.0,0.5751,-0.1054,-0.7991,2.59,-2.3975,0.175
7,1437032.0,0.5783,-0.0847,-0.8062,2.03,-2.73,-0.035
8,1437130.0,0.5866,-0.1047,-0.7974,2.1175,-2.9575,-0.0175
9,1437228.0,0.5707,-0.0832,-0.8162001,1.4175,-3.6575,-0.21
10,1437326.0,0.5797,-0.09709999,-0.8059,2.275,-2.8,-0.035
11,1437424.0,0.5775,-0.0935,-0.8015,2.485,-2.52,0.0175
12,1437523.0,0.5793,-0.0988,-0.8057,2.73,-2.3975,0.0
13,1437621.0,0.5783,-0.0991,-0.8035,2.6075,-2.275,0.0175
14,1437719.0,0.5793,-0.0956,-0.8069,2.7475,-1.9775,0.105
15,1437817.0,0.5805,-0.1032,-0.7967,3.2725,-2.0125,0.0525
16,1437915.0,0.579,-0.0949,-0.8013,2.7825,-2.3975,-0.105
17,1438013.0,0.579,-0.09740001,-0.8018,2.52,-2.5025,-0.1225
18,1438111.0,0.5809999,-0.0959,-0.8011,2.3625,-2.59,-0.105
19,1438209.0,0.5793,-0.09740001,-0.8018,2.0475,-2.6775,-0.07
20,1438307.0,0.5805,-0.09759999,-0.802,1.9425,-2.6425,-0.0175
21,1438405.0,0.5795,-0.09759999,-0.8025,1.8025,-2.66,-0.035
22,1438503.0,0.5783,-0.09929999,-0.8032,1.785,-2.695,-0.0525
23,1438601.0,0.5788,-0.0983,-0.803,1.75,-2.73,-0.035
24,1438699.0,0.5802,-0.09709999,-0.8023,1.68,-2.695,-0.0525
25,1438797.0,0.5797,-0.09780001,-0.8015,1.6625,-2.6775,-0.07
26,1438895.0,0.5795,-0.0969,-0.8023,1.6275,-2.7125,-0.0875
27,1438993.0,0.5802,-0.0991,-0.8013,1.5925,-2.7475,-0.0525
28,1439091.0,0.5793,-0.0966,-0.8003,1.575,-2.765,-0.105
29,1439189.0,0.5783,-0.09780001,-0.8015,1.61,-2.7825,-0.0525
30,1439287.0,0.5785,-0.09780001,-0.8013,1.61,-2.6775,-0.0525
31,1439385.0,0.5795,-0.0986,-0.8006,1.5925,-2.6425,-0.0525
32,1439483.0,0.5797,-0.09780001,-0.8003,1.575,-2.695,-0.07
33,1439581.0,0.5797,-0.0981,-0.8015,1.54,-2.695,-0.07
34,1439679.0,0.5793,-0.09929999,-0.7993,1.61,-2.695,-0.035
35,1439777.0,0.5793,-0.09960001,-0.7996,1.645,-2.73,-0.0175
36,1439875.0,0.5795,-0.09709999,-0.8006,1.54,-2.73,-0.07
37,1439973.0,0.58,-0.0986,-0.8011,1.575,-2.7475,-0.07
38,1440072.0,0.5793,-0.09740001,-0.8001,1.4875,-2.765,-0.0525
39,1440170.0,0.5805,-0.0986,-0.8011,1.54,-2.7125,-0.035
40,1440268.0,0.5802,-0.0988,-0.7991,1.505,-2.73,-0.0175
41,1440366.0,0.58,-0.0983,-0.8003,1.4875,-2.765,-0.035
42,1440464.0,0.5785,-0.09759999,-0.8003,1.505,-2.765,0.0175
43,1440562.0,0.5797,-0.0981,-0.8008,1.5225,-2.7125,-0.0525
44,1440660.0,0.58,-0.0986,-0.8003,1.5225,-2.7125,-0.0875
45,1440758.0,0.5783,-0.0983,-0.7998,1.47,-2.73,-0.0875
46,1440856.0,0.58,-0.0981,-0.8006,1.54,-2.73,-0.0525
