,T,ax,ay,az,gx,gy,gz
0,2538900.0,0.9756001,0.0235,-0.6289,22.33,-13.9125,3.8675
1,2538997.0,0.8225,0.0282,-0.6127,162.61,-45.6225,108.955
2,2539094.0,0.7737,0.0418,-0.7125,251.8425,-79.59,157.4825
3,2539191.0,0.8625,0.0361,-0.5653,52.885,-95.00751,2.2925
4,2539288.0,0.873,0.0393,-0.5057,15.575,-38.3775,-1.9075
5,2539385.0,0.8409,0.0331,-0.4851,9.0825,-33.7225,-1.6275
6,2539482.0,0.822,0.0295,-0.4897,6.16,-31.4475,-1.47
7,2539580.0,0.8306,0.0211,-0.4742,4.795,-26.3025,-1.4875
8,2539677.0,0.8377,0.0171,-0.4663,2.38,-18.725,-0.6825
9,2539774.0,0.8385,0.0154,-0.4856,-0.1925,-10.92,0.8225
10,2539871.0,0.8449,0.0167,-0.5248,-0.7175,-4.7075,2.17
11,2539968.0,0.8274,0.0373,-0.4993,1.1025,-0.7525,2.8
12,2540065.0,0.838,0.0265,-0.4991,-0.63,3.9375,2.1
13,2540162.0,0.8408,0.0293,-0.5195,-4.655,6.6675,3.64
14,2540259.0,0.8159,0.0333,-0.5449,-9.3975,4.865,4.725
15,2540356.0,0.8187,0.0354,-0.5704,-10.71,1.6625,4.515
16,2540453.0,0.9566,0.0366,-0.3154,-1.4,10.255,1.89
17,2540550.0,0.7919,0.0365,-0.3017,3.64,47.1975,-0.77
18,2540647.0,0.753,0.0104,-0.666,-11.97,57.3125,0.5425
19,2540744.0,0.888,0.0126,-0.5976,-9.5375,40.04,2.8875
20,2540842.0,0.9137,0.0256,-0.4349,-1.12,35.7525,5.3025
21,2540939.0,0.8726999,0.0437,-0.3744,-0.77,46.515,6.02
22,2541036.0,0.8645,0.0417,-0.3863,-5.67,61.0225,5.6175
23,2541133.0,0.875,0.0483,-0.3777,-0.0875,81.3575,3.8675
24,2541230.0,0.8832,0.0493,-0.4342,4.2875,101.6225,2.24
25,2541327.0,0.8627,0.0533,-0.5757,16.7475,108.955,-1.4175
26,2541424.0,0.9642,0.0102,-0.4934,31.6925,100.1525,-5.5475
27,2541521.0,0.9783,0.0027,-0.2877,38.3775,108.3425,-1.3125
28,2541618.0,0.9377,0.0233,-0.308,12.6175,112.7,6.1075
29,2541715.0,0.9613999,0.0038,-0.0841,-24.255,105.7,12.705
30,2541812.0,0.8932,0.05710001,-0.4166,-42.245,136.64,17.535
31,2541909.0,0.9512,0.0217,-0.4401,-22.8725,146.0725,12.2325
32,2542006.0,0.92,0.0423,-0.4592,-11.9,143.08,10.8325
33,2542104.0,0.9549,0.0253,-0.4759,-8.2425,120.295,7.6475
34,2542201.0,0.9634,0.0323,-0.493,-1.0325,80.29,4.76
35,2542298.0,0.9783,0.021,-0.4309,4.48,23.31,1.155
36,2542395.0,0.9698,0.0245,-0.29,9.415,-21.42,0.4725
37,2542492.0,0.9457,0.0305,-0.1735,9.59,-30.9925,0.4725
38,2542589.0,0.9404,0.0349,-0.1388,5.2675,-13.3875,0.1925
39,2542686.0,0.9528,0.0327,-0.1995,-0.595,8.0325,0.2975
40,2542783.0,0.9655,0.0283,-0.2882,-3.3075,15.82,0.7875
41,2542880.0,0.9655,0.0272,-0.3315,-0.91,10.08,1.0325
42,2542977.0,0.9639,0.0232,-0.3071,3.6225,-0.5775,0.6125
43,2543074.0,0.9612,0.0199,-0.2489,6.16,-7.49,0.21
44,2543171.0,0.9568,0.0209,-0.2194,5.11,-6.335,0.0
45,2543269.0,0.9575,0.0218,-0.2318,2.345,-0.9625,0.0175
46,2543366.0,0.9621,0.0253,-0.2616,0.7525,2.4325,0.175
47,2543463.0,0.9625,0.0254,-0.2784,1.0675,1.5575,0.3675
48,2543560.0,0.9598,0.0262,-0.2708,2.31,-1.4,0.5075
49,2543657.0,0.9599,0.025,-0.2525,2.9925,-3.395,0.525
50,2543754.0,0.9597,0.0244,-0.2428,2.6075,-2.765,0.5425
51,2543851.0,0.9609,0.0243,-0.2467,1.9075,-1.0325,0.525
52,2543948.0,0.9634,0.0267,-0.2571,1.295,-0.3675,0.5775
53,2544045.0,0.9638,0.0265,-0.2611,1.4875,-1.05,0.595
54,2544142.0,0.9617001,0.0253,-0.2597,2.3275,-1.7325,0.455
55,2544239.0,0.9599,0.0223,-0.2549,2.905,-2.0825,0.2625
56,2544336.0,0.9606,0.0233,-0.2517,2.87,-1.995,0.2625
57,2544433.0,0.9629,0.024,-0.2514,2.415,-1.8025,0.385
58,2544531.0,0.9613999,0.0246,-0.2532,2.0825,-1.75,0.455
59,2544628.0,0.9599999,0.0253,-0.2532,2.1,-1.7325,0.4725
60,2544725.0,0.9587,0.025,-0.2547,2.205,-1.785,0.49
61,2544822.0,0.9587,0.0251,-0.2529,2.205,-1.8725,0.49
62,2544919.0,0.9589,0.0256,-0.2529,2.135,-1.7675,0.4725
63,2545016.0,0.959,0.0255,-0.2533,2.1175,-1.54,0.455
64,2545113.0,0.9601,0.0249,-0.2512,2.205,-1.4525,0.455
65,2545210.0,0.9613999,0.0243,-0.2519,2.2225,-1.5225,0.42
66,2545307.0,0.9615,0.0231,-0.2544,2.275,-1.54,0.3325
67,2545404.0,0.9605,0.0232,-0.2551,2.415,-1.5575,0.315
68,2545501.0,0.9594,0.0228,-0.2533,2.485,-1.715,0.2975
69,2545598.0,0.9587,0.0233,-0.2522,2.38,-1.9775,0.385
70,2545695.0,0.9573,0.0232,-0.2523,2.205,-2.1,0.5425
71,2545792.0,0.9585999,0.0238,-0.2519,2.0475,-1.9075,0.63
72,2545889.0,0.9605,0.0243,-0.2512,1.7325,-1.855,0.7
73,2545987.0,0.9612,0.0245,-0.2514,1.5575,-1.9425,0.7175
74,2546084.0,0.9616,0.0246,-0.251,1.6275,-1.9075,0.7
75,2546181.0,0.9617001,0.0246,-0.2517,1.82,-1.82,0.6825
76,2546278.0,0.9617001,0.0248,-0.2533,1.9775,-1.6975,0.6125
77,2546375.0,0.9616,0.026,-0.2525,2.17,-1.68,0.525
78,2546472.0,0.9623,0.0265,-0.2532,2.2225,-1.855,0.525
79,2546569.0,0.9612,0.0273,-0.2533,2.275,-1.96,0.5425
