,T,ax,ay,az,gx,gy,gz
0,32732,0.8794981,-0.074542,-0.100406,8.155,-8.26,-8.68
1,32874,0.893772,-0.070516,-0.160064,87.2725,-89.72251,-43.68
2,32971,0.954406,-0.075274,-0.173118,70.4725,-115.6575,-134.225
3,33067,0.955992,-0.077104,-0.171166,45.71,-107.17,-44.5025
4,33163,0.955748,-0.075762,-0.170922,4.2,-4.97,-4.48
5,33260,0.9608721,-0.0793,-0.17019,3.115,-3.3425,-3.7625
6,33356,0.962702,-0.082594,-0.1708,2.625,-3.36,-3.5875
7,33452,0.9655081,-0.087108,-0.169458,2.1525,-3.4825,-3.29
8,33549,0.967094,-0.088206,-0.170678,1.7325,-3.325,-2.8875
9,33645,0.967704,-0.08564401,-0.172752,1.1725,-3.4475,-2.555
10,33742,0.96929,-0.081862,-0.172386,0.945,-3.57,-2.0825
11,33838,0.969412,-0.077836,-0.177266,0.875,-3.6925,-1.75
12,33934,0.968192,-0.074542,-0.177144,1.05,-3.815,-1.6275
13,34031,0.965996,-0.07137001,-0.17629,1.1725,-3.7625,-1.8375
14,34127,0.964898,-0.06893,-0.17568,1.365,-3.955,-2.0475
15,34223,0.9636781,-0.066856,-0.17507,1.47,-4.235,-2.1525
16,34320,0.9633121,-0.066856,-0.177022,1.645,-4.235,-2.2925
17,34416,0.9633121,-0.06880801,-0.178364,1.9775,-4.305,-2.31
18,34512,0.961604,-0.067832,-0.17751,2.2225,-4.4275,-2.38
19,34609,0.96014,-0.066856,-0.177144,2.6425,-4.4975,-2.45
20,34705,0.9608721,-0.068076,-0.179584,3.0275,-4.62,-2.6775
21,34802,0.96258,-0.06880801,-0.17629,3.325,-4.865,-2.73
22,34898,0.967094,-0.070516,-0.175314,3.5,-5.1275,-2.8875
23,34994,0.968192,-0.072956,-0.17751,3.6925,-5.215,-3.08
24,35091,0.966606,-0.074054,-0.17568,3.78,-5.2675,-3.2025
25,35187,0.9623361,-0.0732,-0.17446,3.9025,-5.2325,-3.29
26,35283,0.959774,-0.073932,-0.175558,3.955,-5.18,-3.43
27,35380,0.9539181,-0.0732,-0.177998,4.1125,-5.1275,-3.395
28,35476,0.9534301,-0.07283401,-0.177754,4.2525,-5.3025,-3.5175
29,35572,0.960384,-0.07625,-0.175802,4.375,-5.6175,-3.4825
