,T,ax,ay,az,gx,gy,gz
0,34260,-0.286212,-0.103212,-0.81618,16.765,-16.45,-19.145
1,34405,-0.263032,-0.099308,-0.8784,-52.92,-32.1475,-61.39
2,34503,-0.289872,-0.115412,-0.9333,-4.7075,-159.9325,-161.665
3,34601,-0.288652,-0.11468,-0.932324,29.89,-106.995,-45.6575
4,34698,-0.292068,-0.112972,-0.9345201,2.38,-7.6125,-4.13
5,34796,-0.293288,-0.111264,-0.9315921,1.33,-4.305,-2.94
6,34894,-0.289384,-0.113704,-0.93696,1.365,-4.0775,-2.975
7,34991,-0.28914,-0.115656,-0.9340321,1.33,-4.0775,-2.9225
8,35089,-0.289628,-0.113704,-0.936228,1.2425,-3.955,-2.87
9,35187,-0.286944,-0.115412,-0.9381801,1.3475,-3.9725,-2.7825
10,35284,-0.288164,-0.117364,-0.9418401,1.3825,-4.2,-2.695
11,35382,-0.290604,-0.115412,-0.9403761,1.4875,-4.4975,-2.59
12,35479,-0.29402,-0.110776,-0.93696,1.505,-4.6025,-2.5375
13,35577,-0.284504,-0.120536,-0.9433041,1.5225,-4.4975,-2.8
14,35675,-0.291092,-0.109556,-0.9418401,1.9075,-4.83,-2.905
15,35772,-0.290116,-0.116632,-0.938912,1.82,-5.0225,-2.7125
16,35870,-0.291824,-0.105896,-0.938912,1.715,-5.18,-2.6775
17,35968,-0.297924,-0.112484,-0.9340321,1.7325,-5.6175,-2.6775
18,36065,-0.294996,-0.109556,-0.9372041,1.5225,-5.145,-2.73
19,36163,-0.293532,-0.111996,-0.936472,1.505,-4.9875,-2.765
20,36260,-0.294508,-0.113948,-0.935252,1.47,-4.9,-2.8
21,36358,-0.295728,-0.113704,-0.9345201,1.2425,-4.62,-2.7825
22,36456,-0.294752,-0.105652,-0.935008,1.1725,-4.3225,-2.8525
23,36553,-0.294752,-0.11102,-0.93696,1.155,-4.0775,-2.8
24,36651,-0.296948,-0.111264,-0.9357401,1.1375,-3.9725,-2.905
25,36749,-0.293044,-0.10858,-0.93696,1.0675,-3.745,-3.0275
26,36846,-0.290116,-0.112484,-0.9394,1.05,-3.6575,-3.15
27,36944,-0.293532,-0.114924,-0.9386681,1.155,-4.025,-3.0975
28,37041,-0.297924,-0.113216,-0.9337881,1.05,-4.1125,-3.08
29,37139,-0.295484,-0.114436,-0.9345201,1.015,-3.99,-3.115
30,37237,-0.29524,-0.111264,-0.935496,0.9975,-3.7625,-2.975
31,37334,-0.293288,-0.109068,-0.936472,0.9275,-3.605,-2.975
32,37432,-0.296704,-0.111264,-0.935008,0.8400001,-3.43,-3.0625
