,T,ax,ay,az,gx,gy,gz
0,1040,0.398208,0.038064,-0.786412,8.575,-6.9475,-9.7825
1,1183,0.413824,0.02806,-0.843264,-58.5725,-129.9725,-63.1925
2,1281,0.437248,0.033428,-0.8935281,-94.30751,-232.26,-62.4225
3,1378,0.43554,0.027572,-0.899384,11.9525,-124.4075,-27.5275
4,1475,0.43554,0.030012,-0.8991401,-0.8400001,-5.6875,-3.2375
5,1572,0.438712,0.029768,-0.901336,-1.0325,-2.9925,-2.765
6,1670,0.43554,0.033428,-0.901336,-1.085,-3.01,-2.7125
7,1767,0.436272,0.03294,-0.902068,-1.0675,-3.045,-2.66
8,1864,0.433344,0.030256,-0.903044,-0.91,-3.0275,-2.5025
9,1962,0.437248,0.030012,-0.9010921,-0.8225,-2.9575,-2.4675
10,2059,0.436028,0.02928,-0.902556,-0.7175,-3.0275,-2.45
11,2156,0.435784,0.031476,-0.901336,-0.665,-3.15,-2.415
12,2254,0.436516,0.03172,-0.90158,-0.6825,-3.115,-2.38
13,2351,0.436028,0.030988,-0.9001161,-0.6825,-3.01,-2.3625
14,2448,0.437004,0.030988,-0.9023121,-0.6825,-3.0625,-2.3625
15,2546,0.437248,0.0305,-0.9028,-0.6475,-2.9925,-2.3275
16,2643,0.43798,0.02928,-0.903532,-0.525,-3.045,-2.31
17,2740,0.435296,0.032208,-0.9006041,-0.56,-3.0625,-2.3625
18,2838,0.428708,0.031476,-0.902068,-0.595,-3.2375,-2.3275
19,2935,0.438712,0.028792,-0.907436,-0.525,-3.0975,-2.2575
20,3032,0.436028,0.025864,-0.9059721,-0.49,-3.15,-2.345
21,3130,0.435296,0.027816,-0.9010921,-0.6475,-3.115,-2.3975
22,3227,0.438224,0.032452,-0.9042641,-0.805,-3.0275,-2.52
23,3324,0.437004,0.030256,-0.904508,-0.8400001,-2.94,-2.555
24,3422,0.43554,0.026352,-0.9037761,-0.7875,-2.975,-2.5725
25,3519,0.436272,0.031476,-0.900848,-0.8225,-2.9925,-2.5725
26,3616,0.435052,0.031964,-0.90158,-0.8225,-2.9925,-2.5025
27,3713,0.43676,0.03172,-0.902068,-0.7875,-2.905,-2.45
28,3811,0.438224,0.030256,-0.90158,-0.735,-2.94,-2.4675
29,3908,0.4331,0.029036,-0.9028,-0.7,-2.9575,-2.4675
30,4005,0.43554,0.031964,-0.900848,-0.7875,-2.975,-2.415
31,4103,0.435784,0.026352,-0.9028,-0.6825,-2.9225,-2.4325
32,4200,0.434564,0.027572,-0.9023121,-0.7,-2.9575,-2.485
33,4297,0.436028,0.030012,-0.901336,-0.8225,-3.045,-2.45
34,4395,0.43554,0.027816,-0.902068,-0.8225,-2.94,-2.485
35,4492,0.437492,0.030012,-0.902068,-0.7875,-2.94,-2.485
36,4589,0.437004,0.027328,-0.903288,-0.8400001,-2.9225,-2.4325
37,4687,0.437492,0.029524,-0.900848,-0.8400001,-2.8875,-2.5025
38,4784,0.436516,0.029768,-0.9001161,-0.91,-2.9225,-2.5375
39,4881,0.436516,0.029768,-0.8996281,-0.8925,-2.9575,-2.5375
40,4979,0.436272,0.028792,-0.9028,-0.91,-2.8875,-2.5725
41,5076,0.435296,0.029768,-0.8996281,-0.98,-2.8175,-2.6425
42,5173,0.434076,0.031476,-0.9001161,-0.98,-2.835,-2.625
43,5271,0.434564,0.029524,-0.9023121,-1.1025,-2.6775,-2.625
44,5368,0.43676,0.02806,-0.902556,-0.9975,-2.6425,-2.5375
45,5465,0.435296,0.032208,-0.9006041,-1.1025,-2.6425,-2.59
46,5563,0.435296,0.0305,-0.900848,-1.085,-2.5725,-2.6075
47,5660,0.43554,0.02928,-0.8991401,-0.9975,-2.5375,-2.6075
48,5757,0.436028,0.0305,-0.8991401,-1.0675,-2.52,-2.485
49,5855,0.435784,0.032452,-0.9006041,-1.0675,-2.59,-2.5375
50,5952,0.43676,0.030744,-0.9006041,-0.91,-2.5725,-2.555
51,6049,0.436516,0.03172,-0.900848,-0.8400001,-2.5025,-2.45
52,6147,0.436272,0.029524,-0.902068,-0.805,-2.625,-2.3975
53,6244,0.435296,0.03172,-0.9006041,-0.7525,-2.6425,-2.45
54,6341,0.435296,0.03416,-0.9023121,-0.665,-2.6775,-2.3625
55,6439,0.434808,0.033428,-0.9006041,-0.525,-2.695,-2.2225
56,6536,0.437248,0.031476,-0.9006041,-0.3675,-2.695,-2.1175
57,6633,0.436028,0.031476,-0.9001161,-0.3675,-2.695,-2.1525
58,6731,0.437736,0.029768,-0.9006041,-0.4025,-2.6425,-2.0825
59,6828,0.43798,0.02928,-0.90402,-0.455,-2.59,-2.065
60,6925,0.43798,0.026352,-0.898896,-0.49,-2.66,-2.1525
61,7023,0.438468,0.02684,-0.9001161,-0.525,-2.765,-2.17
62,7120,0.437004,0.029524,-0.8976761,-0.6475,-2.695,-2.2225
63,7217,0.4392,0.029036,-0.898408,-0.595,-2.7475,-2.345
64,7314,0.435052,0.0305,-0.8991401,-0.595,-2.7125,-2.3275
