,T,ax,ay,az,gx,gy,gz
0,788010,-0.526308,0.3965,-0.6224441,13.65,-13.9475,-12.04
1,788156,-0.366732,0.297192,-0.696376,-21.805,-59.1675,-10.535
2,788253,-0.548512,0.296216,-0.7625,-66.5175,-124.4075,-147.945
3,788350,-0.314516,0.562908,-0.746152,17.3075,-121.45,-67.2525
4,788447,-0.390888,0.41724,-0.7517641,-10.8675,-8.015,-6.23
5,788543,-0.448716,0.445056,-0.73932,-2.485,-7.7525,-1.155
6,788640,-0.415532,0.386008,-0.737124,0.8925,-9.87,0.8400001
7,788737,-0.422608,0.37942,-0.735172,2.4325,-10.8325,4.4975
8,788834,-0.499712,0.406992,-0.733952,3.2025,-10.15,8.785
9,788931,-0.518256,0.413336,-0.734928,1.5225,-8.295,10.57
10,789028,-0.525088,0.457988,-0.732976,-0.7525,-5.81,11.6375
11,789124,-0.526064,0.47824,-0.74054,-2.1875,-3.955,11.0075
12,789221,-0.515572,0.497272,-0.752496,-1.82,-3.185,8.925
13,789318,-0.492636,0.487268,-0.75518,0.9975,-3.2725,6.4225
14,789415,-0.475556,0.490928,-0.763476,5.3725,-4.2525,4.2525
15,789511,-0.461648,0.477752,-0.74664,12.3025,-6.02,2.1525
16,789608,-0.503372,0.5206961,-0.718092,26.5125,-10.0625,0.7875
17,789705,-0.485804,0.448472,-0.774212,32.2175,-12.5475,-3.0275
18,789802,-0.478484,0.5002,-0.771528,41.6325,-14.875,-2.765
19,789899,-0.5077641,0.532164,-0.788852,52.7975,-18.3225,-5.285
20,789996,-0.665632,0.317688,-0.562908,62.265,-21.21,-10.3075
21,790092,-0.406992,0.10004,-0.726144,35.91,-2.975,-9.87
22,790189,-0.30256,0.672464,-0.7183361,20.7375,9.555,2.065
23,790286,-0.584868,0.401868,-0.705648,10.955,-11.6725,-6.1775
24,790383,-0.468968,0.377468,-0.751276,4.025,-5.845,-4.5675
25,790480,-0.45018,0.449692,-0.744688,4.9,-2.5025,-2.9925
26,790576,-0.506544,0.401136,-0.7407841,4.62,-6.615,-4.76
27,790673,-0.465064,0.41602,-0.745908,3.5,-4.3925,-3.9025
28,790770,-0.480924,0.4148,-0.7449321,3.36,-4.9175,-4.13
29,790867,-0.482876,0.412848,-0.74542,2.8,-5.5125,-4.165
30,790964,-0.477752,0.414068,-0.74542,2.31,-5.005,-3.9025
31,791060,-0.482388,0.409432,-0.743956,2.1175,-5.425,-3.99
32,791157,-0.479948,0.4148,-0.747128,1.89,-5.2325,-3.92
33,791254,-0.481656,0.413336,-0.747128,1.785,-5.145,-3.9025
34,791351,-0.480924,0.415044,-0.7476161,1.8375,-5.11,-3.815
35,791448,-0.480924,0.41358,-0.7473721,1.8025,-5.0225,-3.7625
36,791544,-0.482388,0.41236,-0.7473721,1.75,-4.935,-3.7975
37,791641,-0.4819,0.409188,-0.7449321,1.6275,-4.9175,-3.78
38,791738,-0.482388,0.41236,-0.7476161,1.4,-5.04,-3.78
39,791835,-0.483364,0.411872,-0.7476161,1.2775,-5.3025,-3.745
40,791932,-0.480924,0.41358,-0.7473721,1.155,-5.39,-3.78
41,792028,-0.481656,0.411872,-0.7473721,0.98,-5.3725,-3.7625
42,792125,-0.478484,0.415044,-0.745176,0.8225,-5.4775,-3.7275
43,792222,-0.480924,0.414556,-0.746396,0.77,-5.6,-3.8325
44,792319,-0.481412,0.41114,-0.743956,0.7,-5.6,-3.815
45,792416,-0.482388,0.412848,-0.7442,0.8575,-5.565,-3.71
46,792512,-0.484584,0.415288,-0.743468,0.77,-5.32,-3.6575
47,792609,-0.48556,0.418704,-0.743224,0.91,-5.32,-3.745
48,792706,-0.482632,0.414556,-0.744688,1.015,-5.1275,-3.6575
49,792803,-0.484096,0.413824,-0.742492,1.0675,-4.9525,-3.64
50,792900,-0.482632,0.4148,-0.742492,1.1375,-4.8475,-3.605
51,792996,-0.483608,0.416264,-0.742004,1.1725,-4.76,-3.6925
52,793093,-0.486048,0.420412,-0.741272,1.26,-4.4975,-3.7275
53,793190,-0.482144,0.41968,-0.7415161,1.435,-4.235,-3.745
54,793287,-0.481412,0.41724,-0.741028,1.5925,-4.13,-3.7275
55,793384,-0.481412,0.41846,-0.741028,1.6625,-4.1475,-3.815
56,793480,-0.482388,0.41358,-0.7427361,1.6275,-4.305,-3.92
57,793577,-0.482632,0.416752,-0.74054,1.75,-4.48,-3.99
58,793674,-0.483852,0.414068,-0.74298,1.6625,-4.48,-3.9375
59,793771,-0.482876,0.414068,-0.7427361,1.645,-4.655,-3.9375
60,793868,-0.4819,0.417484,-0.739808,1.68,-4.6725,-3.9025
61,793964,-0.483852,0.414312,-0.7422481,1.68,-4.5325,-3.9025
62,794061,-0.484096,0.417728,-0.742004,1.75,-4.48,-3.92
63,794158,-0.483364,0.41846,-0.7427361,1.82,-4.2525,-3.9375
64,794255,-0.483852,0.416264,-0.7442,1.9075,-4.2175,-3.99
65,794352,-0.48068,0.416508,-0.741272,1.9075,-4.2,-4.0075
66,794448,-0.481168,0.416752,-0.74176,1.8025,-4.2525,-3.9725
67,794545,-0.480924,0.411628,-0.74542,1.7325,-4.4975,-4.0425
68,794642,-0.479704,0.415288,-0.746396,1.645,-4.725,-4.0775
69,794739,-0.481656,0.414312,-0.7442,1.6625,-4.865,-3.9725
70,794836,-0.48312,0.415288,-0.742492,1.61,-4.865,-4.0075
71,794932,-0.483852,0.416996,-0.7407841,1.6625,-4.8475,-4.0075
72,795029,-0.482388,0.412116,-0.744688,1.61,-4.62,-4.095
73,795126,-0.485316,0.418948,-0.741272,1.61,-4.5325,-4.0075
74,795223,-0.482876,0.41602,-0.740296,1.61,-4.48,-4.0425
75,795320,-0.483608,0.415288,-0.744444,1.5925,-4.375,-4.06
76,795416,-0.485316,0.416996,-0.7427361,1.5575,-4.0425,-4.0425
77,795513,-0.485072,0.415288,-0.741272,1.855,-3.6225,-3.955
78,795610,-0.482632,0.422364,-0.740296,2.1175,-3.325,-4.025
79,795707,-0.482876,0.418704,-0.742492,2.275,-3.4125,-4.0425
80,795804,-0.479948,0.413824,-0.744444,2.3625,-3.4825,-4.165
81,795900,-0.480436,0.414068,-0.745664,2.2575,-3.5525,-4.1825
82,795997,-0.480924,0.4148,-0.743224,2.17,-3.5,-4.1825
83,796094,-0.482388,0.41358,-0.743224,2.1175,-3.6575,-4.1825
84,796191,-0.480192,0.41724,-0.7427361,2.0825,-3.745,-4.2
85,796288,-0.48312,0.413092,-0.7427361,2.135,-3.78,-4.305
86,796384,-0.481412,0.416508,-0.741028,2.415,-3.815,-4.27
87,796481,-0.480924,0.418216,-0.740052,2.7475,-3.745,-4.27
88,796578,-0.479948,0.415044,-0.743712,2.8175,-3.6225,-4.4275
89,796675,-0.478484,0.414312,-0.743712,2.87,-3.8325,-4.4625
90,796772,-0.480192,0.415776,-0.743956,2.59,-4.06,-4.34
91,796868,-0.481412,0.412848,-0.744688,2.3625,-4.3575,-4.2875
92,796965,-0.480924,0.41236,-0.743468,2.065,-4.48,-4.2175
93,797062,-0.483364,0.414312,-0.7442,1.89,-4.55,-4.3225
94,797159,-0.480924,0.416264,-0.7415161,1.96,-4.375,-4.27
