,T,ax,ay,az,gx,gy,gz
0,144902,0.9145121,-0.01708,0.08503401,20.3525,-19.1975,-17.08
1,145043,0.93391,-0.013542,0.020862,-79.1875,3.4125,-83.7025
2,145140,1.000156,-0.012078,0.021106,-61.6525,-70.7175,-124.95
3,145236,1.00345,-0.01098,0.017324,25.0775,-100.1875,-50.4
4,145333,1.001742,-0.013176,0.015616,1.715,-7.1925,-4.7775
5,145430,1.003572,-0.012444,0.013542,1.05,-4.6375,-3.64
6,145526,1.00528,-0.01342,0.013298,0.77,-4.585,-3.6225
7,145623,1.004426,-0.013176,0.012444,0.6475,-4.6375,-3.64
8,145720,1.00589,-0.01342,0.01464,0.42,-4.69,-3.675
9,145816,1.005768,-0.014152,0.013054,0.2625,-4.7425,-3.6925
10,145913,1.00589,-0.014396,0.015006,0.1225,-4.8825,-3.6925
11,146010,1.00528,-0.014762,0.016104,0.105,-4.935,-3.675
12,146106,1.005036,-0.015128,0.01647,0.0,-4.97,-3.6925
13,146203,1.003816,-0.015982,0.016226,0.0525,-4.9175,-3.6575
14,146300,1.004304,-0.015372,0.016592,0.07,-5.0225,-3.57
15,146396,1.003816,-0.01586,0.015982,0.0525,-5.0925,-3.64
16,146493,1.004182,-0.014396,0.014396,-0.035,-5.1975,-3.6225
17,146590,1.004548,-0.014762,0.015494,-0.175,-5.145,-3.5875
18,146686,1.004792,-0.013908,0.013542,-0.35,-5.11,-3.535
19,146783,1.00284,-0.01403,0.013176,-0.42,-5.04,-3.4825
20,146880,1.000766,-0.013664,0.012932,-0.49,-5.005,-3.43
21,146976,1.0004,-0.012322,0.013542,-0.455,-4.9875,-3.36
22,147073,1.001376,-0.010004,0.015128,-0.4725,-4.7425,-3.43
23,147169,1.00345,-0.007686,0.013542,-0.525,-4.6025,-3.465
24,147266,1.003572,-0.008784,0.013054,-0.49,-4.795,-3.4825
25,147363,1.00406,-0.008418,0.011956,-0.4375,-4.8475,-3.4475
26,147459,1.00528,-0.009394,0.011956,-0.2975,-4.795,-3.4825
27,147556,1.005768,-0.008296001,0.0122,-0.28,-4.83,-3.6225
28,147653,1.004426,-0.009638,0.011956,-0.2275,-5.0575,-3.7625
29,147749,1.003572,-0.009882,0.013176,-0.2275,-5.145,-3.8675
30,147846,1.002718,-0.009150001,0.01281,-0.2625,-5.215,-3.9725
31,147943,1.00345,-0.008906,0.01281,-0.0525,-5.25,-4.0775
32,148039,1.005158,-0.008540001,0.013298,0.14,-5.3375,-4.06
33,148136,1.003572,-0.007320001,0.014518,0.175,-5.355,-4.06
34,148233,1.006012,-0.005368,0.014396,0.245,-5.425,-4.0775
35,148329,1.005768,-0.006832001,0.013298,0.3325,-5.425,-4.0425
36,148426,1.006256,-0.004148001,0.01342,0.385,-5.46,-4.0425
37,148523,1.004792,-0.005002,0.013176,0.35,-5.565,-4.025
38,148619,1.003206,-0.005978,0.012688,0.42,-5.6,-3.9725
39,148716,1.005646,-0.00488,0.014152,0.4725,-5.635,-3.92
40,148812,1.00528,-0.0061,0.014762,0.5425,-5.6875,-3.885
41,148909,1.00589,-0.004148001,0.016104,0.6125,-5.67,-3.885
42,149006,1.006256,-0.004758,0.018056,0.77,-5.67,-3.85
43,149102,1.004426,-0.003172,0.016348,0.7,-5.53,-3.78
44,149199,1.00528,-0.003904,0.015128,0.5425,-5.6525,-3.71
45,149296,1.003572,-0.004026,0.015494,0.385,-5.6875,-3.675
46,149392,1.003938,-0.00366,0.01525,0.035,-5.635,-3.5875
47,149489,1.004914,-0.00305,0.015616,-0.4025,-5.635,-3.5525
48,149586,1.003084,-0.00305,0.015372,-0.8400001,-5.5475,-3.4825
49,149682,1.001376,-0.002196,0.016714,-1.3475,-5.2325,-3.3425
50,149779,1.0004,-0.003172,0.020496,-1.785,-5.285,-3.3075
51,149876,1.000156,-0.004392,0.018056,-2.2575,-4.9525,-3.22
52,149972,0.998448,-0.004392,0.018422,-2.5025,-4.4275,-3.0975
53,150069,0.995764,-0.005978,0.015738,-2.6075,-3.8675,-2.87
54,150166,0.995886,-0.0061,0.01159,-2.7125,-3.4125,-2.8175
55,150262,0.995032,-0.004392,0.01159,-2.87,-3.185,-2.8875
56,150359,0.997106,-0.00305,0.009638,-3.08,-2.975,-2.9575
57,150456,0.99979,-0.002562,0.01098,-3.0975,-2.765,-3.1325
58,150552,1.003328,-0.002562,0.01159,-3.0975,-2.6775,-3.43
59,150649,1.003328,-0.002562,0.013664,-2.8875,-2.905,-3.6925
60,150745,1.003328,-0.00305,0.017446,-2.66,-3.0625,-3.885
61,150842,1.00284,-0.002928,0.017934,-2.38,-3.115,-4.095
62,150939,1.004182,-0.003172,0.019764,-2.03,-3.115,-4.34
63,151035,1.004548,-0.0008540001,0.02013,-1.9075,-3.3775,-4.34
64,151132,1.005524,0.000976,0.02196,-1.645,-3.6575,-4.3925
65,151229,1.006866,0.00244,0.024156,-1.33,-3.675,-4.41
66,151325,1.009062,0.000122,0.023058,-0.7875,-3.815,-4.375
67,151422,1.010404,0.000122,0.024888,-0.105,-3.885,-4.2
68,151519,1.014308,0.000732,0.024522,0.35,-3.9375,-3.8675
69,151615,1.015162,-0.001952,0.023546,0.735,-4.165,-3.605
70,151712,1.016016,-0.001464,0.024278,0.945,-4.3225,-3.5
71,151809,1.013454,-0.003172,0.022692,1.225,-4.585,-3.3775
72,151905,1.012112,-0.005856,0.020252,1.4525,-4.8475,-3.3075
73,152002,1.010038,-0.005124001,0.019886,1.75,-5.0575,-3.185
74,152099,1.007964,-0.005612,0.0183,1.8025,-5.0925,-3.0625
75,152195,1.007232,-0.005002,0.01769,1.9425,-5.32,-2.8525
76,152292,1.004548,-0.005978,0.017446,2.03,-5.425,-2.7125
77,152389,1.00284,-0.007808001,0.016714,1.925,-5.355,-2.7125
78,152485,1.00162,-0.008906,0.015738,1.995,-5.2675,-2.7125
79,152582,1.003084,-0.008784,0.015006,2.0825,-5.1975,-2.7825
80,152679,1.006134,-0.010004,0.016836,2.17,-5.0225,-2.7125
81,152775,1.008574,-0.010126,0.019886,2.5025,-5.0575,-2.6425
82,152872,1.008208,-0.008418,0.019398,2.695,-5.25,-2.415
83,152968,1.009184,-0.006588,0.021106,2.9925,-5.495,-2.3275
84,153065,1.00772,-0.005246,0.022082,3.045,-5.8975,-2.3975
85,153162,1.007598,-0.004392,0.022204,3.1675,-6.2125,-2.3975
86,153258,1.006012,-0.007198,0.02074,3.2025,-6.265,-2.52
87,153355,1.00406,-0.010126,0.0183,3.36,-6.37,-2.555
88,153452,1.003816,-0.011102,0.018178,3.465,-6.4925,-2.5725
89,153548,1.004792,-0.0122,0.020862,3.5875,-6.5975,-2.5025
90,153645,1.005524,-0.012322,0.022082,3.5525,-6.51,-2.345
91,153742,1.003572,-0.0122,0.023058,3.5,-6.44,-2.1875
92,153838,1.003206,-0.011834,0.021228,3.3775,-6.2825,-2.0125
93,153935,1.002352,-0.01403,0.022936,3.36,-6.055,-1.96
94,154032,1.001132,-0.015128,0.024034,3.3425,-5.9675,-1.8725
95,154128,0.9999121,-0.015128,0.025132,3.2375,-5.8625,-1.8025
96,154225,0.998448,-0.013908,0.025376,3.045,-5.88,-1.7325
97,154322,0.9983261,-0.015006,0.023424,2.8175,-5.8625,-1.8375
98,154418,1.000034,-0.01525,0.024278,2.5025,-5.81,-1.925
99,154515,0.99979,-0.014396,0.024644,2.2925,-5.775,-1.9775
100,154612,1.001132,-0.015616,0.024888,2.1175,-5.74,-2.2925
101,154708,1.000522,-0.015372,0.0244,1.89,-5.6525,-2.52
102,154805,1.000522,-0.015006,0.025132,1.645,-5.5475,-2.66
103,154902,0.9990581,-0.015982,0.026718,1.4175,-5.53,-2.73
104,154998,0.99979,-0.014884,0.025864,1.1375,-5.3725,-2.7825
105,155095,1.000278,-0.017202,0.024522,0.8925,-5.18,-2.835
106,155192,1.002596,-0.01586,0.02623,0.665,-4.9875,-2.835
107,155288,1.004304,-0.016226,0.030622,0.49,-4.9,-2.9225
108,155385,1.005646,-0.018056,0.027816,0.28,-4.6725,-2.9575
109,155481,1.005036,-0.019642,0.026962,-0.0525,-4.445,-2.8875
110,155578,1.007842,-0.018544,0.028792,-0.2275,-4.3925,-2.87
111,155675,1.006988,-0.018544,0.028304,-0.5075,-4.41,-2.6425
112,155771,1.006744,-0.0183,0.027572,-0.8225,-4.445,-2.52
113,155868,1.006012,-0.018056,0.026718,-1.12,-4.48,-2.45
114,155965,1.005646,-0.016836,0.025742,-1.4175,-4.4975,-2.2225
115,156061,1.006012,-0.017202,0.026474,-1.5575,-4.515,-2.0825
116,156158,1.003816,-0.016104,0.026718,-1.54,-4.5675,-1.9775
117,156255,1.00284,-0.014762,0.025254,-1.68,-4.62,-1.9775
118,156351,1.000278,-0.0122,0.024766,-1.6625,-4.6025,-1.995
119,156448,1.002108,-0.01098,0.025254,-1.68,-4.515,-1.9075
120,156545,1.003206,-0.009028001,0.025742,-1.6625,-4.4625,-1.995
121,156641,1.001742,-0.009272001,0.024034,-1.54,-4.41,-2.1175
122,156738,1.00223,-0.010614,0.020252,-1.4,-4.4275,-2.135
123,156835,1.004426,-0.010248,0.020862,-1.295,-4.55,-2.1
124,156931,1.004426,-0.009394,0.01952,-1.1725,-4.62,-2.065
125,157028,1.005646,-0.008784,0.021106,-1.0325,-4.83,-2.1525
126,157125,1.003694,-0.009028001,0.017324,-0.8925,-4.9875,-2.24
127,157221,1.004548,-0.008052001,0.019032,-0.945,-5.0225,-2.38
128,157318,1.00406,-0.008540001,0.018788,-0.7,-4.9875,-2.5025
129,157415,1.004182,-0.009150001,0.017324,-0.5775,-4.9875,-2.4675
130,157511,1.003572,-0.008906,0.018422,-0.35,-4.935,-2.45
131,157608,1.00345,-0.007686,0.0183,-0.1225,-4.8825,-2.3975
132,157705,1.004914,-0.007076001,0.0183,0.07,-4.9875,-2.345
133,157801,1.00467,-0.004514,0.019032,0.1925,-5.215,-2.275
134,157898,1.00406,-0.003538,0.01769,0.4375,-5.3025,-2.415
135,157995,1.006012,-0.002196,0.015982,0.7175,-5.2675,-2.625
136,158091,1.007598,-0.004148001,0.017324,1.015,-5.285,-2.9225
137,158188,1.006256,-0.005734,0.019642,1.2425,-5.4775,-3.185
138,158285,1.006134,-0.007198,0.0183,1.33,-5.635,-3.29
139,158381,1.00589,-0.006466,0.017324,1.3825,-5.8625,-3.4825
140,158478,1.004548,-0.007808001,0.019764,1.4525,-6.0725,-3.4475
141,158575,1.00528,-0.008174001,0.020862,1.54,-6.2125,-3.4825
142,158671,1.006134,-0.011834,0.020618,1.715,-6.3175,-3.57
143,158768,1.002352,-0.0122,0.020618,1.75,-6.405,-3.5525
144,158865,1.004182,-0.012932,0.01952,1.575,-6.2475,-3.535
145,158961,1.003694,-0.013176,0.020496,1.4875,-6.1425,-3.5175
146,159058,1.00223,-0.012932,0.021716,1.54,-6.0725,-3.5525
