,T,ax,ay,az,gx,gy,gz
0,582,0.456524,-0.019276,-0.71126,16.03,-17.5175,-16.4675
1,731,0.478728,-0.016104,-0.794708,109.515,-91.4375,-115.325
2,828,0.506056,-0.016836,-0.849608,166.1975,-142.9575,-144.69
3,926,0.510692,-0.015128,-0.8471681,73.0625,-129.7625,-54.3025
4,1023,0.5119121,-0.016348,-0.8479,6.2825,-11.7075,-5.0925
5,1121,0.510204,-0.015128,-0.8508281,2.4675,-4.9525,-2.3275
6,1218,0.511668,-0.013664,-0.85034,2.415,-4.9875,-2.3275
7,1315,0.510204,-0.015616,-0.85034,2.3625,-5.075,-2.3275
8,1413,0.51118,-0.014884,-0.8476561,2.4325,-5.0925,-2.4325
9,1510,0.510204,-0.015372,-0.8513161,2.45,-5.18,-2.3625
10,1608,0.5119121,-0.016836,-0.854,2.31,-5.0925,-2.3625
11,1705,0.5124001,-0.01464,-0.853512,2.415,-5.1275,-2.4325
12,1802,0.5077641,-0.01586,-0.85034,2.345,-5.075,-2.3975
13,1900,0.513132,-0.01464,-0.848632,2.31,-5.11,-2.38
14,1997,0.510448,-0.0183,-0.845216,2.38,-5.075,-2.205
15,2095,0.509472,-0.018056,-0.8476561,2.4325,-5.075,-2.2925
16,2192,0.5124001,-0.016104,-0.851804,2.52,-5.0925,-2.38
17,2289,0.509472,-0.014884,-0.8513161,2.485,-5.075,-2.38
18,2387,0.5077641,-0.016836,-0.8488761,2.4675,-5.005,-2.2575
19,2484,0.510936,-0.014152,-0.8513161,2.3975,-5.0575,-2.275
20,2582,0.510448,-0.014884,-0.8508281,2.5025,-5.04,-2.345
21,2679,0.510936,-0.01708,-0.853756,2.4325,-5.005,-2.3275
22,2776,0.509716,-0.015372,-0.8508281,2.38,-4.97,-2.415
23,2874,0.509472,-0.01464,-0.85034,2.3625,-4.935,-2.415
24,2971,0.510448,-0.013664,-0.85034,2.38,-5.0225,-2.345
25,3069,0.510936,-0.016592,-0.852048,2.3625,-4.97,-2.3625
26,3166,0.512644,-0.015616,-0.848632,2.3975,-4.9525,-2.3625
27,3263,0.510692,-0.016104,-0.849608,2.3625,-4.9,-2.38
28,3361,0.510204,-0.014396,-0.8493641,2.3975,-5.0225,-2.415
29,3458,0.510204,-0.014396,-0.8488761,2.415,-4.9875,-2.3625
30,3556,0.5124001,-0.014152,-0.848632,2.3975,-4.9875,-2.38
31,3653,0.510448,-0.01464,-0.8479,2.4325,-4.935,-2.31
32,3750,0.511668,-0.01586,-0.8493641,2.4325,-5.0925,-2.38
33,3848,0.510936,-0.01464,-0.8476561,2.3975,-4.9525,-2.3625
34,3945,0.51118,-0.01464,-0.85034,2.4325,-4.935,-2.345
35,4043,0.509716,-0.012444,-0.8488761,2.415,-4.9525,-2.38
36,4140,0.509228,-0.01342,-0.847412,2.4675,-5.04,-2.45
37,4237,0.510936,-0.014884,-0.848388,2.3975,-4.97,-2.3975
38,4335,0.508984,-0.012444,-0.8481441,2.3975,-5.11,-2.345
39,4432,0.510936,-0.01342,-0.8488761,2.3625,-5.04,-2.275
40,4530,0.51118,-0.014884,-0.8513161,2.3625,-5.0225,-2.345
41,4627,0.512156,-0.01464,-0.849608,2.345,-5.0225,-2.45
42,4724,0.510692,-0.01464,-0.8476561,2.38,-5.005,-2.4675
43,4822,0.51118,-0.015372,-0.8488761,2.345,-5.0225,-2.4325
44,4919,0.510692,-0.014884,-0.849608,2.2925,-5.005,-2.38
45,5016,0.509472,-0.013176,-0.8461921,2.205,-5.04,-2.415
